# Energy(MeV) Phi16_Spherical Phi84_Spherical
1.850437e-01 8.422510e+10 1.875650e+12
1.868872e-01 8.298772e+10 1.827782e+12
1.887491e-01 8.176703e+10 1.781687e+12
1.906296e-01 8.056827e+10 1.736672e+12
1.925288e-01 7.943308e+10 1.687912e+12
1.944469e-01 7.831240e+10 1.640323e+12
1.963841e-01 7.720608e+10 1.594075e+12
1.983406e-01 7.611392e+10 1.549131e+12
2.003166e-01 7.504114e+10 1.505454e+12
2.023123e-01 7.399651e+10 1.464579e+12
2.043279e-01 7.296498e+10 1.424864e+12
2.063635e-01 7.189342e+10 1.386226e+12
2.084195e-01 7.083278e+10 1.348635e+12
2.104959e-01 6.986084e+10 1.312062e+12
2.125930e-01 6.890084e+10 1.276480e+12
2.147110e-01 6.793249e+10 1.241862e+12
2.168501e-01 6.695685e+10 1.208182e+12
2.190105e-01 6.599383e+10 1.175415e+12
2.211925e-01 6.504327e+10 1.143535e+12
2.233961e-01 6.410502e+10 1.114366e+12
2.256218e-01 6.317893e+10 1.087614e+12
2.278696e-01 6.226485e+10 1.061500e+12
2.301398e-01 6.136264e+10 1.036008e+12
2.324326e-01 6.048274e+10 1.009224e+12
2.347482e-01 5.962162e+10 9.822041e+11
2.370870e-01 5.877157e+10 9.557380e+11
2.394490e-01 5.793247e+10 9.299843e+11
2.418345e-01 5.710417e+10 9.049239e+11
2.442439e-01 5.628656e+10 8.804951e+11
2.466772e-01 5.547949e+10 8.563083e+11
2.491348e-01 5.468283e+10 8.327710e+11
2.516168e-01 5.389647e+10 8.098169e+11
2.541236e-01 5.312027e+10 7.877285e+11
2.566554e-01 5.235411e+10 7.671126e+11
2.592123e-01 5.158999e+10 7.463029e+11
2.617948e-01 5.083438e+10 7.260243e+11
2.644030e-01 5.008871e+10 7.062051e+11
2.670371e-01 4.933801e+10 6.869139e+11
2.696976e-01 4.859661e+10 6.681491e+11
2.723845e-01 4.789839e+10 6.498963e+11
2.750982e-01 4.715038e+10 6.325867e+11
2.778389e-01 4.641060e+10 6.158855e+11
2.806069e-01 4.568271e+10 5.996246e+11
2.834025e-01 4.497596e+10 5.837924e+11
2.862260e-01 4.427891e+10 5.683777e+11
2.890775e-01 4.359144e+10 5.533694e+11
2.919575e-01 4.292102e+10 5.387568e+11
