# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
3.524691e-01 1.081997e+11
3.559807e-01 1.059251e+11
3.595272e-01 1.036913e+11
3.631090e-01 1.015046e+11
3.667266e-01 9.936403e+10
3.703802e-01 9.730434e+10
3.740702e-01 9.530810e+10
3.777969e-01 9.335266e+10
3.815608e-01 9.137426e+10
3.853622e-01 8.938936e+10
3.892014e-01 8.742591e+10
3.930789e-01 8.553566e+10
3.969950e-01 8.370872e+10
4.009502e-01 8.192639e+10
4.049447e-01 8.028027e+10
4.089791e-01 7.862491e+10
4.130536e-01 7.696721e+10
4.171687e-01 7.535676e+10
4.213249e-01 7.378531e+10
4.255224e-01 7.224639e+10
4.297618e-01 7.073933e+10
4.340433e-01 6.921271e+10
4.383676e-01 6.773297e+10
4.427349e-01 6.642867e+10
4.471458e-01 6.510725e+10
4.516005e-01 6.378575e+10
4.560997e-01 6.249068e+10
4.606437e-01 6.122863e+10
4.652329e-01 6.000519e+10
4.698679e-01 5.880577e+10
4.745491e-01 5.757551e+10
4.792769e-01 5.636458e+10
4.840518e-01 5.517896e+10
4.888742e-01 5.397945e+10
4.937447e-01 5.275235e+10
4.986638e-01 5.165009e+10
5.036318e-01 5.059661e+10
5.086493e-01 4.955979e+10
5.137168e-01 4.850213e+10
5.188349e-01 4.743358e+10
5.240038e-01 4.638847e+10
5.292243e-01 4.536626e+10
5.344968e-01 4.436648e+10
5.398219e-01 4.338862e+10
5.452000e-01 4.247213e+10
5.506316e-01 4.158404e+10
5.561174e-01 4.074489e+10
5.616578e-01 3.991772e+10
5.672535e-01 3.909455e+10
5.729048e-01 3.834276e+10
5.786125e-01 3.758041e+10
5.843771e-01 3.683100e+10
5.901990e-01 3.609620e+10
5.960790e-01 3.537570e+10
6.020176e-01 3.466924e+10
6.080153e-01 3.397673e+10
6.140728e-01 3.329737e+10
6.201906e-01 3.263142e+10
6.263694e-01 3.197847e+10
6.326097e-01 3.132806e+10
6.389122e-01 3.066373e+10
6.452775e-01 3.002971e+10
6.517062e-01 2.942229e+10
6.581990e-01 2.882696e+10
6.647564e-01 2.824351e+10
6.713792e-01 2.765928e+10
6.780679e-01 2.706660e+10
6.848233e-01 2.648650e+10
6.916460e-01 2.591873e+10
6.985367e-01 2.534266e+10
7.054960e-01 2.475287e+10
7.125246e-01 2.422885e+10
7.196233e-01 2.372517e+10
7.267927e-01 2.325870e+10
7.340335e-01 2.277446e+10
7.413465e-01 2.219751e+10
7.487323e-01 2.164624e+10
7.561917e-01 2.122856e+10
7.637254e-01 2.079814e+10
7.713341e-01 2.032808e+10
7.790187e-01 1.985947e+10
7.867798e-01 1.943761e+10
7.946183e-01 1.904917e+10
8.025348e-01 1.864946e+10
8.105303e-01 1.824426e+10
8.186053e-01 1.785445e+10
8.267608e-01 1.750129e+10
8.349976e-01 1.713180e+10
8.433165e-01 1.674568e+10
8.517182e-01 1.641181e+10
8.602036e-01 1.608440e+10
8.687735e-01 1.576335e+10
8.774289e-01 1.544853e+10
8.861704e-01 1.513981e+10
8.949991e-01 1.480309e+10
9.039157e-01 1.447872e+10
9.129211e-01 1.419730e+10
9.220163e-01 1.392117e+10
9.312021e-01 1.362939e+10
9.404793e-01 1.333103e+10
9.498491e-01 1.304200e+10
9.593121e-01 1.273656e+10
9.688695e-01 1.249563e+10
9.785220e-01 1.219820e+10
9.882707e-01 1.192407e+10
9.981166e-01 1.166534e+10
1.008061e+00 1.140725e+10
1.018104e+00 1.115315e+10
1.028247e+00 1.088803e+10
1.038491e+00 1.065257e+10
1.048837e+00 1.042481e+10
1.059286e+00 1.019036e+10
1.069839e+00 9.957873e+09
1.080498e+00 9.753735e+09
1.091263e+00 9.546562e+09
1.102135e+00 9.336155e+09
1.113115e+00 9.119208e+09
1.124204e+00 8.935381e+09
1.135405e+00 8.747305e+09
1.146716e+00 8.519997e+09
1.158141e+00 8.324899e+09
1.169679e+00 8.154906e+09
1.181332e+00 7.992078e+09
1.193101e+00 7.810672e+09
1.204988e+00 7.649295e+09
1.216993e+00 7.489510e+09
1.229117e+00 7.322531e+09
1.241363e+00 7.165086e+09
1.253730e+00 7.013345e+09
1.266220e+00 6.849732e+09
1.278835e+00 6.698252e+09
1.291576e+00 6.558748e+09
1.304444e+00 6.420233e+09
1.317439e+00 6.277369e+09
1.330565e+00 6.132413e+09
1.343821e+00 5.994505e+09
1.357209e+00 5.859979e+09
1.370730e+00 5.719777e+09
1.384386e+00 5.588697e+09
1.398179e+00 5.461817e+09
1.412108e+00 5.343578e+09
1.426177e+00 5.221011e+09
1.440385e+00 5.105242e+09
1.454735e+00 4.991520e+09
1.469229e+00 4.883299e+09
1.483866e+00 4.770999e+09
1.498649e+00 4.668675e+09
1.513580e+00 4.569089e+09
1.528659e+00 4.468127e+09
1.543889e+00 4.360513e+09
1.559270e+00 4.253507e+09
1.574805e+00 4.153941e+09
1.590494e+00 4.062877e+09
1.606340e+00 3.973831e+09
1.622343e+00 3.870270e+09
1.638506e+00 3.779347e+09
1.654830e+00 3.692110e+09
1.671317e+00 3.606419e+09
1.687967e+00 3.516753e+09
1.704784e+00 3.439777e+09
1.721768e+00 3.362161e+09
1.738922e+00 3.280048e+09
1.756246e+00 3.206894e+09
1.773743e+00 3.132182e+09
1.791414e+00 3.060863e+09
1.809262e+00 2.995511e+09
1.827287e+00 2.927735e+09
1.845492e+00 2.859954e+09
1.863878e+00 2.796649e+09
1.882447e+00 2.730543e+09
1.901201e+00 2.667639e+09
1.920142e+00 2.600328e+09
1.939272e+00 2.535918e+09
1.958592e+00 2.475678e+09
1.978105e+00 2.417895e+09
1.997813e+00 2.362331e+09
2.017716e+00 2.309464e+09
2.037818e+00 2.252141e+09
2.058120e+00 2.201285e+09
2.078625e+00 2.154819e+09
2.099333e+00 2.107250e+09
2.120248e+00 2.055196e+09
2.141372e+00 2.006875e+09
2.162706e+00 1.962918e+09
2.184252e+00 1.916684e+09
2.206013e+00 1.870430e+09
2.227991e+00 1.828826e+09
2.250188e+00 1.785708e+09
2.272606e+00 1.744120e+09
2.295247e+00 1.704257e+09
2.318114e+00 1.666651e+09
2.341209e+00 1.628226e+09
2.364533e+00 1.588216e+09
2.388091e+00 1.553052e+09
2.411882e+00 1.513134e+09
2.435911e+00 1.478184e+09
2.460179e+00 1.446479e+09
2.484690e+00 1.413929e+09
2.509444e+00 1.380244e+09
2.534445e+00 1.346432e+09
2.559694e+00 1.312659e+09
2.585196e+00 1.281218e+09
2.610951e+00 1.249778e+09
2.636964e+00 1.220157e+09
2.663235e+00 1.193544e+09
2.689768e+00 1.165614e+09
2.716565e+00 1.135012e+09
2.743630e+00 1.105594e+09
2.770964e+00 1.078835e+09
2.798570e+00 1.053535e+09
2.826451e+00 1.027544e+09
2.854610e+00 1.003376e+09
2.883050e+00 9.796481e+08
2.911773e+00 9.557047e+08
2.940782e+00 9.323347e+08
2.970080e+00 9.095002e+08
2.999670e+00 8.875305e+08
3.029555e+00 8.674027e+08
3.059737e+00 8.460927e+08
3.090221e+00 8.253084e+08
3.121008e+00 8.054262e+08
3.152101e+00 7.848067e+08
3.183505e+00 7.631676e+08
3.215221e+00 7.426475e+08
3.247253e+00 7.226698e+08
3.279605e+00 7.055027e+08
3.312279e+00 6.889506e+08
3.345278e+00 6.722926e+08
3.378606e+00 6.542158e+08
3.412266e+00 6.371493e+08
3.446261e+00 6.205246e+08
3.480595e+00 6.051549e+08
3.515271e+00 5.902872e+08
3.550293e+00 5.758783e+08
3.585664e+00 5.618295e+08
3.621386e+00 5.472265e+08
3.657465e+00 5.324779e+08
3.693903e+00 5.180417e+08
3.730705e+00 5.051421e+08
3.767873e+00 4.924580e+08
3.805411e+00 4.797732e+08
3.843323e+00 4.673192e+08
3.881613e+00 4.544761e+08
3.920284e+00 4.419576e+08
3.959341e+00 4.305144e+08
3.998787e+00 4.194552e+08
4.038625e+00 4.089681e+08
4.078861e+00 3.984055e+08
4.119497e+00 3.879026e+08
4.160539e+00 3.779351e+08
4.201989e+00 3.682271e+08
4.243852e+00 3.587526e+08
4.286132e+00 3.496453e+08
4.328834e+00 3.404797e+08
4.371961e+00 3.316906e+08
4.415517e+00 3.232788e+08
4.459508e+00 3.152190e+08
4.503936e+00 3.069173e+08
4.548808e+00 2.988909e+08
4.594126e+00 2.909997e+08
4.639896e+00 2.834733e+08
4.686122e+00 2.762417e+08
4.732808e+00 2.690184e+08
4.779960e+00 2.619520e+08
4.827581e+00 2.553008e+08
4.875677e+00 2.487218e+08
4.924252e+00 2.423060e+08
4.973311e+00 2.360905e+08
5.022858e+00 2.299262e+08
5.072900e+00 2.239489e+08
5.123439e+00 2.182045e+08
5.174483e+00 2.123797e+08
5.226035e+00 2.064534e+08
5.278100e+00 2.011545e+08
5.330684e+00 1.957876e+08
5.383792e+00 1.906126e+08
5.437429e+00 1.856094e+08
5.491601e+00 1.807952e+08
5.546312e+00 1.757933e+08
5.601568e+00 1.710353e+08
5.657375e+00 1.664905e+08
5.713738e+00 1.620233e+08
5.770662e+00 1.577191e+08
5.828153e+00 1.536044e+08
5.886217e+00 1.495441e+08
5.944860e+00 1.455092e+08
6.004087e+00 1.415785e+08
6.063904e+00 1.377640e+08
6.124317e+00 1.340731e+08
6.185331e+00 1.304765e+08
6.246954e+00 1.269719e+08
6.309191e+00 1.235570e+08
6.372047e+00 1.202297e+08
6.435530e+00 1.169490e+08
6.499645e+00 1.137451e+08
6.564399e+00 1.107223e+08
6.629798e+00 1.077529e+08
6.695849e+00 1.048317e+08
6.762558e+00 1.019092e+08
6.829931e+00 9.901777e+07
6.897976e+00 9.627542e+07
6.966698e+00 9.368248e+07
7.036105e+00 9.115779e+07
7.106204e+00 8.866308e+07
7.177001e+00 8.619086e+07
7.248503e+00 8.378758e+07
7.320718e+00 8.145133e+07
7.393652e+00 7.923172e+07
7.467313e+00 7.711935e+07
7.541707e+00 7.501196e+07
7.616843e+00 7.290365e+07
7.692728e+00 7.085006e+07
7.769368e+00 6.882522e+07
7.846772e+00 6.685825e+07
7.924947e+00 6.494749e+07
8.003901e+00 6.309135e+07
8.083641e+00 6.135125e+07
8.164176e+00 5.968007e+07
8.245513e+00 5.802901e+07
8.327661e+00 5.636735e+07
8.410627e+00 5.475327e+07
8.494420e+00 5.318541e+07
8.579047e+00 5.168713e+07
8.664517e+00 5.026256e+07
8.750839e+00 4.887650e+07
8.838021e+00 4.749921e+07
8.926072e+00 4.613889e+07
9.015000e+00 4.481754e+07
9.104813e+00 4.353402e+07
9.195522e+00 4.228727e+07
9.287134e+00 4.107623e+07
9.379659e+00 3.989987e+07
9.473106e+00 3.875721e+07
9.567484e+00 3.764727e+07
9.662802e+00 3.656912e+07
9.759069e+00 3.552184e+07
9.856296e+00 3.450457e+07
9.954491e+00 3.349567e+07
1.005366e+01 3.251405e+07
1.015383e+01 3.157429e+07
1.025499e+01 3.066719e+07
1.035715e+01 2.978616e+07
1.046034e+01 2.893150e+07
1.056455e+01 2.810848e+07
1.066980e+01 2.730888e+07
1.077610e+01 2.653202e+07
1.088346e+01 2.577727e+07
1.099189e+01 2.504398e+07
1.110140e+01 2.433156e+07
1.121200e+01 2.363940e+07
1.132370e+01 2.296693e+07
1.143652e+01 2.230700e+07
1.155046e+01 2.166786e+07
1.166553e+01 2.105045e+07
1.178175e+01 2.044009e+07
1.189913e+01 1.984895e+07
1.201767e+01 1.929186e+07
1.213740e+01 1.875157e+07
1.225832e+01 1.821419e+07
1.238045e+01 1.769129e+07
1.250379e+01 1.718754e+07
1.262836e+01 1.669814e+07
1.275418e+01 1.622456e+07
1.288124e+01 1.576721e+07
1.300958e+01 1.532293e+07
1.313919e+01 1.489346e+07
1.327009e+01 1.447603e+07
1.340229e+01 1.406874e+07
1.353582e+01 1.367079e+07
1.367067e+01 1.328410e+07
1.380687e+01 1.290834e+07
1.394442e+01 1.254321e+07
1.408334e+01 1.218841e+07
1.422365e+01 1.184200e+07
1.436536e+01 1.150082e+07
1.450848e+01 1.116947e+07
1.465302e+01 1.084768e+07
1.479900e+01 1.053516e+07
1.494644e+01 1.024005e+07
1.509535e+01 9.956054e+06
1.524574e+01 9.683105e+06
1.539763e+01 9.417638e+06
1.555103e+01 9.149021e+06
1.570596e+01 8.888288e+06
1.586243e+01 8.632485e+06
1.602047e+01 8.382791e+06
1.618007e+01 8.140322e+06
1.634127e+01 7.905713e+06
1.650407e+01 7.685689e+06
1.666850e+01 7.471790e+06
1.683456e+01 7.263845e+06
1.700228e+01 7.061688e+06
1.717167e+01 6.865159e+06
1.734275e+01 6.671942e+06
1.751553e+01 6.482996e+06
1.769003e+01 6.299379e+06
1.786627e+01 6.120964e+06
1.804426e+01 5.947601e+06
1.822403e+01 5.779149e+06
1.840560e+01 5.615468e+06
1.858896e+01 5.456423e+06
1.877416e+01 5.301882e+06
1.896120e+01 5.151962e+06
1.915011e+01 5.007010e+06
1.934089e+01 4.866136e+06
1.953358e+01 4.729225e+06
1.972819e+01 4.596168e+06
1.992473e+01 4.466854e+06
2.012324e+01 4.338492e+06
2.032372e+01 4.211423e+06
2.052620e+01 4.090131e+06
2.073070e+01 3.971390e+06
2.093723e+01 3.854580e+06
2.114582e+01 3.741207e+06
2.135649e+01 3.630472e+06
2.156926e+01 3.522747e+06
2.178415e+01 3.419455e+06
2.200118e+01 3.318906e+06
2.222037e+01 3.221219e+06
2.244174e+01 3.126765e+06
2.266532e+01 3.035698e+06
2.289113e+01 2.946687e+06
2.311919e+01 2.860286e+06
2.334952e+01 2.776418e+06
2.358214e+01 2.695009e+06
2.381708e+01 2.615988e+06
2.405437e+01 2.539283e+06
2.429401e+01 2.464828e+06
2.453605e+01 2.392625e+06
2.478049e+01 2.323388e+06
2.502737e+01 2.256155e+06
2.527671e+01 2.190868e+06
2.552854e+01 2.127470e+06
2.578287e+01 2.066512e+06
2.603974e+01 2.010026e+06
2.629916e+01 1.955086e+06
2.656117e+01 1.901169e+06
2.682580e+01 1.846948e+06
2.709305e+01 1.795820e+06
2.736297e+01 1.743245e+06
2.763558e+01 1.692023e+06
2.791091e+01 1.642306e+06
2.818897e+01 1.596125e+06
2.846981e+01 1.549874e+06
2.875345e+01 1.504300e+06
2.903991e+01 1.460795e+06
2.932923e+01 1.418649e+06
2.962143e+01 1.377718e+06
2.991654e+01 1.337969e+06
3.021458e+01 1.299949e+06
3.051560e+01 1.263276e+06
3.081962e+01 1.227638e+06
3.112667e+01 1.193005e+06
3.143677e+01 1.159350e+06
3.174997e+01 1.126661e+06
3.206628e+01 1.095275e+06
3.238575e+01 1.064763e+06
3.270840e+01 1.035100e+06
3.303426e+01 1.006265e+06
3.336338e+01 9.782320e+05
3.369576e+01 9.508340e+05
3.403147e+01 9.235469e+05
3.437051e+01 8.970435e+05
3.471293e+01 8.709319e+05
3.505877e+01 8.450277e+05
3.540805e+01 8.198940e+05
3.576081e+01 7.955078e+05
3.611708e+01 7.723837e+05
3.647691e+01 7.504852e+05
3.684031e+01 7.292097e+05
3.720734e+01 7.085373e+05
3.757803e+01 6.884509e+05
3.795241e+01 6.689341e+05
3.833052e+01 6.502153e+05
3.871239e+01 6.321214e+05
3.909807e+01 6.145310e+05
3.948759e+01 5.974302e+05
3.988100e+01 5.808054e+05
4.027832e+01 5.646432e+05
4.067960e+01 5.487016e+05
4.108488e+01 5.330299e+05
4.149420e+01 5.176121e+05
4.190759e+01 5.026654e+05
4.232510e+01 4.882894e+05
4.274678e+01 4.743249e+05
4.317265e+01 4.608338e+05
4.360277e+01 4.477433e+05
4.403717e+01 4.350248e+05
4.447590e+01 4.226677e+05
4.491900e+01 4.103646e+05
4.536651e+01 3.986866e+05
4.581848e+01 3.873825e+05
4.627496e+01 3.763993e+05
4.673598e+01 3.657280e+05
4.720160e+01 3.553595e+05
4.767186e+01 3.451582e+05
4.814680e+01 3.352646e+05
4.862647e+01 3.257722e+05
4.911092e+01 3.165487e+05
4.960020e+01 3.075866e+05
5.009435e+01 2.986396e+05
5.059342e+01 2.897952e+05
5.109747e+01 2.812129e+05
5.160654e+01 2.730429e+05
5.212068e+01 2.652155e+05
5.263994e+01 2.576125e+05
5.316438e+01 2.500733e+05
5.369404e+01 2.425333e+05
5.422898e+01 2.353130e+05
5.476924e+01 2.284453e+05
5.531489e+01 2.220571e+05
5.586598e+01 2.156849e+05
5.642256e+01 2.094465e+05
5.698468e+01 2.034809e+05
5.755240e+01 1.976509e+05
5.812578e+01 1.919595e+05
5.870487e+01 1.864319e+05
5.928972e+01 1.810636e+05
5.988041e+01 1.758498e+05
6.047698e+01 1.708544e+05
6.107949e+01 1.660149e+05
6.168801e+01 1.613175e+05
6.230259e+01 1.567653e+05
6.292329e+01 1.523034e+05
6.355018e+01 1.479893e+05
6.418331e+01 1.437696e+05
6.482275e+01 1.395674e+05
6.546856e+01 1.354880e+05
6.612080e+01 1.315573e+05
6.677954e+01 1.277714e+05
6.744485e+01 1.240944e+05
6.811678e+01 1.204996e+05
6.879541e+01 1.169963e+05
6.948080e+01 1.135659e+05
7.017301e+01 1.102362e+05
7.087213e+01 1.070040e+05
7.157820e+01 1.038666e+05
7.229132e+01 1.008213e+05
7.301153e+01 9.786519e+04
7.373893e+01 9.502628e+04
7.447356e+01 9.231667e+04
7.521552e+01 8.968435e+04
7.596487e+01 8.712711e+04
7.672169e+01 8.463619e+04
7.748604e+01 8.220274e+04
7.825801e+01 7.985755e+04
7.903767e+01 7.755147e+04
7.982510e+01 7.529268e+04
8.062038e+01 7.312458e+04
8.142357e+01 7.101999e+04
8.223477e+01 6.898265e+04
8.305405e+01 6.700377e+04
8.388150e+01 6.508165e+04
8.471718e+01 6.321468e+04
8.556119e+01 6.138624e+04
8.641361e+01 5.960561e+04
8.727453e+01 5.788273e+04
8.814402e+01 5.621598e+04
8.902217e+01 5.458503e+04
8.990907e+01 5.298906e+04
9.080481e+01 5.143975e+04
9.170947e+01 4.995555e+04
9.262314e+01 4.855126e+04
9.354592e+01 4.721892e+04
9.447789e+01 4.589366e+04
9.541915e+01 4.459561e+04
9.636978e+01 4.333862e+04
9.732988e+01 4.212858e+04
9.829955e+01 4.092603e+04
9.927888e+01 3.975090e+04
1.002680e+02 3.862536e+04
1.012669e+02 3.753418e+04
1.022758e+02 3.647383e+04
1.032947e+02 3.544295e+04
1.043238e+02 3.443264e+04
1.053632e+02 3.345114e+04
1.064129e+02 3.249761e+04
1.074730e+02 3.156301e+04
1.085438e+02 3.064449e+04
1.096252e+02 2.975271e+04
1.107173e+02 2.888688e+04
1.118204e+02 2.804626e+04
1.129344e+02 2.723011e+04
1.140595e+02 2.645511e+04
1.151959e+02 2.571233e+04
1.163435e+02 2.499042e+04
1.175026e+02 2.427582e+04
1.186733e+02 2.357910e+04
1.198556e+02 2.290807e+04
1.210497e+02 2.225615e+04
1.222556e+02 2.162280e+04
1.234736e+02 2.101307e+04
1.247038e+02 2.042301e+04
1.259462e+02 1.984953e+04
1.272009e+02 1.927941e+04
1.284682e+02 1.872175e+04
1.297481e+02 1.818022e+04
1.310407e+02 1.765436e+04
1.323462e+02 1.714371e+04
1.336648e+02 1.664784e+04
1.349964e+02 1.616631e+04
1.363414e+02 1.569871e+04
1.376997e+02 1.524463e+04
1.390715e+02 1.480369e+04
1.404571e+02 1.437551e+04
1.418564e+02 1.395971e+04
1.432697e+02 1.356173e+04
1.446970e+02 1.317725e+04
1.461386e+02 1.280366e+04
1.475945e+02 1.244029e+04
1.490650e+02 1.208065e+04
1.505501e+02 1.173141e+04
1.520500e+02 1.139227e+04
1.535648e+02 1.106294e+04
1.550947e+02 1.074706e+04
1.566399e+02 1.044238e+04
1.582004e+02 1.014635e+04
1.597765e+02 9.858706e+03
1.613683e+02 9.579219e+03
1.629760e+02 9.307656e+03
1.645997e+02 9.043793e+03
1.662395e+02 8.784754e+03
1.678957e+02 8.532268e+03
1.695684e+02 8.287038e+03
1.712578e+02 8.048858e+03
1.729640e+02 7.820410e+03
1.746872e+02 7.590006e+03
1.764275e+02 7.366649e+03
1.781852e+02 7.151657e+03
1.799604e+02 6.942941e+03
1.817533e+02 6.740319e+03
1.835641e+02 6.543612e+03
1.853929e+02 6.351842e+03
1.872399e+02 6.166326e+03
1.891053e+02 5.994037e+03
1.909893e+02 5.826567e+03
1.928921e+02 5.663781e+03
1.948138e+02 5.505549e+03
1.967547e+02 5.350858e+03
1.987149e+02 5.196976e+03
2.006946e+02 5.044563e+03
2.026941e+02 4.896622e+03
2.047134e+02 4.753020e+03
2.067529e+02 4.613631e+03
2.088128e+02 4.478330e+03
2.108931e+02 4.349468e+03
2.129942e+02 4.225778e+03
2.151162e+02 4.105972e+03
2.172593e+02 3.988853e+03
2.194238e+02 3.875421e+03
