# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
3.524691e-01 2.704992e+10
3.559807e-01 2.648127e+10
3.595272e-01 2.592283e+10
3.631090e-01 2.537616e+10
3.667266e-01 2.484101e+10
3.703802e-01 2.432609e+10
3.740702e-01 2.382703e+10
3.777969e-01 2.333816e+10
3.815608e-01 2.284356e+10
3.853622e-01 2.234734e+10
3.892014e-01 2.185648e+10
3.930789e-01 2.138391e+10
3.969950e-01 2.092718e+10
4.009502e-01 2.048160e+10
4.049447e-01 2.007007e+10
4.089791e-01 1.965623e+10
4.130536e-01 1.924180e+10
4.171687e-01 1.883919e+10
4.213249e-01 1.844633e+10
4.255224e-01 1.806160e+10
4.297618e-01 1.768483e+10
4.340433e-01 1.730318e+10
4.383676e-01 1.693324e+10
4.427349e-01 1.660717e+10
4.471458e-01 1.627681e+10
4.516005e-01 1.594644e+10
4.560997e-01 1.562267e+10
4.606437e-01 1.530716e+10
4.652329e-01 1.500130e+10
4.698679e-01 1.470144e+10
4.745491e-01 1.439388e+10
4.792769e-01 1.409115e+10
4.840518e-01 1.379474e+10
4.888742e-01 1.349486e+10
4.937447e-01 1.318809e+10
4.986638e-01 1.291252e+10
5.036318e-01 1.264915e+10
5.086493e-01 1.238995e+10
5.137168e-01 1.212553e+10
5.188349e-01 1.185840e+10
5.240038e-01 1.159712e+10
5.292243e-01 1.134157e+10
5.344968e-01 1.109162e+10
5.398219e-01 1.084716e+10
5.452000e-01 1.061803e+10
5.506316e-01 1.039601e+10
5.561174e-01 1.018622e+10
5.616578e-01 9.979430e+09
5.672535e-01 9.773637e+09
5.729048e-01 9.585689e+09
5.786125e-01 9.395102e+09
5.843771e-01 9.207751e+09
5.901990e-01 9.024049e+09
5.960790e-01 8.843925e+09
6.020176e-01 8.667311e+09
6.080153e-01 8.494182e+09
6.140728e-01 8.324341e+09
6.201906e-01 8.157856e+09
6.263694e-01 7.994617e+09
6.326097e-01 7.832015e+09
6.389122e-01 7.665933e+09
6.452775e-01 7.507428e+09
6.517062e-01 7.355571e+09
6.581990e-01 7.206741e+09
6.647564e-01 7.060877e+09
6.713792e-01 6.914819e+09
6.780679e-01 6.766649e+09
6.848233e-01 6.621626e+09
6.916460e-01 6.479682e+09
6.985367e-01 6.335664e+09
7.054960e-01 6.188217e+09
7.125246e-01 6.057212e+09
7.196233e-01 5.931293e+09
7.267927e-01 5.814675e+09
7.340335e-01 5.693614e+09
7.413465e-01 5.549377e+09
7.487323e-01 5.411560e+09
7.561917e-01 5.307141e+09
7.637254e-01 5.199536e+09
7.713341e-01 5.082021e+09
7.790187e-01 4.964867e+09
7.867798e-01 4.859403e+09
7.946183e-01 4.762293e+09
8.025348e-01 4.662364e+09
8.105303e-01 4.561065e+09
8.186053e-01 4.463612e+09
8.267608e-01 4.375323e+09
8.349976e-01 4.282950e+09
8.433165e-01 4.186420e+09
8.517182e-01 4.102952e+09
8.602036e-01 4.021101e+09
8.687735e-01 3.940838e+09
8.774289e-01 3.862132e+09
