# Energy(MeV) Fluence_Sferica_Median
2.209850e+01 2.072122e+08
2.238016e+01 2.021826e+08
2.266542e+01 1.972921e+08
2.295430e+01 1.925355e+08
2.324688e+01 1.878710e+08
2.354318e+01 1.832127e+08
2.384325e+01 1.786960e+08
2.414715e+01 1.743163e+08
2.445493e+01 1.699573e+08
2.476663e+01 1.657141e+08
2.508230e+01 1.615318e+08
2.540199e+01 1.574410e+08
2.572576e+01 1.534173e+08
2.605366e+01 1.494868e+08
2.638573e+01 1.456275e+08
2.672204e+01 1.418574e+08
2.706263e+01 1.381684e+08
2.740757e+01 1.345646e+08
2.775690e+01 1.310087e+08
2.811069e+01 1.275699e+08
2.846898e+01 1.241802e+08
2.883184e+01 1.208482e+08
2.919932e+01 1.176036e+08
2.957149e+01 1.143968e+08
2.994841e+01 1.112556e+08
3.033012e+01 1.081724e+08
3.071671e+01 1.051838e+08
3.110821e+01 1.022330e+08
3.150471e+01 9.938170e+07
3.190627e+01 9.660870e+07
3.231294e+01 9.387513e+07
3.272479e+01 9.120983e+07
3.314190e+01 8.859249e+07
3.356432e+01 8.604247e+07
3.399212e+01 8.354627e+07
3.442538e+01 8.111363e+07
3.486416e+01 7.872367e+07
3.530853e+01 7.640608e+07
3.575857e+01 7.412649e+07
3.621434e+01 7.190901e+07
3.667592e+01 6.974158e+07
3.714338e+01 6.763627e+07
3.761681e+01 6.556745e+07
3.809626e+01 6.354527e+07
3.858183e+01 6.160243e+07
3.907359e+01 5.969494e+07
3.957161e+01 5.783249e+07
4.007598e+01 5.599805e+07
4.058679e+01 5.422244e+07
4.110410e+01 5.248273e+07
4.162800e+01 5.079574e+07
4.215858e+01 4.917023e+07
4.269593e+01 4.758787e+07
4.324012e+01 4.603584e+07
4.379126e+01 4.451147e+07
4.434941e+01 4.301975e+07
4.491468e+01 4.156576e+07
4.548715e+01 4.016855e+07
4.606692e+01 3.881479e+07
4.665408e+01 3.749430e+07
4.724873e+01 3.619604e+07
4.785095e+01 3.492996e+07
4.846085e+01 3.370867e+07
4.907852e+01 3.250956e+07
4.970407e+01 3.136008e+07
5.033759e+01 3.023240e+07
5.097918e+01 2.914446e+07
5.162895e+01 2.809300e+07
5.228701e+01 2.706506e+07
5.295345e+01 2.606222e+07
5.362838e+01 2.510535e+07
5.431192e+01 2.417185e+07
5.500417e+01 2.327294e+07
5.570524e+01 2.238905e+07
5.641525e+01 2.152662e+07
5.713431e+01 2.069571e+07
5.786253e+01 1.989067e+07
5.860004e+01 1.911564e+07
5.934694e+01 1.836574e+07
6.010337e+01 1.763392e+07
6.086943e+01 1.693271e+07
6.164526e+01 1.626177e+07
6.243098e+01 1.560960e+07
6.322671e+01 1.498114e+07
6.403259e+01 1.437334e+07
6.484874e+01 1.379293e+07
6.567529e+01 1.323544e+07
6.651237e+01 1.270031e+07
6.736013e+01 1.218372e+07
6.821869e+01 1.169447e+07
6.908819e+01 1.121839e+07
6.996877e+01 1.076441e+07
7.086058e+01 1.032925e+07
7.176376e+01 9.913875e+06
7.267845e+01 9.515415e+06
7.360479e+01 9.131897e+06
7.454294e+01 8.761549e+06
7.549305e+01 8.406974e+06
7.645527e+01 8.067250e+06
7.742976e+01 7.740989e+06
7.841666e+01 7.427072e+06
7.941615e+01 7.124951e+06
8.042837e+01 6.833767e+06
8.145350e+01 6.556935e+06
8.249169e+01 6.291031e+06
8.354311e+01 6.037411e+06
8.460794e+01 5.793248e+06
8.568633e+01 5.559800e+06
8.677847e+01 5.333202e+06
8.788454e+01 5.116624e+06
8.900470e+01 4.907498e+06
9.013913e+01 4.706338e+06
9.128803e+01 4.514966e+06
9.245157e+01 4.331831e+06
9.362994e+01 4.157504e+06
9.482333e+01 3.989052e+06
9.603193e+01 3.827395e+06
9.725594e+01 3.671196e+06
9.849554e+01 3.522024e+06
9.975095e+01 3.380039e+06
1.010224e+02 3.243485e+06
1.023100e+02 3.112121e+06
1.036140e+02 2.985818e+06
1.049346e+02 2.864413e+06
1.062721e+02 2.747946e+06
1.076266e+02 2.635946e+06
1.089984e+02 2.530096e+06
1.103877e+02 2.427923e+06
1.117947e+02 2.329227e+06
1.132196e+02 2.234959e+06
1.146627e+02 2.144394e+06
1.161241e+02 2.057408e+06
1.176042e+02 1.974813e+06
1.191032e+02 1.894698e+06
1.206213e+02 1.817387e+06
1.221587e+02 1.743842e+06
1.237157e+02 1.673023e+06
1.252925e+02 1.604834e+06
1.268895e+02 1.540383e+06
1.285068e+02 1.478144e+06
1.301447e+02 1.418424e+06
1.318035e+02 1.360633e+06
1.334835e+02 1.305070e+06
1.351848e+02 1.252169e+06
1.369079e+02 1.201759e+06
1.386529e+02 1.152802e+06
1.404201e+02 1.106443e+06
1.422099e+02 1.061478e+06
1.440225e+02 1.018630e+06
