# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.979703e+01 1.563783e+06
2.005669e+01 1.524562e+06
2.031975e+01 1.486320e+06
2.058626e+01 1.449031e+06
2.085627e+01 1.412672e+06
2.112982e+01 1.377220e+06
2.140696e+01 1.342652e+06
2.168773e+01 1.308947e+06
2.197218e+01 1.276083e+06
2.226037e+01 1.244038e+06
2.255233e+01 1.212794e+06
2.284813e+01 1.182329e+06
2.314780e+01 1.152624e+06
2.345141e+01 1.123661e+06
2.375899e+01 1.095420e+06
2.407061e+01 1.067885e+06
2.438632e+01 1.041037e+06
2.470617e+01 1.014860e+06
2.503022e+01 9.893362e+05
2.535851e+01 9.644498e+05
2.569111e+01 9.401849e+05
2.602807e+01 9.165261e+05
2.636945e+01 8.934583e+05
2.671531e+01 8.709668e+05
2.706571e+01 8.490372e+05
2.742070e+01 8.276556e+05
2.778035e+01 8.068083e+05
2.814471e+01 7.864820e+05
2.851386e+01 7.666637e+05
2.888784e+01 7.473409e+05
2.926673e+01 7.285011e+05
2.965059e+01 7.101323e+05
3.003948e+01 6.922229e+05
3.043348e+01 6.747613e+05
3.083264e+01 6.577364e+05
3.123704e+01 6.411374e+05
3.164674e+01 6.249537e+05
3.206182e+01 6.091748e+05
3.248234e+01 5.937908e+05
3.290837e+01 5.787917e+05
3.334000e+01 5.641680e+05
3.377728e+01 5.499104e+05
3.422030e+01 5.360097e+05
3.466913e+01 5.224570e+05
3.512385e+01 5.092437e+05
3.558453e+01 4.963613e+05
3.605125e+01 4.838015e+05
3.652410e+01 4.715564e+05
3.700315e+01 4.596180e+05
3.748848e+01 4.479788e+05
3.798017e+01 4.366313e+05
3.847832e+01 4.255681e+05
3.898299e+01 4.147823e+05
3.949429e+01 4.042669e+05
4.001230e+01 3.940152e+05
4.053709e+01 3.840205e+05
4.106877e+01 3.742766e+05
4.160743e+01 3.647770e+05
4.215315e+01 3.555158e+05
4.270602e+01 3.464870e+05
4.326615e+01 3.376848e+05
4.383363e+01 3.291035e+05
4.440855e+01 3.207377e+05
4.499100e+01 3.125819e+05
4.558110e+01 3.046309e+05
4.617894e+01 2.968796e+05
4.678462e+01 2.893231e+05
4.739824e+01 2.819564e+05
4.801991e+01 2.747749e+05
4.864974e+01 2.677738e+05
4.928782e+01 2.609488e+05
4.993428e+01 2.542954e+05
5.058921e+01 2.478093e+05
5.125274e+01 2.414863e+05
5.192496e+01 2.353224e+05
5.260600e+01 2.293136e+05
5.329598e+01 2.234560e+05
5.399501e+01 2.177459e+05
5.470320e+01 2.121796e+05
5.542068e+01 2.067534e+05
5.614757e+01 2.014639e+05
5.688400e+01 1.963076e+05
5.763009e+01 1.912813e+05
5.838596e+01 1.863817e+05
5.915174e+01 1.816056e+05
5.992757e+01 1.769499e+05
6.071358e+01 1.724116e+05
6.150989e+01 1.679878e+05
6.231665e+01 1.636756e+05
6.313399e+01 1.594723e+05
6.396205e+01 1.553750e+05
6.480097e+01 1.513813e+05
6.565089e+01 1.474883e+05
6.651196e+01 1.436937e+05
6.738433e+01 1.399950e+05
6.826813e+01 1.363898e+05
6.916353e+01 1.328758e+05
7.007068e+01 1.294505e+05
7.098972e+01 1.261120e+05
7.192081e+01 1.228579e+05
7.286412e+01 1.196861e+05
7.381980e+01 1.165946e+05
7.478801e+01 1.135814e+05
7.576892e+01 1.106446e+05
7.676270e+01 1.077821e+05
7.776952e+01 1.049922e+05
7.878953e+01 1.022730e+05
7.982293e+01 9.962276e+04
8.086988e+01 9.703975e+04
8.193056e+01 9.452227e+04
8.300516e+01 9.206869e+04
8.409384e+01 8.967740e+04
8.519681e+01 8.734684e+04
8.631425e+01 8.507550e+04
8.744634e+01 8.286187e+04
8.859327e+01 8.070452e+04
8.975526e+01 7.860203e+04
9.093248e+01 7.655302e+04
9.212514e+01 7.455616e+04
9.333344e+01 7.261013e+04
9.455760e+01 7.071366e+04
9.579781e+01 6.886550e+04
9.705428e+01 6.706444e+04
9.832724e+01 6.530929e+04
9.961689e+01 6.359891e+04
1.009235e+02 6.193216e+04
1.022472e+02 6.030795e+04
1.035882e+02 5.872521e+04
1.049469e+02 5.718290e+04
1.063233e+02 5.568000e+04
1.077179e+02 5.421552e+04
1.091307e+02 5.278849e+04
1.105620e+02 5.139797e+04
1.120122e+02 5.004304e+04
1.134813e+02 4.872280e+04
1.149697e+02 4.743639e+04
1.164777e+02 4.618294e+04
1.180054e+02 4.496164e+04
1.195531e+02 4.377166e+04
1.211212e+02 4.261222e+04
1.227098e+02 4.148255e+04
1.243192e+02 4.038190e+04
1.259498e+02 3.930954e+04
1.276017e+02 3.826475e+04
1.292753e+02 3.724684e+04
1.309709e+02 3.625513e+04
1.326887e+02 3.528895e+04
1.344290e+02 3.434767e+04
1.361922e+02 3.343066e+04
1.379785e+02 3.253729e+04
1.397882e+02 3.166698e+04
1.416216e+02 3.081914e+04
1.434791e+02 2.999321e+04
1.453610e+02 2.918862e+04
1.472675e+02 2.840484e+04
1.491991e+02 2.764135e+04
1.511560e+02 2.689762e+04
1.531385e+02 2.617317e+04
1.551471e+02 2.546749e+04
1.571820e+02 2.478012e+04
1.592436e+02 2.411059e+04
1.613322e+02 2.345846e+04
1.634482e+02 2.282327e+04
1.655920e+02 2.220459e+04
1.677639e+02 2.160202e+04
1.699642e+02 2.101514e+04
1.721935e+02 2.044355e+04
1.744519e+02 1.988687e+04
1.767400e+02 1.934471e+04
1.790581e+02 1.881671e+04
1.814067e+02 1.830251e+04
1.837860e+02 1.780175e+04
1.861965e+02 1.731410e+04
1.886386e+02 1.683921e+04
1.911128e+02 1.637678e+04
1.936194e+02 1.592647e+04
1.961589e+02 1.548798e+04
1.987317e+02 1.506101e+04
2.013383e+02 1.464526e+04
2.039790e+02 1.424045e+04
2.066544e+02 1.384631e+04
2.093648e+02 1.346255e+04
2.121108e+02 1.308891e+04
2.148929e+02 1.272514e+04
2.177114e+02 1.237097e+04
2.205669e+02 1.202618e+04
2.234598e+02 1.169051e+04
2.263907e+02 1.136373e+04
2.293600e+02 1.104562e+04
2.323683e+02 1.073595e+04
2.354160e+02 1.043451e+04
2.385037e+02 1.014109e+04
2.416319e+02 9.855471e+03
2.448011e+02 9.577467e+03
2.480119e+02 9.306878e+03
2.512648e+02 9.043512e+03
2.545603e+02 8.787186e+03
2.578991e+02 8.537717e+03
2.612817e+02 8.294930e+03
2.647087e+02 8.058651e+03
2.681806e+02 7.828715e+03
2.716980e+02 7.604957e+03
2.752616e+02 7.387218e+03
2.788719e+02 7.175342e+03
2.825295e+02 6.969179e+03
2.862352e+02 6.768582e+03
2.899894e+02 6.573405e+03
2.937929e+02 6.383509e+03
2.976462e+02 6.198757e+03
3.015501e+02 6.019017e+03
3.055052e+02 5.844158e+03
3.095122e+02 5.674053e+03
3.135717e+02 5.508581e+03
3.176845e+02 5.347619e+03
3.218512e+02 5.191052e+03
3.260726e+02 5.038764e+03
3.303494e+02 4.890645e+03
3.346822e+02 4.746586e+03
3.390718e+02 4.606481e+03
3.435191e+02 4.470228e+03
3.480246e+02 4.337725e+03
3.525893e+02 4.208876e+03
3.572138e+02 4.083583e+03
3.618990e+02 3.961755e+03
3.666457e+02 3.843301e+03
3.714546e+02 3.728132e+03
3.763265e+02 3.616163e+03
3.812624e+02 3.507309e+03
3.862630e+02 3.401488e+03
