# Energy(MeV) Fluence_Sferica_Median(p/cm2)
3.931829e+00 8.962906e+07
3.959110e+00 8.875939e+07
3.986581e+00 8.789777e+07
4.014242e+00 8.704362e+07
4.042096e+00 8.620278e+07
4.070142e+00 8.537061e+07
4.098384e+00 8.454631e+07
4.126821e+00 8.372980e+07
4.155455e+00 8.292388e+07
4.184289e+00 8.211247e+07
4.213322e+00 8.131073e+07
4.242556e+00 8.051833e+07
4.271994e+00 7.973349e+07
4.301636e+00 7.895614e+07
4.331483e+00 7.818622e+07
4.361538e+00 7.742364e+07
4.391801e+00 7.667448e+07
4.422274e+00 7.593381e+07
4.452959e+00 7.519567e+07
4.483856e+00 7.445987e+07
4.514968e+00 7.373112e+07
4.546295e+00 7.300803e+07
4.577841e+00 7.229100e+07
4.609604e+00 7.158175e+07
4.641589e+00 7.088172e+07
4.673795e+00 7.019047e+07
4.706225e+00 6.950655e+07
4.738880e+00 6.882508e+07
4.771761e+00 6.814910e+07
4.804870e+00 6.748011e+07
4.838210e+00 6.682382e+07
4.871780e+00 6.617373e+07
4.905584e+00 6.552980e+07
4.939622e+00 6.489196e+07
4.973896e+00 6.426016e+07
5.008408e+00 6.363336e+07
5.043159e+00 6.301434e+07
5.078152e+00 6.240267e+07
5.113388e+00 6.179109e+07
5.148867e+00 6.118506e+07
5.184594e+00 6.058721e+07
5.220568e+00 5.999718e+07
5.256791e+00 5.941272e+07
5.293266e+00 5.883380e+07
5.329994e+00 5.826119e+07
5.366977e+00 5.769428e+07
5.404216e+00 5.713273e+07
5.441714e+00 5.657774e+07
5.479472e+00 5.602992e+07
5.517492e+00 5.548590e+07
5.555776e+00 5.494594e+07
5.594326e+00 5.441076e+07
5.633143e+00 5.387826e+07
5.672229e+00 5.335081e+07
5.711586e+00 5.282957e+07
5.751217e+00 5.231457e+07
5.791123e+00 5.180371e+07
5.831305e+00 5.129152e+07
5.871766e+00 5.079157e+07
5.912508e+00 5.029290e+07
5.953533e+00 4.979525e+07
5.994843e+00 4.930212e+07
6.036439e+00 4.881546e+07
6.078323e+00 4.833346e+07
6.120498e+00 4.785608e+07
6.162966e+00 4.738124e+07
6.205729e+00 4.691141e+07
6.248788e+00 4.645028e+07
6.292146e+00 4.598974e+07
6.335805e+00 4.553701e+07
