# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.550175e+01 4.249935e+08
1.571784e+01 4.136093e+08
1.593694e+01 4.024503e+08
1.615909e+01 3.917175e+08
1.638434e+01 3.813755e+08
1.661273e+01 3.710780e+08
1.684430e+01 3.610519e+08
1.707910e+01 3.513835e+08
1.731717e+01 3.420074e+08
1.755856e+01 3.324769e+08
1.780332e+01 3.235000e+08
1.805149e+01 3.146290e+08
1.830312e+01 3.060939e+08
1.855825e+01 2.977207e+08
1.881694e+01 2.894717e+08
1.907924e+01 2.813863e+08
1.934520e+01 2.734783e+08
1.961486e+01 2.658700e+08
1.988828e+01 2.582439e+08
2.016551e+01 2.509535e+08
2.044661e+01 2.440199e+08
2.073162e+01 2.371109e+08
2.102061e+01 2.304444e+08
2.131362e+01 2.239888e+08
2.161073e+01 2.175798e+08
2.191197e+01 2.112890e+08
2.221741e+01 2.050893e+08
2.252711e+01 1.991987e+08
2.284112e+01 1.934972e+08
2.315951e+01 1.876081e+08
2.348235e+01 1.820015e+08
2.380968e+01 1.768659e+08
2.414157e+01 1.716648e+08
2.447809e+01 1.664951e+08
2.481930e+01 1.614872e+08
2.516527e+01 1.566998e+08
2.551606e+01 1.519397e+08
2.587174e+01 1.474098e+08
2.623238e+01 1.429478e+08
2.659804e+01 1.385256e+08
2.696881e+01 1.343222e+08
2.734474e+01 1.301170e+08
2.772591e+01 1.260415e+08
2.811239e+01 1.221069e+08
2.850426e+01 1.182980e+08
2.890160e+01 1.145391e+08
2.930447e+01 1.110138e+08
2.971296e+01 1.074275e+08
3.012714e+01 1.040313e+08
3.054710e+01 1.007322e+08
3.097291e+01 9.746719e+07
3.140465e+01 9.441922e+07
3.184242e+01 9.136715e+07
3.228628e+01 8.842681e+07
3.273634e+01 8.558928e+07
3.319266e+01 8.280199e+07
3.365535e+01 8.006657e+07
3.412449e+01 7.741613e+07
3.460016e+01 7.489203e+07
3.508247e+01 7.246350e+07
3.557150e+01 7.003235e+07
3.606735e+01 6.761732e+07
3.657011e+01 6.527531e+07
3.707988e+01 6.304343e+07
3.759675e+01 6.085962e+07
3.812083e+01 5.883390e+07
3.865221e+01 5.682842e+07
3.919100e+01 5.485136e+07
3.973730e+01 5.284072e+07
4.029122e+01 5.101452e+07
4.085286e+01 4.925578e+07
4.142232e+01 4.747918e+07
4.199973e+01 4.580166e+07
4.258518e+01 4.414941e+07
4.317880e+01 4.252945e+07
4.378069e+01 4.095538e+07
4.439097e+01 3.946719e+07
4.500975e+01 3.800915e+07
4.563716e+01 3.663709e+07
4.627332e+01 3.526346e+07
4.691835e+01 3.393089e+07
4.757236e+01 3.267572e+07
4.823549e+01 3.148781e+07
4.890787e+01 3.027947e+07
4.958962e+01 2.914729e+07
5.028087e+01 2.805370e+07
5.098176e+01 2.697238e+07
5.169242e+01 2.594685e+07
5.241298e+01 2.495376e+07
5.314359e+01 2.396715e+07
5.388438e+01 2.302661e+07
5.463550e+01 2.211558e+07
5.539709e+01 2.125287e+07
5.616930e+01 2.040384e+07
5.695227e+01 1.958530e+07
5.774615e+01 1.882431e+07
5.855110e+01 1.805388e+07
5.936727e+01 1.731811e+07
6.019482e+01 1.662748e+07
6.103390e+01 1.593352e+07
6.188468e+01 1.525683e+07
6.274732e+01 1.462375e+07
6.362198e+01 1.400507e+07
6.450884e+01 1.340609e+07
6.540806e+01 1.283590e+07
6.631981e+01 1.229221e+07
6.724427e+01 1.176323e+07
6.818162e+01 1.125621e+07
6.913204e+01 1.077514e+07
7.009570e+01 1.030644e+07
7.107280e+01 9.847878e+06
7.206351e+01 9.413609e+06
7.306804e+01 8.997746e+06
7.408657e+01 8.573965e+06
7.511929e+01 8.177297e+06
7.616642e+01 7.819877e+06
7.722814e+01 7.471931e+06
7.830465e+01 7.128604e+06
7.939618e+01 6.803136e+06
8.050292e+01 6.487124e+06
8.162509e+01 6.192092e+06
8.276289e+01 5.897250e+06
8.391656e+01 5.620167e+06
8.508632e+01 5.359783e+06
8.627237e+01 5.107898e+06
8.747496e+01 4.866999e+06
8.869432e+01 4.634952e+06
8.993067e+01 4.413263e+06
9.118425e+01 4.204161e+06
9.245531e+01 4.007910e+06
9.374409e+01 3.822140e+06
9.505083e+01 3.643075e+06
9.637579e+01 3.470786e+06
9.771921e+01 3.308024e+06
9.908137e+01 3.150628e+06
1.004625e+02 3.000257e+06
1.018629e+02 2.856630e+06
1.032828e+02 2.719761e+06
1.047225e+02 2.589449e+06
1.061823e+02 2.465381e+06
1.076624e+02 2.347258e+06
1.091632e+02 2.234794e+06
1.106848e+02 2.127718e+06
1.122277e+02 2.025773e+06
1.137921e+02 1.928713e+06
1.153783e+02 1.836302e+06
1.169866e+02 1.748320e+06
1.186174e+02 1.664553e+06
1.202708e+02 1.584799e+06
1.219473e+02 1.508867e+06
1.236472e+02 1.436573e+06
1.253708e+02 1.367742e+06
1.271184e+02 1.302210e+06
1.288904e+02 1.239817e+06
1.306870e+02 1.180414e+06
1.325087e+02 1.123857e+06
1.343558e+02 1.070010e+06
1.362287e+02 1.018743e+06
