# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.550175e+01 1.062484e+08
1.571784e+01 1.034023e+08
1.593694e+01 1.006126e+08
1.615909e+01 9.792939e+07
1.638434e+01 9.534388e+07
1.661273e+01 9.276950e+07
1.684430e+01 9.026298e+07
1.707910e+01 8.784589e+07
1.731717e+01 8.550186e+07
1.755856e+01 8.311921e+07
1.780332e+01 8.087499e+07
1.805149e+01 7.865725e+07
1.830312e+01 7.652348e+07
1.855825e+01 7.443018e+07
1.881694e+01 7.236794e+07
1.907924e+01 7.034657e+07
1.934520e+01 6.836957e+07
1.961486e+01 6.646751e+07
1.988828e+01 6.456098e+07
2.016551e+01 6.273839e+07
2.044661e+01 6.100497e+07
2.073162e+01 5.927773e+07
2.102061e+01 5.761109e+07
2.131362e+01 5.599721e+07
2.161073e+01 5.439496e+07
2.191197e+01 5.282224e+07
2.221741e+01 5.127234e+07
2.252711e+01 4.979968e+07
2.284112e+01 4.837429e+07
2.315951e+01 4.690202e+07
2.348235e+01 4.550037e+07
2.380968e+01 4.421648e+07
2.414157e+01 4.291620e+07
2.447809e+01 4.162377e+07
2.481930e+01 4.037180e+07
2.516527e+01 3.917495e+07
2.551606e+01 3.798492e+07
2.587174e+01 3.685246e+07
2.623238e+01 3.573695e+07
2.659804e+01 3.463140e+07
2.696881e+01 3.358056e+07
2.734474e+01 3.252925e+07
2.772591e+01 3.151036e+07
2.811239e+01 3.052673e+07
2.850426e+01 2.957451e+07
2.890160e+01 2.863477e+07
2.930447e+01 2.775345e+07
2.971296e+01 2.685688e+07
3.012714e+01 2.600783e+07
3.054710e+01 2.518305e+07
3.097291e+01 2.436680e+07
3.140465e+01 2.360480e+07
3.184242e+01 2.284179e+07
3.228628e+01 2.210670e+07
3.273634e+01 2.139732e+07
3.319266e+01 2.070050e+07
3.365535e+01 2.001664e+07
3.412449e+01 1.935403e+07
3.460016e+01 1.872301e+07
3.508247e+01 1.811587e+07
3.557150e+01 1.750809e+07
3.606735e+01 1.690433e+07
3.657011e+01 1.631883e+07
3.707988e+01 1.576086e+07
3.759675e+01 1.521491e+07
3.812083e+01 1.470848e+07
3.865221e+01 1.420711e+07
3.919100e+01 1.371284e+07
3.973730e+01 1.321018e+07
4.029122e+01 1.275363e+07
4.085286e+01 1.231394e+07
4.142232e+01 1.186980e+07
4.199973e+01 1.145041e+07
4.258518e+01 1.103735e+07
4.317880e+01 1.063236e+07
4.378069e+01 1.023884e+07
4.439097e+01 9.866797e+06
4.500975e+01 9.502288e+06
4.563716e+01 9.159272e+06
4.627332e+01 8.815865e+06
4.691835e+01 8.482722e+06
4.757236e+01 8.168931e+06
4.823549e+01 7.871951e+06
4.890787e+01 7.569868e+06
4.958962e+01 7.286821e+06
5.028087e+01 7.013424e+06
5.098176e+01 6.743096e+06
5.169242e+01 6.486713e+06
5.241298e+01 6.238441e+06
5.314359e+01 5.991788e+06
5.388438e+01 5.756654e+06
5.463550e+01 5.528894e+06
5.539709e+01 5.313218e+06
5.616930e+01 5.100961e+06
5.695227e+01 4.896325e+06
5.774615e+01 4.706077e+06
5.855110e+01 4.513471e+06
5.936727e+01 4.329528e+06
6.019482e+01 4.156870e+06
6.103390e+01 3.983380e+06
6.188468e+01 3.814207e+06
6.274732e+01 3.655938e+06
6.362198e+01 3.501269e+06
6.450884e+01 3.351521e+06
6.540806e+01 3.208976e+06
6.631981e+01 3.073052e+06
6.724427e+01 2.940806e+06
6.818162e+01 2.814051e+06
6.913204e+01 2.693786e+06
7.009570e+01 2.576609e+06
7.107280e+01 2.461969e+06
7.206351e+01 2.353402e+06
7.306804e+01 2.249436e+06
7.408657e+01 2.143491e+06
7.511929e+01 2.044324e+06
7.616642e+01 1.954969e+06
7.722814e+01 1.867983e+06
7.830465e+01 1.782151e+06
7.939618e+01 1.700784e+06
8.050292e+01 1.621781e+06
8.162509e+01 1.548023e+06
8.276289e+01 1.474312e+06
8.391656e+01 1.405042e+06
8.508632e+01 1.339946e+06
8.627237e+01 1.276975e+06
8.747496e+01 1.216750e+06
8.869432e+01 1.158738e+06
8.993067e+01 1.103316e+06
9.118425e+01 1.051040e+06
9.245531e+01 1.001978e+06
9.374409e+01 9.555351e+05
9.505083e+01 9.107688e+05
9.637579e+01 8.676966e+05
9.771921e+01 8.270060e+05
9.908137e+01 7.876569e+05
1.004625e+02 7.500642e+05
1.018629e+02 7.141576e+05
1.032828e+02 6.799402e+05
1.047225e+02 6.473623e+05
1.061823e+02 6.163453e+05
1.076624e+02 5.868145e+05
1.091632e+02 5.586985e+05
1.106848e+02 5.319296e+05
1.122277e+02 5.064433e+05
1.137921e+02 4.821782e+05
1.153783e+02 4.590756e+05
1.169866e+02 4.370800e+05
1.186174e+02 4.161382e+05
1.202708e+02 3.961998e+05
1.219473e+02 3.772167e+05
1.236472e+02 3.591432e+05
1.253708e+02 3.419356e+05
1.271184e+02 3.255525e+05
1.288904e+02 3.099543e+05
1.306870e+02 2.951035e+05
1.325087e+02 2.809643e+05
1.343558e+02 2.675024e+05
1.362287e+02 2.546856e+05
1.381276e+02 2.424829e+05
1.400531e+02 2.308648e+05
1.420053e+02 2.198034e+05
1.439848e+02 2.092720e+05
1.459919e+02 1.992452e+05
1.480269e+02 1.896988e+05
1.500903e+02 1.806098e+05
1.521825e+02 1.719562e+05
1.543038e+02 1.637173e+05
1.564548e+02 1.558731e+05
1.586357e+02 1.484048e+05
1.608469e+02 1.412943e+05
1.630891e+02 1.345245e+05
1.653624e+02 1.280790e+05
1.676675e+02 1.219424e+05
1.700047e+02 1.160998e+05
