# Energy(MeV) Fluence_Sferica_Median(p/cm2)
2.544434e+00 1.391779e+09
2.595437e+00 1.326232e+09
2.647462e+00 1.260490e+09
2.700530e+00 1.197189e+09
2.754662e+00 1.138523e+09
2.809879e+00 1.081705e+09
2.866203e+00 1.028179e+09
2.923656e+00 9.751139e+08
2.982260e+00 9.260953e+08
3.042039e+00 8.796812e+08
3.103017e+00 8.351640e+08
3.165216e+00 7.930323e+08
3.228663e+00 7.524405e+08
3.293381e+00 7.138772e+08
3.359397e+00 6.775758e+08
3.426736e+00 6.432727e+08
3.495424e+00 6.101147e+08
3.565490e+00 5.786021e+08
3.636960e+00 5.495722e+08
3.709862e+00 5.217999e+08
3.784226e+00 4.951750e+08
3.860081e+00 4.697407e+08
3.937456e+00 4.459866e+08
4.016382e+00 4.233337e+08
4.096890e+00 4.013281e+08
4.179012e+00 3.803123e+08
4.262780e+00 3.603788e+08
4.348227e+00 3.414094e+08
4.435387e+00 3.235923e+08
4.524294e+00 3.071096e+08
4.614983e+00 2.915987e+08
4.707490e+00 2.765870e+08
4.801851e+00 2.619974e+08
4.898104e+00 2.487621e+08
4.996286e+00 2.359075e+08
5.096436e+00 2.238757e+08
5.198594e+00 2.121298e+08
5.302799e+00 2.010286e+08
5.409093e+00 1.904196e+08
5.517518e+00 1.803528e+08
5.628116e+00 1.709266e+08
5.740932e+00 1.620314e+08
5.856008e+00 1.536218e+08
5.973391e+00 1.455509e+08
6.093127e+00 1.379345e+08
6.215264e+00 1.309250e+08
6.339848e+00 1.242460e+08
6.466930e+00 1.179587e+08
6.596559e+00 1.118278e+08
6.728787e+00 1.059883e+08
6.863665e+00 1.004778e+08
7.001246e+00 9.527317e+07
7.141586e+00 9.035098e+07
7.284738e+00 8.567110e+07
7.430760e+00 8.125392e+07
7.579709e+00 7.697787e+07
7.731644e+00 7.294885e+07
7.886624e+00 6.913644e+07
8.044711e+00 6.543203e+07
8.205967e+00 6.191969e+07
8.370455e+00 5.869495e+07
8.538240e+00 5.567131e+07
8.709388e+00 5.275167e+07
8.883967e+00 5.000795e+07
