# Energy(MeV) Phi16_Sferica Phi84_Sferica
6.866215e-01 1.191537e+10 2.188867e+10
7.003848e-01 1.151715e+10 2.124577e+10
7.144240e-01 1.104138e+10 2.062393e+10
7.287445e-01 1.068352e+10 2.000386e+10
7.433522e-01 1.034438e+10 1.940456e+10
7.582526e-01 1.001630e+10 1.878375e+10
7.734517e-01 9.674816e+09 1.820485e+10
7.889555e-01 9.369809e+09 1.766061e+10
8.047701e-01 9.038337e+09 1.712497e+10
8.209016e-01 8.695202e+09 1.658966e+10
8.373565e-01 8.362890e+09 1.610363e+10
8.541413e-01 8.092309e+09 1.559453e+10
8.712625e-01 7.737717e+09 1.510348e+10
8.887268e-01 7.426309e+09 1.461943e+10
9.065413e-01 7.147561e+09 1.415428e+10
9.247129e-01 6.863244e+09 1.369879e+10
9.432487e-01 6.620645e+09 1.325821e+10
9.621560e-01 6.395628e+09 1.282968e+10
9.814423e-01 6.191962e+09 1.241697e+10
1.001115e+00 5.993848e+09 1.200834e+10
1.021183e+00 5.801150e+09 1.162212e+10
1.041652e+00 5.572319e+09 1.123194e+10
1.062532e+00 5.378317e+09 1.084904e+10
1.083830e+00 5.200460e+09 1.048206e+10
1.105556e+00 4.981783e+09 1.010465e+10
1.127716e+00 4.776985e+09 9.760761e+09
1.150321e+00 4.605164e+09 9.412987e+09
1.173379e+00 4.449096e+09 9.100210e+09
1.196900e+00 4.276441e+09 8.782194e+09
1.220892e+00 4.073385e+09 8.472583e+09
1.245364e+00 3.896661e+09 8.174811e+09
1.270327e+00 3.746687e+09 7.872198e+09
1.295791e+00 3.607502e+09 7.585418e+09
1.321765e+00 3.423000e+09 7.321344e+09
1.348260e+00 3.246938e+09 7.043342e+09
1.375286e+00 3.080741e+09 6.782399e+09
1.402853e+00 2.928586e+09 6.527053e+09
1.430973e+00 2.786277e+09 6.276248e+09
1.459657e+00 2.666597e+09 6.038360e+09
1.488916e+00 2.535396e+09 5.800386e+09
