# Energy(MeV) Phi16_Planare Phi84_Planare
2.491130e+00 3.741907e+07 4.768497e+07
2.508415e+00 3.707956e+07 4.721025e+07
2.525820e+00 3.674226e+07 4.674020e+07
2.543346e+00 3.640827e+07 4.627296e+07
2.560993e+00 3.607744e+07 4.581006e+07
2.578763e+00 3.574966e+07 4.535175e+07
2.596656e+00 3.542480e+07 4.489784e+07
2.614673e+00 3.510282e+07 4.444743e+07
2.632815e+00 3.478371e+07 4.400149e+07
2.651084e+00 3.446744e+07 4.355899e+07
2.669478e+00 3.415399e+07 4.311919e+07
2.688001e+00 3.384333e+07 4.268380e+07
2.706652e+00 3.353543e+07 4.225373e+07
2.725433e+00 3.323028e+07 4.183284e+07
2.744343e+00 3.292784e+07 4.141609e+07
2.763385e+00 3.262809e+07 4.100344e+07
2.782559e+00 3.232867e+07 4.059413e+07
2.801867e+00 3.203139e+07 4.018750e+07
2.821308e+00 3.173679e+07 3.978489e+07
2.840884e+00 3.144485e+07 3.938626e+07
2.860596e+00 3.115679e+07 3.899158e+07
2.880444e+00 3.087400e+07 3.860081e+07
2.900430e+00 3.059371e+07 3.821390e+07
2.920556e+00 3.031591e+07 3.783083e+07
2.940820e+00 3.004057e+07 3.745064e+07
2.961225e+00 2.976769e+07 3.707392e+07
2.981772e+00 2.949736e+07 3.670245e+07
3.002462e+00 2.922943e+07 3.633457e+07
3.023295e+00 2.896387e+07 3.596715e+07
3.044272e+00 2.870067e+07 3.560619e+07
3.065395e+00 2.843979e+07 3.524881e+07
3.086665e+00 2.818051e+07 3.489498e+07
3.108082e+00 2.792320e+07 3.454464e+07
3.129648e+00 2.766819e+07 3.419778e+07
3.151363e+00 2.741544e+07 3.385436e+07
3.173230e+00 2.716495e+07 3.351434e+07
3.195248e+00 2.691669e+07 3.317768e+07
3.217418e+00 2.667063e+07 3.284437e+07
3.239743e+00 2.642644e+07 3.251433e+07
3.262222e+00 2.618392e+07 3.218710e+07
3.284857e+00 2.594357e+07 3.186482e+07
3.307650e+00 2.570538e+07 3.154696e+07
3.330600e+00 2.546932e+07 3.123222e+07
3.353710e+00 2.523539e+07 3.092057e+07
3.376980e+00 2.500318e+07 3.061036e+07
3.400412e+00 2.477299e+07 3.030354e+07
3.424006e+00 2.454487e+07 3.000224e+07
3.447764e+00 2.431881e+07 2.970390e+07
3.471687e+00 2.409477e+07 2.940691e+07
3.495776e+00 2.387276e+07 2.910812e+07
3.520031e+00 2.365274e+07 2.881230e+07
3.544456e+00 2.343480e+07 2.851944e+07
3.569049e+00 2.321773e+07 2.822931e+07
3.593814e+00 2.300253e+07 2.794209e+07
3.618750e+00 2.278928e+07 2.765775e+07
3.643859e+00 2.257798e+07 2.737626e+07
3.669142e+00 2.237004e+07 2.709750e+07
3.694601e+00 2.216397e+07 2.682205e+07
3.720237e+00 2.195975e+07 2.654945e+07
3.746050e+00 2.175736e+07 2.628034e+07
3.772042e+00 2.155680e+07 2.601430e+07
3.798215e+00 2.135803e+07 2.575062e+07
3.824570e+00 2.116105e+07 2.548958e+07
3.851107e+00 2.096592e+07 2.523114e+07
3.877828e+00 2.077273e+07 2.497529e+07
3.904735e+00 2.057984e+07 2.472198e+07
3.931829e+00 2.038870e+07 2.447121e+07
3.959110e+00 2.019929e+07 2.422294e+07
3.986581e+00 2.001159e+07 2.397715e+07
4.014242e+00 1.982560e+07 2.373337e+07
4.042096e+00 1.964129e+07 2.349201e+07
4.070142e+00 1.945942e+07 2.325306e+07
4.098384e+00 1.927986e+07 2.301651e+07
4.126821e+00 1.910191e+07 2.278232e+07
4.155455e+00 1.892556e+07 2.255048e+07
4.184289e+00 1.875056e+07 2.232097e+07
4.213322e+00 1.857627e+07 2.209375e+07
4.242556e+00 1.840355e+07 2.186880e+07
4.271994e+00 1.823239e+07 2.164859e+07
4.301636e+00 1.806278e+07 2.143058e+07
4.331483e+00 1.789470e+07 2.121372e+07
4.361538e+00 1.772814e+07 2.099845e+07
4.391801e+00 1.756309e+07 2.078533e+07
4.422274e+00 1.739953e+07 2.057493e+07
4.452959e+00 1.723745e+07 2.036968e+07
4.483856e+00 1.707684e+07 2.016345e+07
4.514968e+00 1.691768e+07 1.995922e+07
4.546295e+00 1.675996e+07 1.975476e+07
4.577841e+00 1.660367e+07 1.955340e+07
4.609604e+00 1.644879e+07 1.935405e+07
4.641589e+00 1.629532e+07 1.915669e+07
4.673795e+00 1.614331e+07 1.896131e+07
4.706225e+00 1.599305e+07 1.876789e+07
4.738880e+00 1.584413e+07 1.857640e+07
4.771761e+00 1.569656e+07 1.838683e+07
4.804870e+00 1.555032e+07 1.819909e+07
4.838210e+00 1.540540e+07 1.801305e+07
4.871780e+00 1.526178e+07 1.782886e+07
4.905584e+00 1.511946e+07 1.764653e+07
4.939622e+00 1.497910e+07 1.746709e+07
4.973896e+00 1.484049e+07 1.728916e+07
5.008408e+00 1.470129e+07 1.711342e+07
5.043159e+00 1.456336e+07 1.693918e+07
5.078152e+00 1.442668e+07 1.676573e+07
5.113388e+00 1.429124e+07 1.659353e+07
5.148867e+00 1.415702e+07 1.642533e+07
5.184594e+00 1.402403e+07 1.626044e+07
5.220568e+00 1.389242e+07 1.609551e+07
5.256791e+00 1.376210e+07 1.593209e+07
5.293266e+00 1.363297e+07 1.576998e+07
5.329994e+00 1.350500e+07 1.560949e+07
5.366977e+00 1.337819e+07 1.545221e+07
5.404216e+00 1.325253e+07 1.529724e+07
5.441714e+00 1.312801e+07 1.514380e+07
5.479472e+00 1.300462e+07 1.499185e+07
5.517492e+00 1.288235e+07 1.484082e+07
5.555776e+00 1.275989e+07 1.469048e+07
5.594326e+00 1.263864e+07 1.454163e+07
5.633143e+00 1.251985e+07 1.439426e+07
5.672229e+00 1.240258e+07 1.424780e+07
5.711586e+00 1.228602e+07 1.410247e+07
5.751217e+00 1.217087e+07 1.395698e+07
5.791123e+00 1.205639e+07 1.381099e+07
5.831305e+00 1.194299e+07 1.366697e+07
5.871766e+00 1.183084e+07 1.352687e+07
5.912508e+00 1.171947e+07 1.338946e+07
5.953533e+00 1.160910e+07 1.325297e+07
5.994843e+00 1.149973e+07 1.311772e+07
6.036439e+00 1.139135e+07 1.298255e+07
6.078323e+00 1.128468e+07 1.284874e+07
6.120498e+00 1.117901e+07 1.271648e+07
6.162966e+00 1.107330e+07 1.258764e+07
6.205729e+00 1.096793e+07 1.245969e+07
