Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
3.3823e+02	1.0354e+04	8.7020e+03
3.4216e+02	1.0132e+04	8.5429e+03
3.4612e+02	9.9143e+03	8.3862e+03
3.5014e+02	9.7014e+03	8.2306e+03
3.5420e+02	9.4932e+03	8.0743e+03
3.5831e+02	9.2894e+03	7.9205e+03
3.6246e+02	9.0900e+03	7.7692e+03
3.6667e+02	8.8948e+03	7.6205e+03
3.7092e+02	8.7039e+03	7.4741e+03
3.7522e+02	8.5168e+03	7.3308e+03
3.7958e+02	8.3325e+03	7.1920e+03
3.8398e+02	8.1522e+03	7.0566e+03
3.8843e+02	7.9758e+03	6.9238e+03
3.9294e+02	7.8031e+03	6.7933e+03
3.9750e+02	7.6338e+03	6.6649e+03
4.0211e+02	7.4681e+03	6.5366e+03
4.0677e+02	7.3073e+03	6.4097e+03
4.1149e+02	7.1506e+03	6.2849e+03
4.1626e+02	6.9973e+03	6.1622e+03
4.2109e+02	6.8472e+03	6.0416e+03
4.2597e+02	6.7001e+03	5.9231e+03
4.3091e+02	6.5559e+03	5.8078e+03
4.3591e+02	6.4147e+03	5.6946e+03
4.4097e+02	6.2764e+03	5.5834e+03
4.4608e+02	6.1410e+03	5.4741e+03
4.5126e+02	6.0079e+03	5.3660e+03
4.5649e+02	5.8774e+03	5.2588e+03
4.6179e+02	5.7497e+03	5.1536e+03
4.6714e+02	5.6248e+03	5.0503e+03
4.7256e+02	5.5026e+03	4.9490e+03
4.7804e+02	5.3831e+03	4.8500e+03
4.8359e+02	5.2661e+03	4.7538e+03
4.8920e+02	5.1517e+03	4.6595e+03
4.9487e+02	5.0398e+03	4.5669e+03
5.0061e+02	4.9303e+03	4.4756e+03
5.0642e+02	4.8232e+03	4.3849e+03
5.1229e+02	4.7184e+03	4.2960e+03
5.1823e+02	4.6159e+03	4.2088e+03
5.2424e+02	4.5157e+03	4.1233e+03
5.3032e+02	4.4176e+03	4.0401e+03
5.3647e+02	4.3216e+03	3.9595e+03
5.4270e+02	4.2277e+03	3.8807e+03
5.4899e+02	4.1359e+03	3.8033e+03
5.5536e+02	4.0462e+03	3.7262e+03
5.6180e+02	3.9591e+03	3.6506e+03
5.6832e+02	3.8738e+03	3.5764e+03
5.7491e+02	3.7904e+03	3.5036e+03
5.8158e+02	3.7088e+03	3.4327e+03
5.8832e+02	3.6289e+03	3.3637e+03
5.9515e+02	3.5507e+03	3.2959e+03
6.0205e+02	3.4743e+03	3.2291e+03
6.0903e+02	3.3995e+03	3.1630e+03
6.1610e+02	3.3262e+03	3.0983e+03
6.2324e+02	3.2546e+03	3.0351e+03
6.3047e+02	3.1845e+03	2.9735e+03
6.3779e+02	3.1159e+03	2.9134e+03
6.4518e+02	3.0493e+03	2.8546e+03
6.5267e+02	2.9841e+03	2.7966e+03
6.6024e+02	2.9203e+03	2.7395e+03
6.6789e+02	2.8579e+03	2.6835e+03
6.7564e+02	2.7968e+03	2.6286e+03
6.8348e+02	2.7370e+03	2.5752e+03
6.9141e+02	2.6785e+03	2.5232e+03
6.9943e+02	2.6212e+03	2.4722e+03
7.0754e+02	2.5652e+03	2.4214e+03
7.1574e+02	2.5104e+03	2.3716e+03
7.2405e+02	2.4567e+03	2.3229e+03
7.3244e+02	2.4042e+03	2.2752e+03
7.4094e+02	2.3528e+03	2.2287e+03
7.4953e+02	2.3025e+03	2.1831e+03
7.5823e+02	2.2533e+03	2.1381e+03
7.6702e+02	2.2051e+03	2.0940e+03
7.7592e+02	2.1580e+03	2.0508e+03
7.8492e+02	2.1119e+03	2.0086e+03
7.9402e+02	2.0667e+03	1.9675e+03
8.0323e+02	2.0225e+03	1.9267e+03
8.1255e+02	1.9792e+03	1.8864e+03
8.2197e+02	1.9365e+03	1.8469e+03
8.3151e+02	1.8947e+03	1.8084e+03
8.4115e+02	1.8538e+03	1.7708e+03
8.5091e+02	1.8138e+03	1.7340e+03
8.6078e+02	1.7747e+03	1.6977e+03
8.7076e+02	1.7364e+03	1.6621e+03
8.8086e+02	1.6989e+03	1.6272e+03
8.9108e+02	1.6622e+03	1.5933e+03
9.0142e+02	1.6263e+03	1.5599e+03
9.1187e+02	1.5912e+03	1.5270e+03
9.2245e+02	1.5568e+03	1.4948e+03
9.3315e+02	1.5231e+03	1.4634e+03
9.4397e+02	1.4901e+03	1.4329e+03
9.5492e+02	1.4579e+03	1.4030e+03
9.6600e+02	1.4265e+03	1.3735e+03
9.7720e+02	1.3959e+03	1.3447e+03
9.8853e+02	1.3658e+03	1.3164e+03
1.0000e+03	1.3364e+03	1.2887e+03
