Energy,Fluence,Instrument
4.242640687119285,99776946.93,LET
4.743416490252569,101723388.96,LET
5.477225575051661,84311345.7,LET
6.928203230275509,64699352.583000004,LET
8.94427190999916,45706005.687,LET
10.954451150103322,32777356.5282,LET
14.330387294138285,39068358.121277496,HET
15.962142713307635,28804888.628985092,HET
18.11353085403285,22282457.14718808,HET
22.249494376277408,16355379.192579983,HET
25.066312054229275,12633729.778797727,HET
27.94834521040557,9874546.57600454,HET
31.38948868650141,8261679.096901917,HET
34.57918449009461,6450560.036577716,HET
37.91767397929361,4875606.0520752305,HET
48.98979485566356,2827849.5465391064,HET
77.45966692414834,631666.9066528034,HET
