E_MeV,Fluence_per_cm2_per_MeV
4.0,2446089440.345548
4.0637864658428695,2394092383.817774
4.1285901099919196,2343200640.0569644
4.194427152999472,2293390713.1886525
4.261314074080773,2244639606.795299
4.329267615238796,2196924813.299225
4.398304785454813,2150224303.571235
4.468442864945798,2104516516.7601385
4.539699409489717,2059780350.338459
4.612092254819796,2015995150.359745
4.685639521088852,1973140701.9229915
4.760359617404835,1931197219.8397486
4.8362712464386775,1890145339.4996316
4.9133934091056295,1849966107.9300013
4.991745409321255,1810640975.0456874
5.071346858833247,1772151785.0847285
5.152217682130324,1734480768.2261508
5.2343781214293825,1697610532.3859382
5.3178487417421865,1661524055.1873991
5.402650436022857,1626204676.102212
5.488804430397441,1591636088.7585404
5.576332289476876,1557802333.4126468
5.665255921754677,1524687789.5805483
5.755597585090706,1492277168.8262932
5.847379892282379,1460555507.703547
5.940625816724718,1429508160.847217
6.035358698160662,1399120794.2119286
6.131602248523085,1369379378.454234
6.229380557869954,1340270182.4554994
6.328718100414155,1311779766.9824724
6.429639740649459,1283894978.482611
6.532170739574181,1256602943.01131
6.636336761014093,1229891060.2882082
6.742163878046143,1203746997.879854
6.849678579524648,1178158685.50602
6.958907776711518,1153114309.4670594
7.069878810012241,1128602307.1897123
7.182619455819259,1104611361.8888605
7.2971579334644945,1081130397.3427548
7.413522912282733,1058148572.7793057
7.531743518787645,1035655277.87108
7.651849343962246,1013640127.8366874
7.773870450665603,992092958.6463001
7.897837381157671,971003822.3290884
8.02378116474411,950362982.3804077
8.151733325543011,930160909.2666142
8.281725890375496,910388276.0254393
8.413791396782106,891035953.9598852
8.547962901167073,872095008.4236555
8.684273987072425,853556694.6961782
8.822758773584052,835412453.9453136
8.963451923871826,817653909.2758818
9.106388653865888,800272861.8621912
9.251604741071315,783261287.1627748
9.399136533523334,766611331.2155926
9.549020958885349,750315307.0119891
9.701295533692043,734365690.9477271
9.8559983727399,718755119.3494649
10.01316819862744,703476385.0750703
10.172844351447603,688522434.1862036
10.335066798634713,673886362.691629
10.499876144968434,659561413.3597586
10.66731364273728,645540972.5989494
10.837421202064188,631818567.404117
11.010241401396753,618387862.3682585
11.185817498164736,605242656.7574983
11.364193439607556,592376881.6483117
11.54541387377437,579784597.1256077
11.7295241606997,567459989.5403613
11.916570383757096,555397368.8255552
12.106599361194013,543591165.869166
12.29965865785054,532035929.9429991
12.495796597065022,520726326.1861778
12.695062272769555,509657133.14212537
12.897505561778333,498823240.3479064
13.103177136271979,488219645.9748104
13.312128476480948,477841454.5190899
13.52441188357119,467683874.5417878
13.74008049273526,457742216.4566109
13.9591882864923,448011890.36482185
14.181790108199923,438488403.93616396
14.407941675781789,429167360.3348219
14.637699595673865,420044456.18948
14.871121376993273,411115479.60652345
15.10826544593296,402376308.2254786
15.34919116038596,393822907.31578755
15.593958824802867,385451327.914039
15.842629705286216,377257705.000798
16.09526604492559,369238255.7161901
16.351931079377216,361389277.6134194
16.612689052692136,353707146.9494064
16.877605233396565,346188317.0117702
17.146745930828946,338829316.48136693
17.420178511737237,331626747.8296418
17.69797141714114,324577285.7500442
17.980194179463027,317677675.62279046
18.266917439932147,310924732.0122588
18.558212966266332,304315337.1963273
18.854153670635693,297846439.7269728
19.154813627912755,291515053.02146757
19.46026809421359,285318253.9835254
19.770593525734757,279253181.65375316
20.08586759789038,273317035.8887972
20.4061692247547,267507076.06856003
20.731578578814354,261820619.83090436
21.06217711103593,256255041.83324894
21.398047571253315,250807772.54049233
21.739274028880278,245476297.03870073
22.08594189395326,235911739.90054283
22.438137938509822,226497691.31652865
22.79595031830792,217459309.96628377
23.159468594891532,208781604.8638086
23.528783758008306,200450183.23780125
23.903988248384408,192451226.65992734
24.2851759808629,184771468.12568256
24.672442367910744,177398170.04985073
25.06588434350097,170319103.14004558
25.465600387375474,163522526.11330634
25.871690549694847,156997166.22210136
26.284256476081193,150732200.5574401
26.703401433060385,144717238.09808415
27.12923033390998,138942302.4760837
27.561849764919288,133397815.4300552
28.00136801206838,128074580.91875297
28.447895088132217,122963769.8685922
28.9015427602174,118056905.52981646
29.36242457773761,113345849.41703206
29.830655900835527,108822787.81077993
30.306353929257785,104480218.79776493
30.789637731690412,100310939.82824332
31.28062827556211,96308035.76993185
31.779448457322765,92464867.43862565
32.28622313320484,88775060.58650097
32.80107915047518,85232495.32984006
33.32414537918546,81831295.99864027
33.85555274442849,78565821.3912774
34.3954342591095,75430655.41805239
34.94392505723933,72420598.11811072
35.501162427759176,69530657.03482813
36.06728584890428,66756038.935363255
36.64243702311581,64092141.86064034
37.22675991250943,61534547.49257723
37.82040077490942,59079013.825898886
38.42350820045753,56721468.132381685
39.03623314880544,54458000.20585988
39.6587289869006,52284855.87678846
40.29115152737421,50198430.7856092
