
Event_ID, Start_time (UTC), End_time (UTC), Duration (hours) , Source_loc, Dist_AU, Flare_class, Fluence >10MeV (p/cm²), Fluence >30MeV (p/cm²), Fluence >60MeV (p/cm²), Fluence >100MeV (p/cm²), Fluence >300MeV (p/cm²), Peak_flux >10MeV (p / cm² s), Best_FIT_model, A, E0, Er, Ga, Gb, Chi2, Filename, Instrument

JAN_2005_1, 2005-01-15 23:00, 2005-01-17 09:30, 34.5, N15W05, 1.0, X2.6, 1.407e+07, 1.042e+06, 2.011e+05, 5.963e+04, 4.283e+03, N/A, Combined, 4.11e+08, 3.48, 10000.00, 0.85, 3.37, 47.79, SPENVIS_1_SEP_X2.6_15_01_23_00_-_17_01_09_30.txt, Generated by Python Fit
JAN_2005_2, 2005-01-17 09:30, 2005-01-20 06:30, 69.0, N15W25, 1.0, X3.8, 1.605e+08, 2.135e+07, 3.092e+06, 6.966e+05, 2.824e+04, N/A, Band, 7.92e+08, 18.94 , , 1.33, 3.92, 3.79, SPENVIS_2_SEP_X3.8_17_01_09_30_-_20_01_06_30.txt, Generated by Python Fit
JAN_2005_3, 2005-01-20 06:50, 2005-01-22 00:00, 41.2, N14W61, 1.0, X7.1, 7.928e+07, 2.429e+07, 1.060e+07, 5.357e+06, 8.510e+05, N/A, Combined, 4.77e+08, 6.67, 452.30, 1.21, 1.95, 0.81, SPENVIS_3_SEP_X7.1_20_01_06_50_-_25_01_00_00.txt, Generated by Python Fit

OCT_2003_1, 2003-10-26 16:00, 2003-10-28 10:00, 42.0,S15E44, 1.0, X1.2 ,7.26e+06, 7.14e+05, 1.36e+05, 4.01e+04 , 2.87e+03 , N/A, Band, 3-50e+07, 10.6, N/A, 1.07, 3.39, 32.46, ace_goes_oct26.txt , ACE (EPAM) + GOES11 (EPS + HEPAD)
OCT_2003_2, 2003-10-28 10:00, 2003-11-02 16:00, 125.0, S16E08, 1.0,X17.2 ,9.70e+08, 1.66e+08 , 2.79e+07 , 6.88e+06 , 3.37e+05 , N/A, Band ,2.10e+09 , 19.2, N/A, 1.05, 3.74 , 2.30 ,ace_goes_oct28.txt , ACE (EPAM) + GOES11 (EPS + HEPAD)
OCT_2003_3, 2003-11-02 16:00, 2003-11-08 00:00, 127.0, S14W56, 1.0, X8.3,1.31e+08 ,1.06e+07	 ,1.87e+06	 ,5.19e+05 ,3.27e+04 , N/A, Band,1.03e+09 , 9.6 ,N/A , 	1.19 , 3.51, 2.17, ace_goes_nov02.txt, ACE (EPAM) + GOES11 (EPS + HEPAD)

SEP_2017_1,
SEP_2017_2,
SEP_2017_3,

JUL_2012_1,


MAY_2024_1,
MAY_2024_2,
MAY_2024_3,
MAY_2024_4,







================================================================================
TABELLA CSV GENERATA
================================================================================

Event_ID, Start_time, End_time, Duration, Source_loc, Dist_AU, Class, F>10, F>30, F>60, F>100, F>300, Peak, Model, A, E0, Er, Ga, Gb, Chi2, Filename, Notes
1° SEP (X2.6) 15/01 23:00 - 17/01 09:30, 2005-01-15 23:00, 2005-01-17 09:30, 34.5, N15W05, 1.0, X2.6, 1.407e+07, 1.042e+06, 2.011e+05, 5.963e+04, 4.283e+03, N/A, Combined, 4.11e+08, 3.48, 10000.00, 0.85, 3.37, 47.79, SPENVIS_1_SEP_X2.6_15_01_23_00_-_17_01_09_30.txt, Generated by Python Fit
2° SEP (X3.8) 17/01 09:30 - 20/01 06:30, 2005-01-17 09:30, 2005-01-20 06:30, 69.0, N15W25, 1.0, X3.8, 1.605e+08, 2.135e+07, 3.092e+06, 6.966e+05, 2.824e+04, N/A, Band, 7.92e+08, 18.94, , 1.33, 3.92, 3.79, SPENVIS_2_SEP_X3.8_17_01_09_30_-_20_01_06_30.txt, Generated by Python Fit
3° SEP (X7.1) 20/01 06:50 - 25/01 00:00, 2005-01-20 06:50, 2005-01-22 00:00, 41.2, N14W61, 1.0, X7.1, 7.928e+07, 2.429e+07, 1.060e+07, 5.357e+06, 8.510e+05, N/A, Combined, 4.77e+08, 6.67, 452.30, 1.21, 1.95, 0.81, SPENVIS_3_SEP_X7.1_20_01_06_50_-_25_01_00_00.txt, Generated by Python Fit





================================================================================
TABELLA CSV GENERATA (OCTOBER 2003)
================================================================================

Event_ID, Start_time, End_time, Duration, Source_loc, Dist_AU, Class, F>10, F>30, F>60, F>100, F>300, Peak, Model, A, E0, Er, Ga, Gb, Chi2, Filename, Notes
1. Precursore (26 Oct), MANUAL, MANUAL, -, -, 1.0, -, 7.258e+06, 7.144e+05, 1.362e+05, 4.013e+04, 2.874e+03, N/A, Band, 3.50e+07, 10.56, , 1.07, 3.39, 32.46, SPENVIS_OCT03_1._Precursore_26_Oct_.txt, Generated by Python Fit
