# Energy(MeV)  Phi_res(p/cm2/MeV)  S(MeV*cm2/g)  Dose(MeV/g)  Dose(Gy)
4.728200e-01 1.202900e+07 2.627945e+02 5.633178e+07 9.024351e-03
4.906400e-01 1.205800e+07 2.578894e+02 5.749706e+07 9.211029e-03
5.091300e-01 1.208700e+07 2.529925e+02 5.865091e+07 9.395876e-03
5.283100e-01 1.211600e+07 2.481976e+02 5.987259e+07 9.591590e-03
5.482200e-01 1.214700e+07 2.433956e+02 6.108182e+07 9.785308e-03
5.688800e-01 1.217900e+07 2.387046e+02 6.233000e+07 9.985266e-03
5.903200e-01 1.221400e+07 2.340959e+02 6.358965e+07 1.018706e-02
6.125600e-01 1.225000e+07 2.295083e+02 6.488887e+07 1.039520e-02
6.356400e-01 1.228700e+07 2.249928e+02 6.620945e+07 1.060675e-02
6.595900e-01 1.232500e+07 2.206019e+02 6.759230e+07 1.082829e-02
6.844500e-01 1.236500e+07 2.163086e+02 6.897939e+07 1.105050e-02
7.102400e-01 1.240600e+07 2.119937e+02 7.037865e+07 1.127466e-02
7.370000e-01 1.244900e+07 2.078000e+02 7.186414e+07 1.151264e-02
7.647800e-01 1.249400e+07 2.036030e+02 7.328733e+07 1.174063e-02
7.935900e-01 1.254000e+07 1.995014e+02 7.482728e+07 1.198733e-02
8.235000e-01 1.258800e+07 1.955000e+02 7.636340e+07 1.223342e-02
8.545300e-01 1.263800e+07 1.915964e+02 7.796892e+07 1.249062e-02
8.867300e-01 1.269000e+07 1.876964e+02 7.957818e+07 1.274842e-02
9.201400e-01 1.274100e+07 1.838956e+02 8.125571e+07 1.301717e-02
9.548200e-01 1.279000e+07 1.800979e+02 8.287823e+07 1.327709e-02
9.908000e-01 1.284100e+07 1.764000e+02 8.449018e+07 1.353533e-02
1.028100e+00 1.290100e+07 1.728908e+02 8.654200e+07 1.386403e-02
1.066900e+00 1.296300e+07 1.693092e+02 8.822917e+07 1.413431e-02
1.107100e+00 1.302300e+07 1.655910e+02 8.992567e+07 1.440609e-02
1.148800e+00 1.306100e+07 1.618181e+02 9.151482e+07 1.466067e-02
1.192100e+00 1.313000e+07 1.577916e+02 9.302396e+07 1.490244e-02
1.237000e+00 1.320200e+07 1.540000e+02 9.474283e+07 1.517780e-02
1.283600e+00 1.327700e+07 1.504306e+02 9.666775e+07 1.548617e-02
1.332000e+00 1.335400e+07 1.469000e+02 9.847747e+07 1.577609e-02
1.382200e+00 1.343400e+07 1.434869e+02 1.004281e+08 1.608859e-02
1.434300e+00 1.351700e+07 1.400817e+02 1.022481e+08 1.638015e-02
1.488300e+00 1.360300e+07 1.367825e+02 1.043826e+08 1.672209e-02
1.544400e+00 1.367900e+07 1.334783e+02 1.062645e+08 1.702357e-02
1.602600e+00 1.376600e+07 1.303217e+02 1.083581e+08 1.735897e-02
1.663000e+00 1.386100e+07 1.272000e+02 1.103713e+08 1.768148e-02
1.725600e+00 1.396100e+07 1.241197e+02 1.128076e+08 1.807177e-02
1.790700e+00 1.406300e+07 1.211138e+02 1.147973e+08 1.839053e-02
1.858100e+00 1.417000e+07 1.180959e+02 1.171393e+08 1.876571e-02
1.928100e+00 1.426600e+07 1.151961e+02 1.194743e+08 1.913978e-02
2.000800e+00 1.438000e+07 1.124000e+02 1.218699e+08 1.952356e-02
2.076200e+00 1.449800e+07 1.095931e+02 1.242504e+08 1.990492e-02
2.154400e+00 1.462000e+07 1.068868e+02 1.268901e+08 2.032779e-02
2.235600e+00 1.474600e+07 1.042132e+02 1.295461e+08 2.075329e-02
2.319900e+00 1.487700e+07 1.016031e+02 1.321094e+08 2.116393e-02
2.407300e+00 1.501100e+07 9.899173e+01 1.347770e+08 2.159128e-02
2.498000e+00 1.514900e+07 9.649000e+01 1.375485e+08 2.203527e-02
2.592100e+00 1.529200e+07 9.403755e+01 1.404948e+08 2.250726e-02
2.689800e+00 1.539700e+07 9.164490e+01 1.430811e+08 2.292160e-02
2.791200e+00 1.555000e+07 8.928564e+01 1.459200e+08 2.337638e-02
2.896300e+00 1.570800e+07 8.699383e+01 1.492217e+08 2.390532e-02
3.005500e+00 1.587100e+07 8.476833e+01 1.522946e+08 2.439759e-02
3.118700e+00 1.603900e+07 8.256584e+01 1.556021e+08 2.492746e-02
3.236200e+00 1.621200e+07 8.041656e+01 1.590530e+08 2.548029e-02
3.358200e+00 1.637800e+07 7.831679e+01 1.622581e+08 2.599374e-02
3.484700e+00 1.656000e+07 7.628482e+01 1.658682e+08 2.657209e-02
3.616000e+00 1.674800e+07 7.428000e+01 1.695628e+08 2.716397e-02
3.752300e+00 1.694100e+07 7.232596e+01 1.732538e+08 2.775525e-02
3.893700e+00 1.713800e+07 7.042404e+01 1.770562e+08 2.836440e-02
4.040400e+00 1.730200e+07 6.855524e+01 1.806495e+08 2.894006e-02
4.192700e+00 1.749800e+07 6.674357e+01 1.845249e+08 2.956089e-02
4.350700e+00 1.771000e+07 6.496338e+01 1.885672e+08 3.020846e-02
4.514600e+00 1.792700e+07 6.323400e+01 1.928247e+08 3.089051e-02
4.684700e+00 1.814300e+07 6.154298e+01 1.970754e+08 3.157147e-02
4.861200e+00 1.836800e+07 5.988823e+01 2.015249e+08 3.228430e-02
5.044400e+00 1.857500e+07 5.827671e+01 2.057813e+08 3.296617e-02
5.234500e+00 1.880900e+07 5.671411e+01 2.104670e+08 3.371681e-02
5.431800e+00 1.902000e+07 5.517156e+01 2.146997e+08 3.439489e-02
5.636400e+00 1.926000e+07 5.367726e+01 2.195842e+08 3.517739e-02
5.848800e+00 1.950200e+07 5.222137e+01 2.244600e+08 3.595850e-02
6.069200e+00 1.974400e+07 5.079879e+01 2.293795e+08 3.674660e-02
6.297900e+00 1.998900e+07 4.941061e+01 2.343738e+08 3.754668e-02
6.535200e+00 2.022500e+07 4.805893e+01 2.394016e+08 3.835214e-02
6.781500e+00 2.047200e+07 4.674267e+01 2.444920e+08 3.916762e-02
7.037000e+00 2.070400e+07 4.546000e+01 2.496073e+08 3.998708e-02
7.302200e+00 2.093500e+07 4.420910e+01 2.547024e+08 4.080333e-02
7.577400e+00 2.117600e+07 4.298834e+01 2.598966e+08 4.163544e-02
7.862900e+00 2.138800e+07 4.180042e+01 2.649003e+08 4.243703e-02
