E_MeV,Fluence_per_cm2_per_MeV
4.0,2446089440.345548
4.0652271322100315,2392940185.7116723
4.131517909114151,2340945771.6251373
4.198889675335626,2290081105.4162745
4.2673600583327405,2240321639.6353316
4.33694697301091,2191643360.2058015
4.407668626410031,2144022774.8351505
4.479543522468245,2097436901.6773615
4.5525904668634025,2051863258.241825
4.62682857193346,2007279850.5432146
4.702277261677125,1963665162.4871228
4.778956276836035,1920998145.4863226
4.856885680059821,1879258208.3026547
4.93608586115539,1838425207.1096275
5.016577542421802,1798479435.7709463
5.09838178407216,1759401616.3302639
5.181519989743882,1721172889.7075858
5.26601391209887,1683774806.5978067
5.351885658514955,1647189318.5670297
5.439157696870188,1611398769.3423233
5.527852861421429,1576385886.2907572
5.617994358778813,1542133772.0835674
5.709605773977634,1508625896.541456
5.802711076649235,1475846088.657074
5.897334627292539,1443778528.7908394
5.993501183647841,1412407741.0363293
6.0912359071745374,1381718585.75156
6.190564369634479,1351696252.2525465
6.291512559782695,1322326251.6656182
6.3941068901672,1293594409.9350448
6.498374204039703,1265486860.9825892
6.604341782378993,1237990040.0156963
6.7120373510288625,1211090676.9810789
6.82148908795242,1184775790.1605513
6.93272563060471,1159032679.9060056
7.045776083425544,1133848922.510525
7.1606700254545155,1109212364.2126622
7.277437518070198,1085111115.3309968
7.396109112855551,1061533544.5261328
7.516715859591563,1038468273.1873832
7.63928931438127,1015904169.9414108
7.763861547906229,993830345.2801974
7.890465153817644,972236146.3057281
8.019133257264322,951111151.5888699
8.149899523559684,930445166.1399585
8.282798166990112,910228216.4886625
8.41786395976693,890450545.8707553
8.555132241124374,871102609.5194689
8.694638926565908,852175070.0591602
8.836420517261308,833658792.9990631
8.980514109597019,815544842.3249544
9.126957404882205,797824476.1866046
9.275788719213098,780489142.6789345
9.42704699349821,763530475.7148354
9.580771803646984,746940290.9876735
9.73700337092464,730710582.0215135
9.895782572475847,714833516.3071692
10.057150952020004,699301431.5222101
10.221150730720918,684106831.8331008
10.387824818233767,669242384.2776853
10.557216823932162,654700915.2262788
10.72937106831831,640475406.9196497
10.904332594619238,626558994.0822266
11.082147180572084,612944960.6088974
11.262861350401636,599626736.3237906
11.446522386993111,586597893.8094909
11.633178344263483,573852145.3051469
11.822878059734526,561383339.671976
12.015671167310872,549185459.4247081
12.211608110266486,537252617.8275248
12.410740154442847,525579056.0531042
12.613119401662395,514159140.4033914
12.81879880336069,502987359.59075886
13.027832174440839,492058322.078241
13.240274207353929,481366753.4775605
13.456180486408972,470907494.0036928
13.675607502316225,460675495.984738
13.898612666967754,450665821.42589504
14.125254328458835,440873639.62637496
14.35559178635451,431294224.8480847
14.589685307204967,421922954.03497255
14.82759614031392,412755304.58192796
15.069386533764222,403786852.1521554
15.315119750704708,395013268.54197663
15.56486008590262,386430319.59202707
15.818672882566082,378033863.1438335
16.076624549440677,369819847.04079956
16.33878257818503,361784307.17261887
16.605215561029596,353923365.56218356
16.875993208723425,346233228.4940618
17.151186368773683,338710184.68363565
17.430867043982406,331350603.4860263
17.715108411285737,324150933.1439313
18.00398484090024,317107699.073536
18.297571915781443,310217502.18766856
18.59594645139975,303477017.25538903
18.899186515838792,296882991.297222
19.207371450221448,290432242.0152606
19.520581889469153,284121656.25737584
19.83889978339944,277948188.5148027
20.162408418167782,271908859.4523662
20.491192438058913,266000754.47064498
20.82533786763352,260221022.29937732
21.16493213423621,254566873.62142718
21.51006409087025,249035579.72665292
21.860824039445614,242215744.85041046
22.217303754405915,232338062.26495567
22.579596506740668,222863196.65293667
22.947797088389265,213774720.93110836
23.322001837042603,205056877.92112693
23.70230866134945,196694553.03047988
24.088817066533665,188673248.04750744
24.48162818042918,180979056.00507444
24.8808447799396,173598637.0693139
25.286571317929212,166519195.41164115
25.69891395055244,159728457.0239395
26.117980565029182,153214648.43845168
26.54388080787273,146966476.3154888
26.976726113578337,140973107.86355904
27.4166297337794,135224152.0579763
27.863706766879062,129709641.62538326
28.318074188165273,124420015.76295261
28.779850880416507,119346103.56231222
29.249157665006987,114479108.10944706
29.726117333518868,109810591.23301758
30.210854679869957,105332458.87464954
30.70349653296544,101036947.05582952
31.20417178988195,96916608.41707899
31.713011449592727,92964299.30606772
32.23014864724295,89173167.39227879
32.75571868898362,85536639.786757
33.289859087373856,82048411.64633721
33.83270959736024,78702435.24259937
34.38441225284288,75492909.4765978
34.945111403838,72414269.821183
35.51495375424611,69461178.67348385
36.094088400236444,66628516.10081772
36.68266686925716,63911370.96398857
37.28084315968156,61305032.40258169
37.88877378110106,58804981.66749142
38.50661779527503,56406884.286523536
39.134536857748415,54106582.549488075
39.77269526014811,51900088.29975373
40.42125997316884,49783576.01976705
41.08040069026034,47753376.19854647
41.750289872026535,45805968.96965485
42.43110279134897,43937978.00861784
43.12301757924618,42146164.67920832
43.82621527148046,40427422.41844969
44.54087985592498,38778771.35060048
45.267198320703386,37197353.12078341
46.00536070311392,35680425.93930285
46.755560139352,34225359.828055926
47.517992915042925,32829632.060799096
48.29285851659911,31490822.78936179
49.08035968341478,30206610.848225474
49.88070246091125,28974769.73019502
50.694096254448056,27793163.726182923
51.52075388411232,26659744.222416315
52.360891640402166,25572546.148645103
53.2147293408181,24529684.571193926
54.08249038737672,23529351.424951907
54.96440182506305,22569812.378632545
55.86069440123525,21649403.82787098
56.771602625998604,20766530.010943457
57.69736483356398,19919660.24210946
58.63822324460634,19107326.25778
59.59442402964063,18328119.670909997
60.56621737343117,17580689.52920188
61.55385754045072,16863739.97288743
62.557602941407865,16176027.988025738
63.57771620085836,15516361.251423506
64.61446422591965,14883596.063440135
65.66811827610579,14276635.36509419
66.73895403430063,13694426.836033616
67.82725167888931,13135961.070071064
68.93329595706484,12600269.825122532
70.05737625933098,12086424.344513902
71.19978669521984,11593533.746745566
72.36082617024367,11120743.480923515
73.54079846410204,10667233.84517848
74.74001231016439,10232218.565504707
75.95878147624798,9814943.43255467
77.19742484671404,9414684.994025646
78.45626650590174,9030749.300371781
79.73563582292317,8662470.701666418
81.0358675378414,8309210.693529018
82.3573018492527,7970356.8101159865
83.70028450329842,7645321.56225559
85.06516688412694,7333541.418886574
86.45230610583174,7034475.830034038
87.86206510588859,6747606.289628884
89.29481274011569,6472435.436546084
90.75092387918302,6208486.192302976
92.23077950669557,5955300.9339225935
93.73476681887489,5712440.700528288
95.26327932586776,5479484.43229354
96.81671695470519,5256028.240428047
98.39548615394158,5041684.706933991
100.0,4836082.212918619
