# E(MeV) Phi16 Phi84
6.866215e-01 5.624829e+09 7.343460e+09
7.003848e-01 5.466580e+09 7.151431e+09
7.144240e-01 5.311131e+09 6.960275e+09
7.287445e-01 5.162187e+09 6.777234e+09
7.433522e-01 5.017100e+09 6.600095e+09
7.582526e-01 4.877901e+09 6.414698e+09
7.734517e-01 4.740938e+09 6.240678e+09
7.889555e-01 4.610555e+09 6.069571e+09
8.047701e-01 4.477464e+09 5.905201e+09
8.209016e-01 4.352216e+09 5.744655e+09
8.373565e-01 4.227793e+09 5.590823e+09
8.541413e-01 4.107734e+09 5.443656e+09
8.712625e-01 3.992292e+09 5.300973e+09
8.887268e-01 3.879241e+09 5.158036e+09
9.065413e-01 3.770281e+09 5.017337e+09
9.247129e-01 3.659035e+09 4.882587e+09
9.432487e-01 3.554450e+09 4.750099e+09
9.621560e-01 3.458210e+09 4.625670e+09
9.814423e-01 3.359703e+09 4.500736e+09
1.001115e+00 3.262810e+09 4.373490e+09
1.021183e+00 3.172932e+09 4.251148e+09
1.041652e+00 3.085135e+09 4.137400e+09
1.062532e+00 2.994593e+09 4.022396e+09
1.083830e+00 2.909370e+09 3.913845e+09
1.105556e+00 2.824235e+09 3.810199e+09
1.127716e+00 2.741985e+09 3.708681e+09
1.150321e+00 2.659055e+09 3.606930e+09
1.173379e+00 2.584911e+09 3.506542e+09
1.196900e+00 2.509734e+09 3.415465e+09
1.220892e+00 2.433935e+09 3.325037e+09
1.245364e+00 2.361662e+09 3.238222e+09
1.270327e+00 2.293177e+09 3.153426e+09
1.295791e+00 2.223957e+09 3.065903e+09
1.321765e+00 2.158977e+09 2.978721e+09
1.348260e+00 2.096185e+09 2.899615e+09
1.375286e+00 2.035151e+09 2.819223e+09
1.402853e+00 1.973443e+09 2.740440e+09
1.430973e+00 1.917028e+09 2.666542e+09
1.459657e+00 1.857888e+09 2.595502e+09
1.488916e+00 1.798819e+09 2.524963e+09
1.518761e+00 1.742279e+09 2.455747e+09
1.549204e+00 1.689908e+09 2.387861e+09
1.580258e+00 1.639642e+09 2.322006e+09
1.611934e+00 1.588534e+09 2.257599e+09
1.644245e+00 1.542397e+09 2.196702e+09
1.677204e+00 1.496010e+09 2.135551e+09
1.710823e+00 1.448158e+09 2.076781e+09
1.745117e+00 1.401720e+09 2.020280e+09
1.780097e+00 1.359137e+09 1.962170e+09
1.815779e+00 1.315696e+09 1.908728e+09
1.852176e+00 1.274835e+09 1.854526e+09
1.889303e+00 1.232213e+09 1.803319e+09
1.927174e+00 1.193140e+09 1.752513e+09
1.965804e+00 1.156309e+09 1.705755e+09
2.005209e+00 1.120208e+09 1.658769e+09
2.045403e+00 1.085679e+09 1.612537e+09
2.086403e+00 1.051394e+09 1.566952e+09
2.128224e+00 1.018217e+09 1.525361e+09
2.170885e+00 9.861113e+08 1.482638e+09
2.214400e+00 9.521380e+08 1.440354e+09
2.258787e+00 9.218408e+08 1.400989e+09
2.304064e+00 8.916623e+08 1.360157e+09
2.350249e+00 8.617142e+08 1.321065e+09
2.397360e+00 8.350291e+08 1.285155e+09
2.445415e+00 8.076243e+08 1.247167e+09
2.494433e+00 7.825800e+08 1.212225e+09
2.544434e+00 7.560271e+08 1.178013e+09
2.595437e+00 7.313001e+08 1.144094e+09
2.647462e+00 7.071787e+08 1.111707e+09
2.700530e+00 6.825462e+08 1.079780e+09
2.754662e+00 6.589164e+08 1.047584e+09
2.809879e+00 6.359322e+08 1.016001e+09
2.866203e+00 6.131052e+08 9.859471e+08
2.923656e+00 5.912627e+08 9.572000e+08
2.982260e+00 5.701128e+08 9.291116e+08
3.042039e+00 5.503468e+08 9.014317e+08
3.103017e+00 5.301220e+08 8.742266e+08
3.165216e+00 5.118964e+08 8.486455e+08
3.228663e+00 4.935417e+08 8.244295e+08
3.293381e+00 4.756474e+08 7.995702e+08
3.359397e+00 4.583413e+08 7.755831e+08
3.426736e+00 4.406427e+08 7.530135e+08
3.495424e+00 4.243248e+08 7.309390e+08
3.565490e+00 4.081816e+08 7.083651e+08
3.636960e+00 3.930369e+08 6.872615e+08
3.709862e+00 3.776192e+08 6.664816e+08
3.784226e+00 3.635108e+08 6.472028e+08
3.860081e+00 3.495813e+08 6.283793e+08
3.937456e+00 3.364111e+08 6.100396e+08
4.016382e+00 3.235825e+08 5.922282e+08
4.096890e+00 3.110511e+08 5.748637e+08
4.179012e+00 2.992439e+08 5.573235e+08
4.262780e+00 2.876631e+08 5.398927e+08
4.348227e+00 2.764703e+08 5.238444e+08
4.435387e+00 2.651880e+08 5.079995e+08
4.524294e+00 2.547679e+08 4.921304e+08
4.614983e+00 2.441678e+08 4.764648e+08
4.707490e+00 2.336369e+08 4.611320e+08
4.801851e+00 2.237006e+08 4.462934e+08
4.898104e+00 2.145676e+08 4.316592e+08
4.996286e+00 2.055028e+08 4.180848e+08
5.096436e+00 1.968170e+08 4.050103e+08
5.198594e+00 1.887649e+08 3.921761e+08
5.302799e+00 1.803254e+08 3.794536e+08
5.409093e+00 1.721663e+08 3.676217e+08
5.517518e+00 1.643337e+08 3.558504e+08
5.628116e+00 1.567205e+08 3.444470e+08
5.740932e+00 1.492374e+08 3.333924e+08
5.856008e+00 1.422897e+08 3.223539e+08
5.973391e+00 1.357732e+08 3.119783e+08
6.093127e+00 1.293588e+08 3.020646e+08
6.215264e+00 1.230844e+08 2.924581e+08
6.339848e+00 1.170897e+08 2.826470e+08
6.466930e+00 1.114927e+08 2.733581e+08
6.596559e+00 1.062029e+08 2.643819e+08
6.728787e+00 1.006972e+08 2.552651e+08
6.863665e+00 9.585980e+07 2.464468e+08
7.001246e+00 9.125855e+07 2.380023e+08
7.141586e+00 8.656738e+07 2.294027e+08
7.284738e+00 8.199711e+07 2.220154e+08
7.430760e+00 7.791977e+07 2.142842e+08
7.579709e+00 7.381179e+07 2.070729e+08
7.731644e+00 7.010941e+07 1.995848e+08
7.886624e+00 6.636005e+07 1.929443e+08
8.044711e+00 6.279549e+07 1.861225e+08
8.205967e+00 5.953603e+07 1.795950e+08
8.370455e+00 5.628342e+07 1.733294e+08
8.538240e+00 5.304299e+07 1.669539e+08
8.709388e+00 5.012756e+07 1.610628e+08
8.883967e+00 4.730213e+07 1.549796e+08
9.062045e+00 4.481076e+07 1.491884e+08
9.243693e+00 4.243776e+07 1.438913e+08
9.428983e+00 4.002228e+07 1.388033e+08
9.617986e+00 3.782683e+07 1.336976e+08
9.810778e+00 3.558984e+07 1.289680e+08
1.000743e+01 3.356644e+07 1.242369e+08
1.020803e+01 3.169611e+07 1.196892e+08
1.041265e+01 2.993900e+07 1.153817e+08
1.062137e+01 2.829775e+07 1.109592e+08
1.083428e+01 2.655031e+07 1.066210e+08
1.105145e+01 2.493284e+07 1.025529e+08
1.127297e+01 2.332334e+07 9.868448e+07
1.149894e+01 2.179369e+07 9.479069e+07
1.172944e+01 2.037559e+07 9.113369e+07
1.196455e+01 1.913422e+07 8.782571e+07
1.220438e+01 1.790276e+07 8.435962e+07
1.244902e+01 1.668941e+07 8.117729e+07
1.269856e+01 1.564086e+07 7.801116e+07
1.295310e+01 1.452019e+07 7.498697e+07
1.321274e+01 1.356503e+07 7.211672e+07
1.347759e+01 1.264604e+07 6.932501e+07
1.374775e+01 1.180792e+07 6.660103e+07
1.402332e+01 1.098393e+07 6.383119e+07
1.430442e+01 1.020390e+07 6.115241e+07
1.459115e+01 9.495859e+06 5.863437e+07
1.488362e+01 8.829401e+06 5.621453e+07
1.518197e+01 8.214421e+06 5.388054e+07
1.548629e+01 7.626406e+06 5.164802e+07
1.579671e+01 7.067636e+06 4.954469e+07
1.611335e+01 6.551125e+06 4.754825e+07
1.643634e+01 6.075031e+06 4.542417e+07
