# E(MeV) Fluence
2.595437e+00 3.638139e+09
2.647462e+00 3.523140e+09
2.700530e+00 3.416414e+09
2.754662e+00 3.301300e+09
2.809879e+00 3.192768e+09
2.866203e+00 3.088722e+09
2.923656e+00 2.987726e+09
2.982260e+00 2.889893e+09
3.042039e+00 2.795403e+09
3.103017e+00 2.707322e+09
3.165216e+00 2.619336e+09
3.228663e+00 2.533587e+09
3.293381e+00 2.446951e+09
3.359397e+00 2.362848e+09
3.426736e+00 2.280843e+09
3.495424e+00 2.203507e+09
3.565490e+00 2.132301e+09
3.636960e+00 2.059263e+09
3.709862e+00 1.987681e+09
3.784226e+00 1.919479e+09
3.860081e+00 1.849665e+09
3.937456e+00 1.789490e+09
4.016382e+00 1.728664e+09
4.096890e+00 1.668686e+09
4.179012e+00 1.610947e+09
4.262780e+00 1.557443e+09
4.348227e+00 1.503260e+09
4.435387e+00 1.448672e+09
4.524294e+00 1.394462e+09
4.614983e+00 1.343941e+09
4.707490e+00 1.300638e+09
4.801851e+00 1.255087e+09
4.898104e+00 1.210517e+09
4.996286e+00 1.164591e+09
5.096436e+00 1.121684e+09
5.198594e+00 1.078378e+09
5.302799e+00 1.036376e+09
5.409093e+00 9.970309e+08
5.517518e+00 9.607045e+08
5.628116e+00 9.278243e+08
5.740932e+00 8.944187e+08
5.856008e+00 8.602961e+08
5.973391e+00 8.275472e+08
6.093127e+00 7.938309e+08
6.215264e+00 7.643676e+08
6.339848e+00 7.391274e+08
6.466930e+00 7.135767e+08
6.596559e+00 6.891824e+08
6.728787e+00 6.641484e+08
6.863665e+00 6.393585e+08
7.001246e+00 6.170579e+08
7.141586e+00 5.925482e+08
7.284738e+00 5.695019e+08
7.430760e+00 5.488241e+08
7.579709e+00 5.259690e+08
7.731644e+00 5.032585e+08
7.886624e+00 4.830861e+08
8.044711e+00 4.652012e+08
8.205967e+00 4.490517e+08
8.370455e+00 4.295896e+08
8.538240e+00 4.121189e+08
8.709388e+00 3.939563e+08
8.883967e+00 3.785971e+08
9.062045e+00 3.652624e+08
9.243693e+00 3.518789e+08
9.428983e+00 3.395440e+08
9.617986e+00 3.269878e+08
9.810778e+00 3.148067e+08
1.000743e+01 3.029563e+08
1.020803e+01 2.906672e+08
1.041265e+01 2.787909e+08
1.062137e+01 2.678446e+08
1.083428e+01 2.562019e+08
1.105145e+01 2.458423e+08
1.127297e+01 2.368048e+08
1.149894e+01 2.277125e+08
1.172944e+01 2.184632e+08
1.196455e+01 2.094056e+08
1.220438e+01 1.998489e+08
1.244902e+01 1.919359e+08
1.269856e+01 1.840210e+08
1.295310e+01 1.762150e+08
1.321274e+01 1.686413e+08
1.347759e+01 1.613405e+08
1.374775e+01 1.548987e+08
