# E(MeV) Phi16 Phi84
6.866215e-01 2.249932e+10 2.937384e+10
7.003848e-01 2.186632e+10 2.860572e+10
7.144240e-01 2.124452e+10 2.784110e+10
7.287445e-01 2.064875e+10 2.710894e+10
7.433522e-01 2.006840e+10 2.640038e+10
7.582526e-01 1.951160e+10 2.565879e+10
7.734517e-01 1.896375e+10 2.496271e+10
7.889555e-01 1.844222e+10 2.427828e+10
8.047701e-01 1.790986e+10 2.362080e+10
8.209016e-01 1.740886e+10 2.297862e+10
8.373565e-01 1.691117e+10 2.236329e+10
8.541413e-01 1.643094e+10 2.177462e+10
8.712625e-01 1.596917e+10 2.120389e+10
8.887268e-01 1.551696e+10 2.063215e+10
9.065413e-01 1.508112e+10 2.006935e+10
9.247129e-01 1.463614e+10 1.953035e+10
9.432487e-01 1.421780e+10 1.900040e+10
9.621560e-01 1.383284e+10 1.850268e+10
9.814423e-01 1.343881e+10 1.800295e+10
1.001115e+00 1.305124e+10 1.749396e+10
1.021183e+00 1.269173e+10 1.700459e+10
1.041652e+00 1.234054e+10 1.654960e+10
1.062532e+00 1.197837e+10 1.608958e+10
1.083830e+00 1.163748e+10 1.565538e+10
1.105556e+00 1.129694e+10 1.524080e+10
1.127716e+00 1.096794e+10 1.483472e+10
1.150321e+00 1.063622e+10 1.442772e+10
1.173379e+00 1.033964e+10 1.402617e+10
1.196900e+00 1.003894e+10 1.366186e+10
1.220892e+00 9.735742e+09 1.330015e+10
1.245364e+00 9.446647e+09 1.295289e+10
1.270327e+00 9.172707e+09 1.261370e+10
1.295791e+00 8.895829e+09 1.226361e+10
1.321765e+00 8.635906e+09 1.191489e+10
1.348260e+00 8.384741e+09 1.159846e+10
1.375286e+00 8.140605e+09 1.127689e+10
1.402853e+00 7.893772e+09 1.096176e+10
1.430973e+00 7.668111e+09 1.066617e+10
1.459657e+00 7.431552e+09 1.038201e+10
1.488916e+00 7.195275e+09 1.009985e+10
1.518761e+00 6.969115e+09 9.822987e+09
1.549204e+00 6.759630e+09 9.551443e+09
1.580258e+00 6.558567e+09 9.288024e+09
1.611934e+00 6.354136e+09 9.030397e+09
1.644245e+00 6.169589e+09 8.786809e+09
1.677204e+00 5.984039e+09 8.542202e+09
1.710823e+00 5.792630e+09 8.307122e+09
1.745117e+00 5.606879e+09 8.081118e+09
1.780097e+00 5.436547e+09 7.848679e+09
1.815779e+00 5.262785e+09 7.634911e+09
1.852176e+00 5.099339e+09 7.418104e+09
1.889303e+00 4.928854e+09 7.213275e+09
1.927174e+00 4.772558e+09 7.010054e+09
1.965804e+00 4.625237e+09 6.823019e+09
2.005209e+00 4.480831e+09 6.635078e+09
2.045403e+00 4.342714e+09 6.450149e+09
2.086403e+00 4.205576e+09 6.267807e+09
2.128224e+00 4.072868e+09 6.101444e+09
2.170885e+00 3.944445e+09 5.930552e+09
2.214400e+00 3.808552e+09 5.761418e+09
2.258787e+00 3.687363e+09 5.603957e+09
2.304064e+00 3.566649e+09 5.440629e+09
2.350249e+00 3.446857e+09 5.284258e+09
