Energy(MeV) Phi_16 Phi_84
6.866215e-01 4.621744e+09 5.175338e+09
7.003848e-01 4.504331e+09 5.048095e+09
7.144240e-01 4.385722e+09 4.922630e+09
7.287445e-01 4.272582e+09 4.798834e+09
7.433522e-01 4.163549e+09 4.681306e+09
7.582526e-01 4.057354e+09 4.565201e+09
7.734517e-01 3.953032e+09 4.451227e+09
7.889555e-01 3.850661e+09 4.340672e+09
8.047701e-01 3.750427e+09 4.231088e+09
8.209016e-01 3.652987e+09 4.121755e+09
8.373565e-01 3.560166e+09 4.017267e+09
8.541413e-01 3.469487e+09 3.915076e+09
8.712625e-01 3.379750e+09 3.818624e+09
8.887268e-01 3.291958e+09 3.722229e+09
9.065413e-01 3.207417e+09 3.628441e+09
9.247129e-01 3.124087e+09 3.537298e+09
9.432487e-01 3.042205e+09 3.447029e+09
9.621560e-01 2.962391e+09 3.359551e+09
9.814423e-01 2.886415e+09 3.275405e+09
1.001115e+00 2.811129e+09 3.190666e+09
1.021183e+00 2.737731e+09 3.109745e+09
1.041652e+00 2.665441e+09 3.029414e+09
1.062532e+00 2.595780e+09 2.951744e+09
1.083830e+00 2.527985e+09 2.875546e+09
1.105556e+00 2.460676e+09 2.802047e+09
1.127716e+00 2.396388e+09 2.730897e+09
1.150321e+00 2.332846e+09 2.661715e+09
1.173379e+00 2.270596e+09 2.594029e+09
1.196900e+00 2.209972e+09 2.526631e+09
1.220892e+00 2.151577e+09 2.460875e+09
1.245364e+00 2.094603e+09 2.397789e+09
1.270327e+00 2.039530e+09 2.336319e+09
1.295791e+00 1.985255e+09 2.277444e+09
1.321765e+00 1.932367e+09 2.218345e+09
1.348260e+00 1.881034e+09 2.161680e+09
1.375286e+00 1.831806e+09 2.104352e+09
1.402853e+00 1.784205e+09 2.050586e+09
1.430973e+00 1.736123e+09 1.998151e+09
1.459657e+00 1.689640e+09 1.946137e+09
1.488916e+00 1.644725e+09 1.895041e+09
1.518761e+00 1.600073e+09 1.844564e+09
1.549204e+00 1.557650e+09 1.796472e+09
1.580258e+00 1.516362e+09 1.748765e+09
1.611934e+00 1.476038e+09 1.701633e+09
1.644245e+00 1.436022e+09 1.656596e+09
1.677204e+00 1.397735e+09 1.612302e+09
1.710823e+00 1.360018e+09 1.569980e+09
1.745117e+00 1.323290e+09 1.528721e+09
1.780097e+00 1.287306e+09 1.487885e+09
1.815779e+00 1.252623e+09 1.447753e+09
1.852176e+00 1.218223e+09 1.408843e+09
1.889303e+00 1.185366e+09 1.370864e+09
1.927174e+00 1.152817e+09 1.333197e+09
1.965804e+00 1.121106e+09 1.297169e+09
2.005209e+00 1.090316e+09 1.262575e+09
2.045403e+00 1.060370e+09 1.228718e+09
2.086403e+00 1.031183e+09 1.194557e+09
2.128224e+00 1.002439e+09 1.162072e+09
2.170885e+00 9.740316e+08 1.130042e+09
2.214400e+00 9.471670e+08 1.099413e+09
2.258787e+00 9.206983e+08 1.069159e+09
2.304064e+00 8.948727e+08 1.039450e+09
2.350249e+00 8.695687e+08 1.011184e+09
2.397360e+00 8.449999e+08 9.829549e+08
2.445415e+00 8.212845e+08 9.551521e+08
2.494433e+00 7.984212e+08 9.286101e+08
2.544434e+00 7.762911e+08 9.026608e+08
2.595437e+00 7.543861e+08 8.769550e+08
2.647462e+00 7.331329e+08 8.519283e+08
2.700530e+00 7.122147e+08 8.279893e+08
2.754662e+00 6.919987e+08 8.042884e+08
2.809879e+00 6.722159e+08 7.811450e+08
2.866203e+00 6.530300e+08 7.592286e+08
2.923656e+00 6.341576e+08 7.373296e+08
2.982260e+00 6.159181e+08 7.160295e+08
3.042039e+00 5.980177e+08 6.952981e+08
3.103017e+00 5.808640e+08 6.753185e+08
3.165216e+00 5.639949e+08 6.557061e+08
3.228663e+00 5.474495e+08 6.368535e+08
3.293381e+00 5.311055e+08 6.180907e+08
3.359397e+00 5.154123e+08 5.997665e+08
3.426736e+00 5.005391e+08 5.821047e+08
3.495424e+00 4.858495e+08 5.651284e+08
3.565490e+00 4.713993e+08 5.484005e+08
3.636960e+00 4.574418e+08 5.322060e+08
3.709862e+00 4.438026e+08 5.161389e+08
3.784226e+00 4.301490e+08 5.009228e+08
3.860081e+00 4.170477e+08 4.857697e+08
3.937456e+00 4.040561e+08 4.711847e+08
4.016382e+00 3.918046e+08 4.568647e+08
4.096890e+00 3.799563e+08 4.428049e+08
4.179012e+00 3.683648e+08 4.291721e+08
4.262780e+00 3.571815e+08 4.159932e+08
4.348227e+00 3.462506e+08 4.033839e+08
4.435387e+00 3.356005e+08 3.910155e+08
4.524294e+00 3.252354e+08 3.788198e+08
4.614983e+00 3.149981e+08 3.670397e+08
4.707490e+00 3.052114e+08 3.555571e+08
4.801851e+00 2.957168e+08 3.444769e+08
4.898104e+00 2.864320e+08 3.336550e+08
4.996286e+00 2.773412e+08 3.230811e+08
5.096436e+00 2.685085e+08 3.127657e+08
5.198594e+00 2.599443e+08 3.026563e+08
5.302799e+00 2.515902e+08 2.928130e+08
5.409093e+00 2.432943e+08 2.834131e+08
5.517518e+00 2.352298e+08 2.740139e+08
5.628116e+00 2.276114e+08 2.652161e+08
5.740932e+00 2.201221e+08 2.566434e+08
5.856008e+00 2.129041e+08 2.483178e+08
5.973391e+00 2.057139e+08 2.399659e+08
6.093127e+00 1.988429e+08 2.317887e+08
6.215264e+00 1.922296e+08 2.241991e+08
6.339848e+00 1.857128e+08 2.166090e+08
6.466930e+00 1.793610e+08 2.091485e+08
6.596559e+00 1.731823e+08 2.020211e+08
6.728787e+00 1.672748e+08 1.950331e+08
6.863665e+00 1.615124e+08 1.881589e+08
7.001246e+00 1.558726e+08 1.814530e+08
7.141586e+00 1.502959e+08 1.750118e+08
7.284738e+00 1.450037e+08 1.688954e+08
7.430760e+00 1.399499e+08 1.627696e+08
7.579709e+00 1.349447e+08 1.570191e+08
7.731644e+00 1.301008e+08 1.513995e+08
7.886624e+00 1.254153e+08 1.458475e+08
8.044711e+00 1.209122e+08 1.406435e+08
8.205967e+00 1.164776e+08 1.355499e+08
8.370455e+00 1.121336e+08 1.305071e+08
8.538240e+00 1.079466e+08 1.256972e+08
8.709388e+00 1.037192e+08 1.211791e+08
8.883967e+00 9.970747e+07 1.165511e+08
9.062045e+00 9.587157e+07 1.121703e+08
9.243693e+00 9.215514e+07 1.078478e+08
9.428983e+00 8.862780e+07 1.037525e+08
9.617986e+00 8.514803e+07 9.979359e+07
9.810778e+00 8.167953e+07 9.586988e+07
1.000743e+01 7.844232e+07 9.207558e+07
1.020803e+01 7.522890e+07 8.840090e+07
1.041265e+01 7.221246e+07 8.491339e+07
1.062137e+01 6.928403e+07 8.161171e+07
1.083428e+01 6.640060e+07 7.835034e+07
1.105145e+01 6.367620e+07 7.525390e+07
1.127297e+01 6.116177e+07 7.209725e+07
1.149894e+01 5.855100e+07 6.918254e+07
1.172944e+01 5.594933e+07 6.636202e+07
1.196455e+01 5.354838e+07 6.366109e+07
1.220438e+01 5.132001e+07 6.105667e+07
1.244902e+01 4.910473e+07 5.853817e+07
1.269856e+01 4.691256e+07 5.607496e+07
1.295310e+01 4.483235e+07 5.366208e+07
1.321274e+01 4.282618e+07 5.138696e+07
1.347759e+01 4.093485e+07 4.920012e+07
