Energy(MeV) Phi_16 Phi_84
6.866215e-01 1.848698e+10 2.070135e+10
7.003848e-01 1.801732e+10 2.019238e+10
7.144240e-01 1.754289e+10 1.969052e+10
7.287445e-01 1.709033e+10 1.919533e+10
7.433522e-01 1.665420e+10 1.872522e+10
7.582526e-01 1.622942e+10 1.826080e+10
7.734517e-01 1.581213e+10 1.780491e+10
7.889555e-01 1.540265e+10 1.736269e+10
8.047701e-01 1.500171e+10 1.692435e+10
8.209016e-01 1.461195e+10 1.648702e+10
8.373565e-01 1.424066e+10 1.606907e+10
8.541413e-01 1.387795e+10 1.566030e+10
8.712625e-01 1.351900e+10 1.527450e+10
8.887268e-01 1.316783e+10 1.488892e+10
9.065413e-01 1.282967e+10 1.451376e+10
9.247129e-01 1.249635e+10 1.414919e+10
9.432487e-01 1.216882e+10 1.378812e+10
9.621560e-01 1.184956e+10 1.343820e+10
9.814423e-01 1.154566e+10 1.310162e+10
1.001115e+00 1.124452e+10 1.276266e+10
1.021183e+00 1.095092e+10 1.243898e+10
1.041652e+00 1.066176e+10 1.211766e+10
1.062532e+00 1.038312e+10 1.180698e+10
1.083830e+00 1.011194e+10 1.150219e+10
1.105556e+00 9.842706e+09 1.120819e+10
1.127716e+00 9.585552e+09 1.092359e+10
1.150321e+00 9.331386e+09 1.064686e+10
1.173379e+00 9.082384e+09 1.037612e+10
1.196900e+00 8.839890e+09 1.010653e+10
1.220892e+00 8.606309e+09 9.843500e+09
1.245364e+00 8.378410e+09 9.591155e+09
1.270327e+00 8.158119e+09 9.345275e+09
1.295791e+00 7.941019e+09 9.109777e+09
1.321765e+00 7.729469e+09 8.873378e+09
1.348260e+00 7.524135e+09 8.646721e+09
1.375286e+00 7.327224e+09 8.417409e+09
1.402853e+00 7.136820e+09 8.202342e+09
1.430973e+00 6.944493e+09 7.992602e+09
1.459657e+00 6.758560e+09 7.784547e+09
1.488916e+00 6.578900e+09 7.580166e+09
1.518761e+00 6.400292e+09 7.378257e+09
1.549204e+00 6.230598e+09 7.185887e+09
1.580258e+00 6.065447e+09 6.995060e+09
1.611934e+00 5.904152e+09 6.806531e+09
1.644245e+00 5.744089e+09 6.626384e+09
1.677204e+00 5.590940e+09 6.449209e+09
1.710823e+00 5.440071e+09 6.279919e+09
1.745117e+00 5.293160e+09 6.114883e+09
1.780097e+00 5.149226e+09 5.951541e+09
1.815779e+00 5.010492e+09 5.791013e+09
1.852176e+00 4.872891e+09 5.635374e+09
1.889303e+00 4.741462e+09 5.483458e+09
1.927174e+00 4.611269e+09 5.332787e+09
1.965804e+00 4.484423e+09 5.188677e+09
2.005209e+00 4.361262e+09 5.050301e+09
2.045403e+00 4.241478e+09 4.914870e+09
2.086403e+00 4.124733e+09 4.778226e+09
2.128224e+00 4.009755e+09 4.648287e+09
2.170885e+00 3.896127e+09 4.520168e+09
2.214400e+00 3.788668e+09 4.397652e+09
2.258787e+00 3.682793e+09 4.276637e+09
2.304064e+00 3.579491e+09 4.157801e+09
2.350249e+00 3.478275e+09 4.044736e+09
2.397360e+00 3.380000e+09 3.931820e+09
2.445415e+00 3.285138e+09 3.820609e+09
2.494433e+00 3.193685e+09 3.714440e+09
2.544434e+00 3.105164e+09 3.610643e+09
2.595437e+00 3.017544e+09 3.507820e+09
2.647462e+00 2.932532e+09 3.407713e+09
2.700530e+00 2.848859e+09 3.311957e+09
2.754662e+00 2.767995e+09 3.217154e+09
2.809879e+00 2.688864e+09 3.124580e+09
