Energy_MeV	Diff_Fluence
2.630850e+02	9.555764e+00
2.737596e+02	8.654048e+00
2.848673e+02	7.837421e+00
2.964256e+02	7.097854e+00
3.084530e+02	6.428076e+00
3.209683e+02	5.821499e+00
3.339915e+02	5.272162e+00
3.475431e+02	4.774662e+00
3.616445e+02	4.324108e+00
3.763181e+02	3.916070e+00
3.915870e+02	3.546535e+00
4.074755e+02	3.211872e+00
4.240086e+02	2.908788e+00
4.412126e+02	2.634304e+00
4.591146e+02	2.385722e+00
4.777430e+02	2.160597e+00
4.971272e+02	1.956715e+00
5.172980e+02	1.772073e+00
5.382871e+02	1.604853e+00
5.601279e+02	1.453414e+00
5.828548e+02	1.316264e+00
6.065039e+02	1.192057e+00
6.311126e+02	1.079570e+00
6.567197e+02	9.776982e-01
6.833658e+02	8.854391e-01
7.110931e+02	8.018859e-01
7.399454e+02	7.262171e-01
7.699684e+02	6.576887e-01
8.012095e+02	5.956268e-01
8.337183e+02	5.394214e-01
8.675460e+02	4.885196e-01
9.027463e+02	4.424212e-01
9.393749e+02	4.006727e-01
9.774896e+02	3.628638e-01
1.017151e+03	3.286227e-01
1.058421e+03	2.976127e-01
1.101366e+03	2.695289e-01
1.146054e+03	2.440952e-01
1.192554e+03	2.210615e-01
1.240942e+03	2.002014e-01
1.291293e+03	1.813096e-01
1.343686e+03	1.642006e-01
1.398206e+03	1.487061e-01
1.454937e+03	1.346736e-01
1.513971e+03	1.219653e-01
1.575400e+03	1.104563e-01
1.639321e+03	1.000332e-01
1.705835e+03	9.059372e-02
1.775049e+03	8.204498e-02
1.847071e+03	7.430292e-02
1.922015e+03	6.729143e-02
2.000000e+03	6.094157e-02
