Energy_MeV	Diff_Fluence
1.000000e-01	2.074482e+10
1.040575e-01	1.969009e+10
1.082795e-01	1.868881e+10
1.126729e-01	1.773825e+10
1.172446e-01	1.683586e+10
1.220018e-01	1.597919e+10
1.269519e-01	1.516594e+10
1.321029e-01	1.439390e+10
1.374630e-01	1.366098e+10
1.430405e-01	1.296521e+10
1.488443e-01	1.230471e+10
1.548836e-01	1.167769e+10
1.611679e-01	1.108245e+10
1.677072e-01	1.051739e+10
1.745119e-01	9.980973e+09
1.815926e-01	9.471758e+09
1.889607e-01	8.988364e+09
1.966277e-01	8.529484e+09
2.046057e-01	8.093877e+09
2.129075e-01	7.680365e+09
2.215462e-01	7.287828e+09
2.305353e-01	6.915204e+09
2.398892e-01	6.561486e+09
2.496226e-01	6.225717e+09
2.597509e-01	5.906986e+09
2.702902e-01	5.604432e+09
2.812571e-01	5.317235e+09
2.926690e-01	5.044619e+09
3.045439e-01	4.785843e+09
3.169007e-01	4.540208e+09
3.297588e-01	4.307048e+09
3.431386e-01	4.085731e+09
3.570613e-01	3.875657e+09
3.715489e-01	3.676258e+09
3.866244e-01	3.486991e+09
4.023115e-01	3.307345e+09
4.186351e-01	3.136832e+09
4.356211e-01	2.974989e+09
4.532962e-01	2.821377e+09
4.716885e-01	2.675579e+09
4.908271e-01	2.537199e+09
5.107422e-01	2.405862e+09
5.314653e-01	2.281210e+09
5.530293e-01	2.162905e+09
5.754682e-01	2.050626e+09
5.988176e-01	1.944067e+09
6.231144e-01	1.842938e+09
6.483970e-01	1.746964e+09
6.747054e-01	1.655884e+09
7.020813e-01	1.569450e+09
7.305680e-01	1.487426e+09
7.602105e-01	1.409589e+09
7.910557e-01	1.335727e+09
8.231525e-01	1.265639e+09
8.565515e-01	1.199132e+09
8.913057e-01	1.136026e+09
9.274701e-01	1.076148e+09
9.651018e-01	1.019334e+09
1.004260e+00	9.654290e+08
1.045008e+00	9.142858e+08
1.087409e+00	8.657643e+08
1.131530e+00	8.197313e+08
1.177441e+00	7.760608e+08
1.225215e+00	7.346329e+08
1.274928e+00	6.953339e+08
1.326658e+00	6.580559e+08
1.380486e+00	6.226963e+08
1.436499e+00	5.891578e+08
1.494784e+00	5.573481e+08
1.555434e+00	5.271794e+08
1.618545e+00	4.985686e+08
1.684217e+00	4.714365e+08
1.752554e+00	4.457081e+08
1.823663e+00	4.213122e+08
1.897657e+00	3.981813e+08
1.974654e+00	3.762511e+08
2.054775e+00	3.554606e+08
2.138146e+00	3.357520e+08
2.224901e+00	3.170705e+08
2.315175e+00	2.993638e+08
2.409112e+00	2.825825e+08
2.506861e+00	2.666796e+08
2.608576e+00	2.516105e+08
2.714418e+00	2.373329e+08
2.824554e+00	2.238065e+08
2.939159e+00	2.109933e+08
3.058414e+00	1.988569e+08
3.182508e+00	1.873631e+08
3.311637e+00	1.764791e+08
3.446005e+00	1.661741e+08
3.585826e+00	1.564185e+08
3.731319e+00	1.471844e+08
3.882716e+00	1.384454e+08
4.040255e+00	1.301762e+08
4.204187e+00	1.223530e+08
4.374770e+00	1.149531e+08
4.552274e+00	1.079549e+08
4.736981e+00	1.013381e+08
4.929182e+00	9.508308e+07
5.129182e+00	8.917155e+07
5.337296e+00	8.358597e+07
5.553854e+00	7.830973e+07
5.779200e+00	7.332705e+07
6.013688e+00	6.862294e+07
6.257691e+00	6.418318e+07
6.511594e+00	5.999425e+07
6.775800e+00	5.604331e+07
7.050725e+00	5.231819e+07
7.336805e+00	4.880729e+07
7.634493e+00	4.549961e+07
7.944259e+00	4.238472e+07
8.266594e+00	3.945266e+07
8.602008e+00	3.669402e+07
8.951031e+00	3.409981e+07
9.314215e+00	3.166152e+07
9.692135e+00	2.937104e+07
1.008539e+01	2.722067e+07
1.049460e+01	2.520308e+07
1.092041e+01	2.331130e+07
1.136351e+01	2.153870e+07
1.182457e+01	1.987898e+07
1.230435e+01	1.832613e+07
1.280360e+01	1.687444e+07
1.332310e+01	1.551846e+07
1.386368e+01	1.425302e+07
1.442619e+01	1.307319e+07
1.501153e+01	1.197426e+07
1.562061e+01	1.095175e+07
1.625441e+01	1.000140e+07
1.691393e+01	9.119134e+06
1.760020e+01	8.301071e+06
1.831432e+01	7.543511e+06
1.905742e+01	6.842925e+06
1.983067e+01	6.195945e+06
2.063529e+01	5.599358e+06
2.147256e+01	5.050101e+06
2.234380e+01	4.545249e+06
2.325039e+01	4.082013e+06
2.419376e+01	3.657734e+06
2.517541e+01	3.269874e+06
2.619689e+01	2.916016e+06
2.725982e+01	2.593854e+06
2.836588e+01	2.301195e+06
2.951681e+01	2.035949e+06
3.071444e+01	1.796128e+06
3.196067e+01	1.579845e+06
3.325746e+01	1.385306e+06
3.460687e+01	1.210812e+06
