# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
1.298671e+00 7.695821e+09
1.320321e+00 7.523675e+09
1.342331e+00 7.354784e+09
1.364709e+00 7.188977e+09
1.387460e+00 7.028330e+09
1.410590e+00 6.867652e+09
1.434106e+00 6.714637e+09
1.458013e+00 6.566518e+09
1.482320e+00 6.420774e+09
1.507031e+00 6.276505e+09
1.532155e+00 6.134246e+09
1.557697e+00 5.996482e+09
1.583665e+00 5.863357e+09
1.610066e+00 5.733717e+09
1.636907e+00 5.602564e+09
1.664195e+00 5.474237e+09
1.691939e+00 5.349514e+09
1.720145e+00 5.229062e+09
1.748821e+00 5.110546e+09
1.777975e+00 4.993958e+09
1.807616e+00 4.878254e+09
1.837750e+00 4.766640e+09
1.868387e+00 4.655758e+09
1.899534e+00 4.550263e+09
1.931201e+00 4.444838e+09
1.963396e+00 4.344466e+09
1.996127e+00 4.244711e+09
2.029404e+00 4.145962e+09
2.063236e+00 4.051786e+09
2.097632e+00 3.959634e+09
2.132601e+00 3.869717e+09
2.168153e+00 3.781677e+09
2.204298e+00 3.693902e+09
2.241045e+00 3.606577e+09
2.278405e+00 3.522190e+09
2.316388e+00 3.439954e+09
2.355004e+00 3.361344e+09
2.394264e+00 3.284175e+09
2.434178e+00 3.208661e+09
2.474758e+00 3.133947e+09
2.516014e+00 3.060593e+09
2.557958e+00 2.989628e+09
2.600601e+00 2.920056e+09
2.643956e+00 2.850769e+09
2.688032e+00 2.783079e+09
2.732844e+00 2.716827e+09
2.778403e+00 2.652616e+09
2.824721e+00 2.590136e+09
2.871811e+00 2.528777e+09
2.919687e+00 2.469091e+09
2.968360e+00 2.410623e+09
3.017845e+00 2.353599e+09
3.068155e+00 2.297624e+09
3.119304e+00 2.242879e+09
3.171305e+00 2.189338e+09
3.224173e+00 2.136651e+09
3.277923e+00 2.085639e+09
3.332568e+00 2.035279e+09
3.388125e+00 1.985879e+09
3.444608e+00 1.937907e+09
3.502032e+00 1.891099e+09
3.560414e+00 1.845334e+09
