# Energy(MeV) Phi16_Spherical Phi84_Spherical
4.433802e-01 3.010882e+10 3.551420e+10
4.507717e-01 2.946199e+10 3.472419e+10
4.582864e-01 2.883385e+10 3.396964e+10
4.659264e-01 2.822514e+10 3.320951e+10
4.736938e-01 2.762673e+10 3.248350e+10
4.815906e-01 2.703341e+10 3.178505e+10
4.896191e-01 2.645937e+10 3.108014e+10
4.977815e-01 2.589747e+10 3.040660e+10
5.060799e-01 2.534622e+10 2.974877e+10
5.145167e-01 2.479983e+10 2.909544e+10
5.230941e-01 2.426996e+10 2.846196e+10
5.318145e-01 2.374890e+10 2.784263e+10
5.406802e-01 2.323240e+10 2.723013e+10
5.496938e-01 2.271937e+10 2.662496e+10
5.588576e-01 2.221004e+10 2.603622e+10
5.681742e-01 2.172357e+10 2.546431e+10
5.776462e-01 2.124043e+10 2.489824e+10
5.872760e-01 2.076681e+10 2.433537e+10
5.970663e-01 2.033171e+10 2.379365e+10
6.070199e-01 1.990907e+10 2.326206e+10
6.171394e-01 1.946993e+10 2.275552e+10
6.274276e-01 1.907040e+10 2.226239e+10
6.378874e-01 1.866457e+10 2.177385e+10
6.485214e-01 1.825847e+10 2.129833e+10
6.593328e-01 1.786002e+10 2.083923e+10
6.703244e-01 1.746752e+10 2.039479e+10
6.814993e-01 1.708211e+10 1.996166e+10
6.928604e-01 1.671777e+10 1.952374e+10
7.044109e-01 1.635170e+10 1.909625e+10
7.161540e-01 1.599881e+10 1.867662e+10
7.280929e-01 1.564356e+10 1.827715e+10
7.402308e-01 1.529055e+10 1.786713e+10
7.525710e-01 1.495669e+10 1.748344e+10
7.651170e-01 1.463283e+10 1.710245e+10
7.778721e-01 1.431428e+10 1.672497e+10
7.908399e-01 1.399215e+10 1.635649e+10
8.040238e-01 1.368280e+10 1.599131e+10
8.174275e-01 1.337970e+10 1.564040e+10
8.310547e-01 1.308376e+10 1.529573e+10
8.449090e-01 1.279501e+10 1.495809e+10
8.589943e-01 1.250632e+10 1.463318e+10
8.733145e-01 1.222551e+10 1.431681e+10
8.878733e-01 1.195470e+10 1.400666e+10
9.026749e-01 1.167548e+10 1.370102e+10
9.177232e-01 1.141624e+10 1.339848e+10
9.330224e-01 1.115893e+10 1.310895e+10
9.485766e-01 1.091259e+10 1.281907e+10
9.643901e-01 1.067419e+10 1.253644e+10
9.804673e-01 1.043887e+10 1.226540e+10
9.968125e-01 1.021337e+10 1.200184e+10
1.013430e+00 9.991935e+09 1.173687e+10
1.030325e+00 9.771407e+09 1.147836e+10
1.047501e+00 9.550599e+09 1.122455e+10
1.064964e+00 9.336766e+09 1.097617e+10
1.082718e+00 9.130134e+09 1.073347e+10
1.100767e+00 8.921330e+09 1.049700e+10
1.119118e+00 8.718788e+09 1.026311e+10
1.137775e+00 8.521093e+09 1.003239e+10
1.156742e+00 8.326219e+09 9.809956e+09
1.176026e+00 8.135380e+09 9.592551e+09
1.195631e+00 7.951994e+09 9.379771e+09
1.215564e+00 7.768286e+09 9.172228e+09
1.235828e+00 7.591254e+09 8.968235e+09
1.256430e+00 7.416855e+09 8.769649e+09
1.277376e+00 7.249291e+09 8.578582e+09
1.298671e+00 7.084295e+09 8.387324e+09
1.320321e+00 6.925962e+09 8.204148e+09
1.342331e+00 6.768763e+09 8.023671e+09
1.364709e+00 6.613009e+09 7.840543e+09
1.387460e+00 6.463066e+09 7.659668e+09
1.410590e+00 6.315131e+09 7.486566e+09
1.434106e+00 6.171877e+09 7.319239e+09
1.458013e+00 6.032426e+09 7.154218e+09
1.482320e+00 5.892247e+09 6.997540e+09
1.507031e+00 5.758222e+09 6.839060e+09
1.532155e+00 5.629107e+09 6.683944e+09
1.557697e+00 5.501849e+09 6.538370e+09
1.583665e+00 5.374716e+09 6.395847e+09
1.610066e+00 5.250969e+09 6.254523e+09
1.636907e+00 5.129959e+09 6.115132e+09
1.664195e+00 5.011879e+09 5.974773e+09
1.691939e+00 4.896848e+09 5.836928e+09
1.720145e+00 4.787088e+09 5.704525e+09
1.748821e+00 4.676966e+09 5.576967e+09
1.777975e+00 4.569585e+09 5.450595e+09
1.807616e+00 4.465103e+09 5.329138e+09
1.837750e+00 4.360289e+09 5.208300e+09
1.868387e+00 4.257729e+09 5.088729e+09
1.899534e+00 4.160054e+09 4.974145e+09
1.931201e+00 4.062250e+09 4.862352e+09
1.963396e+00 3.966766e+09 4.750029e+09
1.996127e+00 3.874581e+09 4.641211e+09
2.029404e+00 3.784797e+09 4.536391e+09
2.063236e+00 3.695454e+09 4.432187e+09
2.097632e+00 3.612171e+09 4.328636e+09
2.132601e+00 3.527759e+09 4.232900e+09
2.168153e+00 3.445067e+09 4.138990e+09
2.204298e+00 3.364946e+09 4.043916e+09
2.241045e+00 3.284982e+09 3.950727e+09
2.278405e+00 3.206837e+09 3.860327e+09
2.316388e+00 3.130318e+09 3.772773e+09
2.355004e+00 3.055760e+09 3.685430e+09
2.394264e+00 2.982490e+09 3.603049e+09
2.434178e+00 2.911266e+09 3.520336e+09
2.474758e+00 2.842448e+09 3.436558e+09
2.516014e+00 2.776677e+09 3.356454e+09
2.557958e+00 2.711418e+09 3.276155e+09
2.600601e+00 2.645815e+09 3.199694e+09
2.643956e+00 2.581425e+09 3.125525e+09
2.688032e+00 2.519772e+09 3.052834e+09
2.732844e+00 2.459520e+09 2.981411e+09
2.778403e+00 2.400669e+09 2.910643e+09
2.824721e+00 2.343427e+09 2.840674e+09
2.871811e+00 2.287504e+09 2.774839e+09
2.919687e+00 2.232760e+09 2.708674e+09
2.968360e+00 2.179221e+09 2.643770e+09
3.017845e+00 2.126876e+09 2.581298e+09
3.068155e+00 2.075717e+09 2.519459e+09
3.119304e+00 2.025698e+09 2.458816e+09
3.171305e+00 1.975778e+09 2.399103e+09
3.224173e+00 1.926381e+09 2.341728e+09
3.277923e+00 1.879464e+09 2.285624e+09
3.332568e+00 1.833318e+09 2.231255e+09
3.388125e+00 1.787812e+09 2.177953e+09
3.444608e+00 1.743781e+09 2.124551e+09
3.502032e+00 1.700860e+09 2.074125e+09
3.560414e+00 1.658817e+09 2.024182e+09
3.619769e+00 1.618640e+09 1.973263e+09
3.680113e+00 1.579243e+09 1.923920e+09
3.741463e+00 1.540671e+09 1.877124e+09
3.803837e+00 1.502901e+09 1.831215e+09
3.867250e+00 1.465553e+09 1.786951e+09
3.931720e+00 1.428524e+09 1.743543e+09
3.997265e+00 1.392786e+09 1.700854e+09
4.063902e+00 1.357809e+09 1.658723e+09
4.131651e+00 1.323753e+09 1.617264e+09
4.200529e+00 1.290504e+09 1.576566e+09
4.270555e+00 1.258466e+09 1.536737e+09
4.341748e+00 1.227349e+09 1.498181e+09
4.414129e+00 1.196979e+09 1.461806e+09
4.487716e+00 1.167307e+09 1.426391e+09
4.562530e+00 1.137444e+09 1.391476e+09
4.638591e+00 1.108841e+09 1.357025e+09
4.715920e+00 1.080483e+09 1.323741e+09
4.794538e+00 1.052949e+09 1.290747e+09
4.874467e+00 1.026083e+09 1.257928e+09
4.955728e+00 1.000129e+09 1.226430e+09
5.038344e+00 9.749064e+08 1.194710e+09
5.122337e+00 9.501475e+08 1.164021e+09
5.207731e+00 9.259197e+08 1.134456e+09
5.294548e+00 9.018161e+08 1.104991e+09
5.382812e+00 8.782826e+08 1.076063e+09
5.472548e+00 8.549641e+08 1.048898e+09
5.563780e+00 8.326646e+08 1.022553e+09
5.656532e+00 8.110299e+08 9.966904e+08
5.750831e+00 7.896782e+08 9.712434e+08
5.846702e+00 7.689188e+08 9.459448e+08
5.944171e+00 7.488542e+08 9.212381e+08
6.043265e+00 7.291087e+08 8.973996e+08
6.144012e+00 7.097288e+08 8.738973e+08
6.246437e+00 6.908595e+08 8.510130e+08
6.350570e+00 6.724266e+08 8.282030e+08
6.456439e+00 6.542860e+08 8.060212e+08
6.564073e+00 6.366895e+08 7.840507e+08
6.673502e+00 6.195871e+08 7.627740e+08
6.784754e+00 6.032079e+08 7.419741e+08
6.897862e+00 5.870497e+08 7.220990e+08
7.012854e+00 5.713540e+08 7.018708e+08
7.129764e+00 5.560284e+08 6.825205e+08
7.248623e+00 5.409378e+08 6.636607e+08
7.369464e+00 5.262860e+08 6.455529e+08
7.492318e+00 5.120849e+08 6.276199e+08
7.617221e+00 4.980589e+08 6.104231e+08
7.744207e+00 4.840131e+08 5.936121e+08
7.873309e+00 4.706435e+08 5.770465e+08
8.004563e+00 4.575965e+08 5.604868e+08
8.138006e+00 4.446124e+08 5.448874e+08
8.273673e+00 4.323912e+08 5.297662e+08
8.411601e+00 4.204911e+08 5.150575e+08
8.551830e+00 4.086885e+08 5.005394e+08
8.694395e+00 3.971249e+08 4.865876e+08
8.839338e+00 3.855488e+08 4.725846e+08
8.986697e+00 3.746849e+08 4.588152e+08
9.136512e+00 3.639149e+08 4.456884e+08
9.288825e+00 3.534789e+08 4.326593e+08
9.443677e+00 3.431466e+08 4.199274e+08
9.601111e+00 3.329316e+08 4.074372e+08
9.761169e+00 3.230777e+08 3.953809e+08
9.923896e+00 3.134336e+08 3.834922e+08
1.008933e+01 3.041549e+08 3.719639e+08
1.025753e+01 2.951087e+08 3.605973e+08
1.042853e+01 2.863077e+08 3.494461e+08
1.060239e+01 2.773960e+08 3.386581e+08
1.077914e+01 2.689471e+08 3.283219e+08
1.095883e+01 2.607096e+08 3.183315e+08
1.114153e+01 2.526910e+08 3.087004e+08
1.132726e+01 2.447375e+08 2.991798e+08
