# Energy(MeV) Phi16_Planar Phi84_Planar
4.433802e-01 7.527204e+09 8.878550e+09
4.507717e-01 7.365498e+09 8.681047e+09
4.582864e-01 7.208462e+09 8.492411e+09
4.659264e-01 7.056285e+09 8.302379e+09
4.736938e-01 6.906682e+09 8.120876e+09
4.815906e-01 6.758352e+09 7.946264e+09
4.896191e-01 6.614842e+09 7.770036e+09
4.977815e-01 6.474367e+09 7.601650e+09
5.060799e-01 6.336554e+09 7.437192e+09
5.145167e-01 6.199956e+09 7.273860e+09
5.230941e-01 6.067490e+09 7.115490e+09
5.318145e-01 5.937224e+09 6.960656e+09
5.406802e-01 5.808101e+09 6.807533e+09
5.496938e-01 5.679843e+09 6.656241e+09
5.588576e-01 5.552509e+09 6.509054e+09
5.681742e-01 5.430892e+09 6.366077e+09
5.776462e-01 5.310108e+09 6.224559e+09
5.872760e-01 5.191701e+09 6.083843e+09
5.970663e-01 5.082927e+09 5.948413e+09
6.070199e-01 4.977268e+09 5.815516e+09
6.171394e-01 4.867483e+09 5.688879e+09
6.274276e-01 4.767599e+09 5.565598e+09
6.378874e-01 4.666142e+09 5.443462e+09
6.485214e-01 4.564618e+09 5.324584e+09
6.593328e-01 4.465006e+09 5.209808e+09
6.703244e-01 4.366881e+09 5.098696e+09
6.814993e-01 4.270527e+09 4.990414e+09
6.928604e-01 4.179442e+09 4.880934e+09
7.044109e-01 4.087924e+09 4.774064e+09
7.161540e-01 3.999702e+09 4.669155e+09
7.280929e-01 3.910889e+09 4.569287e+09
7.402308e-01 3.822638e+09 4.466782e+09
7.525710e-01 3.739172e+09 4.370860e+09
7.651170e-01 3.658207e+09 4.275613e+09
7.778721e-01 3.578570e+09 4.181242e+09
7.908399e-01 3.498038e+09 4.089122e+09
8.040238e-01 3.420700e+09 3.997828e+09
8.174275e-01 3.344925e+09 3.910101e+09
8.310547e-01 3.270941e+09 3.823932e+09
8.449090e-01 3.198752e+09 3.739523e+09
8.589943e-01 3.126579e+09 3.658294e+09
8.733145e-01 3.056377e+09 3.579202e+09
8.878733e-01 2.988676e+09 3.501666e+09
9.026749e-01 2.918869e+09 3.425254e+09
9.177232e-01 2.854059e+09 3.349620e+09
9.330224e-01 2.789733e+09 3.277237e+09
9.485766e-01 2.728147e+09 3.204768e+09
9.643901e-01 2.668549e+09 3.134109e+09
9.804673e-01 2.609718e+09 3.066351e+09
9.968125e-01 2.553342e+09 3.000460e+09
1.013430e+00 2.497984e+09 2.934218e+09
1.030325e+00 2.442852e+09 2.869589e+09
1.047501e+00 2.387650e+09 2.806138e+09
1.064964e+00 2.334192e+09 2.744043e+09
1.082718e+00 2.282534e+09 2.683367e+09
1.100767e+00 2.230332e+09 2.624249e+09
1.119118e+00 2.179697e+09 2.565777e+09
1.137775e+00 2.130273e+09 2.508098e+09
1.156742e+00 2.081555e+09 2.452489e+09
1.176026e+00 2.033845e+09 2.398138e+09
1.195631e+00 1.987999e+09 2.344943e+09
1.215564e+00 1.942071e+09 2.293057e+09
1.235828e+00 1.897814e+09 2.242059e+09
1.256430e+00 1.854214e+09 2.192412e+09
1.277376e+00 1.812323e+09 2.144646e+09
1.298671e+00 1.771074e+09 2.096831e+09
1.320321e+00 1.731491e+09 2.051037e+09
1.342331e+00 1.692191e+09 2.005918e+09
1.364709e+00 1.653252e+09 1.960136e+09
1.387460e+00 1.615766e+09 1.914917e+09
1.410590e+00 1.578783e+09 1.871642e+09
1.434106e+00 1.542969e+09 1.829810e+09
1.458013e+00 1.508107e+09 1.788554e+09
1.482320e+00 1.473062e+09 1.749385e+09
1.507031e+00 1.439555e+09 1.709765e+09
1.532155e+00 1.407277e+09 1.670986e+09
1.557697e+00 1.375462e+09 1.634592e+09
1.583665e+00 1.343679e+09 1.598962e+09
1.610066e+00 1.312742e+09 1.563631e+09
1.636907e+00 1.282490e+09 1.528783e+09
1.664195e+00 1.252970e+09 1.493693e+09
1.691939e+00 1.224212e+09 1.459232e+09
1.720145e+00 1.196772e+09 1.426131e+09
1.748821e+00 1.169241e+09 1.394242e+09
1.777975e+00 1.142396e+09 1.362649e+09
