# Energy(MeV) Fluence_16th Fluence_84th
3.960522e+00 3.122695e+08 5.285352e+08
4.093900e+00 2.857878e+08 4.830807e+08
4.231769e+00 2.615203e+08 4.433248e+08
4.374280e+00 2.389832e+08 4.049052e+08
4.521592e+00 2.186766e+08 3.702990e+08
4.673864e+00 2.003905e+08 3.385916e+08
4.831264e+00 1.830620e+08 3.096226e+08
4.993965e+00 1.677493e+08 2.829814e+08
5.162145e+00 1.535659e+08 2.585942e+08
5.335989e+00 1.408413e+08 2.364771e+08
5.515687e+00 1.287401e+08 2.163411e+08
5.701437e+00 1.177419e+08 1.981281e+08
5.893443e+00 1.077488e+08 1.814392e+08
6.091914e+00 9.855433e+07 1.659388e+08
6.297070e+00 9.016845e+07 1.521258e+08
6.509134e+00 8.234965e+07 1.389834e+08
6.728340e+00 7.518500e+07 1.273347e+08
6.954928e+00 6.858896e+07 1.164171e+08
7.189147e+00 6.262511e+07 1.066366e+08
7.431253e+00 5.726573e+07 9.766537e+07
7.681513e+00 5.236467e+07 8.918652e+07
7.940201e+00 4.788271e+07 8.166499e+07
8.207601e+00 4.381766e+07 7.471293e+07
8.484005e+00 4.013999e+07 6.840503e+07
8.769719e+00 3.668231e+07 6.256907e+07
9.065053e+00 3.350204e+07 5.725718e+07
9.370334e+00 3.064513e+07 5.237624e+07
9.685896e+00 2.806598e+07 4.790483e+07
1.001208e+01 2.563946e+07 4.383272e+07
1.034926e+01 2.345475e+07 4.005657e+07
1.069779e+01 2.142351e+07 3.663788e+07
1.105805e+01 1.958290e+07 3.352821e+07
1.143045e+01 1.790312e+07 3.068943e+07
1.181539e+01 1.636707e+07 2.807031e+07
1.221329e+01 1.488117e+07 2.568958e+07
1.262460e+01 1.364174e+07 2.349819e+07
1.304975e+01 1.244902e+07 2.152478e+07
1.348922e+01 1.139325e+07 1.968491e+07
1.394350e+01 1.042369e+07 1.801396e+07
1.441307e+01 9.562821e+06 1.648062e+07
1.489845e+01 8.732395e+06 1.507427e+07
1.540018e+01 7.991172e+06 1.379645e+07
1.591881e+01 7.312705e+06 1.261672e+07
1.645490e+01 6.690482e+06 1.155954e+07
1.700905e+01 6.117739e+06 1.056656e+07
1.758185e+01 5.599901e+06 9.660005e+06
1.817395e+01 5.126795e+06 8.837965e+06
1.878599e+01 4.693297e+06 8.084197e+06
1.941864e+01 4.292729e+06 7.404191e+06
2.007260e+01 3.919676e+06 6.776379e+06
2.074857e+01 3.582297e+06 6.202471e+06
2.144732e+01 3.270266e+06 5.676935e+06
2.216959e+01 2.986766e+06 5.187318e+06
2.291619e+01 2.734157e+06 4.738527e+06
2.368793e+01 2.497249e+06 4.339310e+06
2.448566e+01 2.283869e+06 3.966082e+06
2.531026e+01 2.083521e+06 3.633642e+06
2.616262e+01 1.898756e+06 3.323042e+06
2.704369e+01 1.730580e+06 3.038679e+06
2.795443e+01 1.580688e+06 2.775913e+06
2.889585e+01 1.441428e+06 2.537566e+06
2.986896e+01 1.322008e+06 2.318293e+06
3.087485e+01 1.203630e+06 2.122711e+06
