# Energy(MeV) Fluence_Omni
3.865221e+00 7.025382e+08
3.937226e+00 6.783941e+08
4.010573e+00 6.554845e+08
4.085286e+00 6.328415e+08
4.161391e+00 6.114976e+08
4.238913e+00 5.905443e+08
4.317880e+00 5.705141e+08
4.398317e+00 5.510403e+08
4.480254e+00 5.322512e+08
4.563716e+00 5.141567e+08
4.648734e+00 4.968839e+08
4.735335e+00 4.801926e+08
4.823549e+00 4.637834e+08
4.913407e+00 4.476835e+08
5.004939e+00 4.324484e+08
5.098176e+00 4.178368e+08
5.193150e+00 4.037978e+08
5.289893e+00 3.900179e+08
5.388438e+00 3.766707e+08
5.488820e+00 3.639683e+08
5.591071e+00 3.514526e+08
5.695227e+00 3.394086e+08
5.801323e+00 3.277354e+08
5.909396e+00 3.166639e+08
6.019482e+00 3.063212e+08
6.131619e+00 2.961642e+08
6.245845e+00 2.859215e+08
6.362198e+00 2.765393e+08
6.480720e+00 2.673654e+08
6.601449e+00 2.582527e+08
6.724427e+00 2.493636e+08
6.849697e+00 2.410747e+08
6.977300e+00 2.327885e+08
7.107280e+00 2.249561e+08
7.239681e+00 2.174006e+08
7.374549e+00 2.101319e+08
7.511929e+00 2.027798e+08
7.651869e+00 1.962394e+08
7.794416e+00 1.895964e+08
7.939618e+00 1.830645e+08
8.087525e+00 1.771265e+08
8.238187e+00 1.710524e+08
8.391656e+00 1.654894e+08
8.547985e+00 1.599051e+08
8.707225e+00 1.546307e+08
8.869432e+00 1.494414e+08
9.034660e+00 1.443446e+08
9.202967e+00 1.394184e+08
9.374409e+00 1.347758e+08
9.549045e+00 1.303124e+08
9.726934e+00 1.259336e+08
9.908137e+00 1.217700e+08
1.009272e+01 1.178150e+08
1.028073e+01 1.138379e+08
1.047225e+01 1.100144e+08
1.066734e+01 1.063177e+08
1.086606e+01 1.027688e+08
1.106848e+01 9.928077e+07
1.127468e+01 9.599034e+07
1.148472e+01 9.279034e+07
1.169866e+01 8.977688e+07
1.191660e+01 8.678977e+07
1.213859e+01 8.380941e+07
1.236472e+01 8.095145e+07
1.259506e+01 7.818949e+07
1.282970e+01 7.560017e+07
1.306870e+01 7.309026e+07
1.331216e+01 7.072661e+07
1.356015e+01 6.833766e+07
1.381276e+01 6.610212e+07
1.407008e+01 6.394731e+07
1.433219e+01 6.183493e+07
1.459919e+01 5.978319e+07
1.487115e+01 5.781307e+07
1.514819e+01 5.591139e+07
1.543038e+01 5.407536e+07
1.571784e+01 5.234741e+07
1.601064e+01 5.062183e+07
1.630891e+01 4.892331e+07
1.661273e+01 4.728657e+07
1.692220e+01 4.573577e+07
1.723745e+01 4.421526e+07
1.755856e+01 4.273008e+07
1.788566e+01 4.129669e+07
1.821885e+01 3.998864e+07
1.855825e+01 3.867476e+07
1.890397e+01 3.738849e+07
1.925614e+01 3.617558e+07
1.961486e+01 3.497790e+07
1.998026e+01 3.379960e+07
2.035248e+01 3.268298e+07
2.073162e+01 3.156223e+07
2.111783e+01 3.052030e+07
2.151123e+01 2.948726e+07
2.191197e+01 2.848971e+07
2.232016e+01 2.753615e+07
2.273597e+01 2.662497e+07
2.315951e+01 2.574079e+07
2.359095e+01 2.488988e+07
2.403043e+01 2.407775e+07
2.447809e+01 2.328411e+07
2.493409e+01 2.250559e+07
2.539859e+01 2.175419e+07
2.587174e+01 2.107030e+07
2.635371e+01 2.037542e+07
2.684465e+01 1.970466e+07
2.734474e+01 1.905872e+07
2.785414e+01 1.843513e+07
2.837304e+01 1.782607e+07
2.890160e+01 1.724427e+07
2.944000e+01 1.668004e+07
2.998844e+01 1.611954e+07
3.054710e+01 1.557933e+07
3.111616e+01 1.505639e+07
3.169582e+01 1.456157e+07
3.228628e+01 1.406272e+07
3.288774e+01 1.361027e+07
3.350041e+01 1.316331e+07
3.412449e+01 1.271676e+07
3.476019e+01 1.229816e+07
3.540774e+01 1.188477e+07
3.606735e+01 1.148873e+07
3.673925e+01 1.111275e+07
3.742366e+01 1.076184e+07
3.812083e+01 1.042394e+07
3.883098e+01 1.007822e+07
3.955436e+01 9.735290e+06
4.029122e+01 9.404066e+06
4.104181e+01 9.090526e+06
4.180637e+01 8.790854e+06
4.258518e+01 8.505838e+06
4.337850e+01 8.223335e+06
4.418660e+01 7.947042e+06
4.500975e+01 7.681173e+06
4.584824e+01 7.425752e+06
4.670234e+01 7.183143e+06
4.757236e+01 6.945299e+06
4.845859e+01 6.713612e+06
4.936132e+01 6.493348e+06
5.028087e+01 6.286326e+06
5.121755e+01 6.073975e+06
5.217169e+01 5.868953e+06
5.314359e+01 5.672918e+06
5.413360e+01 5.485723e+06
5.514206e+01 5.304380e+06
5.616930e+01 5.126105e+06
5.721568e+01 4.953840e+06
5.828155e+01 4.791366e+06
5.936727e+01 4.631432e+06
6.047322e+01 4.474949e+06
6.159978e+01 4.325620e+06
6.274732e+01 4.181436e+06
6.391624e+01 4.047436e+06
6.510694e+01 3.912353e+06
6.631981e+01 3.785438e+06
6.755528e+01 3.661384e+06
6.881377e+01 3.542786e+06
7.009570e+01 3.428275e+06
