# Energy(MeV) Phi16_Planare Phi84_Planare
8.377167e+00 2.428953e+08 2.603293e+08
8.487041e+00 2.379661e+08 2.551421e+08
8.598357e+00 2.332091e+08 2.499893e+08
8.711132e+00 2.285214e+08 2.449272e+08
8.825386e+00 2.237920e+08 2.400310e+08
8.941139e+00 2.191782e+08 2.351921e+08
9.058410e+00 2.146479e+08 2.304723e+08
9.177220e+00 2.101611e+08 2.258451e+08
9.297587e+00 2.057359e+08 2.213519e+08
9.419534e+00 2.014679e+08 2.168168e+08
9.543079e+00 1.972808e+08 2.124094e+08
9.668246e+00 1.931301e+08 2.081149e+08
9.795053e+00 1.890825e+08 2.037600e+08
9.923524e+00 1.850489e+08 1.995095e+08
1.005368e+01 1.812059e+08 1.954009e+08
1.018554e+01 1.774039e+08 1.913450e+08
1.031914e+01 1.736172e+08 1.873016e+08
1.045448e+01 1.699197e+08 1.833475e+08
1.059160e+01 1.662997e+08 1.794604e+08
1.073052e+01 1.627463e+08 1.756574e+08
1.087126e+01 1.592252e+08 1.719310e+08
1.101385e+01 1.557510e+08 1.682962e+08
1.115830e+01 1.524197e+08 1.647642e+08
1.130465e+01 1.490696e+08 1.612559e+08
1.145293e+01 1.458144e+08 1.577575e+08
1.160314e+01 1.426419e+08 1.543543e+08
1.175533e+01 1.394786e+08 1.510548e+08
1.190951e+01 1.363690e+08 1.478241e+08
1.206571e+01 1.332532e+08 1.446317e+08
1.222397e+01 1.302639e+08 1.414748e+08
1.238429e+01 1.273609e+08 1.384087e+08
1.254673e+01 1.244968e+08 1.354054e+08
1.271129e+01 1.216849e+08 1.324136e+08
1.287801e+01 1.189551e+08 1.294681e+08
1.304691e+01 1.161883e+08 1.266147e+08
1.321804e+01 1.135166e+08 1.238126e+08
1.339140e+01 1.109360e+08 1.210382e+08
1.356704e+01 1.083473e+08 1.183479e+08
1.374499e+01 1.058120e+08 1.157009e+08
1.392527e+01 1.033475e+08 1.130590e+08
1.410791e+01 1.009103e+08 1.104930e+08
1.429295e+01 9.853122e+07 1.079655e+08
1.448041e+01 9.624089e+07 1.054821e+08
1.467033e+01 9.396060e+07 1.030275e+08
1.486275e+01 9.177907e+07 1.006643e+08
1.505769e+01 8.957799e+07 9.834192e+07
1.525518e+01 8.742363e+07 9.603106e+07
1.545527e+01 8.533808e+07 9.378141e+07
1.565798e+01 8.327519e+07 9.157878e+07
1.586335e+01 8.127610e+07 8.939390e+07
1.607141e+01 7.933229e+07 8.725000e+07
1.628220e+01 7.737648e+07 8.514481e+07
1.649576e+01 7.547526e+07 8.309502e+07
1.671211e+01 7.361638e+07 8.109460e+07
