# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.979703e+01 2.210271e+08
2.005669e+01 2.152983e+08
2.031975e+01 2.095966e+08
2.058626e+01 2.040409e+08
2.085627e+01 1.985305e+08
2.112982e+01 1.932019e+08
2.140696e+01 1.879487e+08
2.168773e+01 1.828731e+08
2.197218e+01 1.779340e+08
2.226037e+01 1.730092e+08
2.255233e+01 1.682190e+08
2.284813e+01 1.635590e+08
2.314780e+01 1.589885e+08
2.345141e+01 1.545269e+08
2.375899e+01 1.501368e+08
2.407061e+01 1.459101e+08
2.438632e+01 1.417515e+08
2.470617e+01 1.376824e+08
2.503022e+01 1.337027e+08
2.535851e+01 1.298088e+08
2.569111e+01 1.260419e+08
2.602807e+01 1.223036e+08
2.636945e+01 1.186856e+08
2.671531e+01 1.151134e+08
2.706571e+01 1.116880e+08
2.742070e+01 1.083472e+08
2.778035e+01 1.050503e+08
2.814471e+01 1.018057e+08
2.851386e+01 9.868142e+07
2.888784e+01 9.563099e+07
2.926673e+01 9.264744e+07
2.965059e+01 8.973684e+07
3.003948e+01 8.691522e+07
3.043348e+01 8.416377e+07
3.083264e+01 8.147589e+07
3.123704e+01 7.885601e+07
3.164674e+01 7.628983e+07
3.206182e+01 7.379624e+07
3.248234e+01 7.138988e+07
3.290837e+01 6.903241e+07
3.334000e+01 6.672644e+07
3.377728e+01 6.449540e+07
3.422030e+01 6.234309e+07
3.466913e+01 6.024791e+07
3.512385e+01 5.820894e+07
3.558453e+01 5.622830e+07
3.605125e+01 5.427902e+07
3.652410e+01 5.237828e+07
3.700315e+01 5.054892e+07
3.748848e+01 4.876982e+07
3.798017e+01 4.702193e+07
3.847832e+01 4.533570e+07
3.898299e+01 4.369283e+07
3.949429e+01 4.210668e+07
4.001230e+01 4.057571e+07
4.053709e+01 3.908015e+07
4.106877e+01 3.761826e+07
4.160743e+01 3.622274e+07
4.215315e+01 3.484619e+07
4.270602e+01 3.353162e+07
4.326615e+01 3.224422e+07
4.383363e+01 3.100084e+07
4.440855e+01 2.981078e+07
4.499100e+01 2.865500e+07
4.558110e+01 2.754032e+07
4.617894e+01 2.647399e+07
4.678462e+01 2.543393e+07
4.739824e+01 2.443576e+07
4.801991e+01 2.346302e+07
4.864974e+01 2.251088e+07
4.928782e+01 2.158862e+07
4.993428e+01 2.071385e+07
5.058921e+01 1.985213e+07
5.125274e+01 1.903197e+07
5.192496e+01 1.824305e+07
5.260600e+01 1.748323e+07
5.329598e+01 1.675126e+07
5.399501e+01 1.605001e+07
5.470320e+01 1.536477e+07
5.542068e+01 1.470566e+07
5.614757e+01 1.407025e+07
5.688400e+01 1.345311e+07
5.763009e+01 1.286259e+07
5.838596e+01 1.229664e+07
5.915174e+01 1.175045e+07
5.992757e+01 1.122921e+07
