# Energy(MeV) Phi16_Sferica Phi84_Sferica
8.377167e+00 9.715813e+08 1.041317e+09
8.487041e+00 9.518644e+08 1.020569e+09
8.598357e+00 9.328364e+08 9.999572e+08
8.711132e+00 9.140857e+08 9.797086e+08
8.825386e+00 8.951678e+08 9.601238e+08
8.941139e+00 8.767127e+08 9.407683e+08
9.058410e+00 8.585916e+08 9.218891e+08
9.177220e+00 8.406445e+08 9.033805e+08
9.297587e+00 8.229435e+08 8.854078e+08
9.419534e+00 8.058717e+08 8.672673e+08
9.543079e+00 7.891232e+08 8.496377e+08
9.668246e+00 7.725203e+08 8.324594e+08
9.795053e+00 7.563299e+08 8.150400e+08
9.923524e+00 7.401954e+08 7.980379e+08
1.005368e+01 7.248236e+08 7.816035e+08
1.018554e+01 7.096158e+08 7.653800e+08
1.031914e+01 6.944689e+08 7.492064e+08
1.045448e+01 6.796787e+08 7.333901e+08
1.059160e+01 6.651988e+08 7.178416e+08
1.073052e+01 6.509851e+08 7.026295e+08
1.087126e+01 6.369009e+08 6.877241e+08
1.101385e+01 6.230039e+08 6.731847e+08
1.115830e+01 6.096787e+08 6.590569e+08
1.130465e+01 5.962783e+08 6.450238e+08
1.145293e+01 5.832576e+08 6.310301e+08
1.160314e+01 5.705675e+08 6.174171e+08
1.175533e+01 5.579142e+08 6.042193e+08
1.190951e+01 5.454758e+08 5.912964e+08
1.206571e+01 5.330129e+08 5.785270e+08
1.222397e+01 5.210557e+08 5.658991e+08
1.238429e+01 5.094436e+08 5.536348e+08
1.254673e+01 4.979873e+08 5.416216e+08
1.271129e+01 4.867397e+08 5.296542e+08
1.287801e+01 4.758204e+08 5.178726e+08
1.304691e+01 4.647531e+08 5.064587e+08
1.321804e+01 4.540662e+08 4.952503e+08
1.339140e+01 4.437440e+08 4.841526e+08
1.356704e+01 4.333894e+08 4.733914e+08
1.374499e+01 4.232478e+08 4.628037e+08
1.392527e+01 4.133899e+08 4.522362e+08
1.410791e+01 4.036412e+08 4.419722e+08
1.429295e+01 3.941249e+08 4.318620e+08
1.448041e+01 3.849636e+08 4.219284e+08
1.467033e+01 3.758424e+08 4.121102e+08
1.486275e+01 3.671163e+08 4.026571e+08
1.505769e+01 3.583120e+08 3.933677e+08
1.525518e+01 3.496945e+08 3.841242e+08
1.545527e+01 3.413523e+08 3.751257e+08
1.565798e+01 3.331008e+08 3.663151e+08
1.586335e+01 3.251044e+08 3.575756e+08
1.607141e+01 3.173292e+08 3.490000e+08
1.628220e+01 3.095059e+08 3.405793e+08
1.649576e+01 3.019010e+08 3.323801e+08
1.671211e+01 2.944655e+08 3.243784e+08
1.693131e+01 2.871467e+08 3.164744e+08
1.715338e+01 2.800278e+08 3.087833e+08
1.737836e+01 2.730783e+08 3.012706e+08
1.760629e+01 2.663155e+08 2.939077e+08
1.783722e+01 2.596075e+08 2.866587e+08
1.807117e+01 2.529744e+08 2.795434e+08
1.830819e+01 2.465503e+08 2.725179e+08
1.854831e+01 2.402129e+08 2.655769e+08
1.879159e+01 2.340340e+08 2.588202e+08
1.903806e+01 2.279361e+08 2.522585e+08
1.928776e+01 2.220761e+08 2.457854e+08
1.954074e+01 2.162243e+08 2.394583e+08
1.979703e+01 2.104983e+08 2.332961e+08
2.005669e+01 2.049371e+08 2.273539e+08
2.031975e+01 1.994958e+08 2.214706e+08
2.058626e+01 1.941132e+08 2.156146e+08
2.085627e+01 1.889053e+08 2.099916e+08
2.112982e+01 1.838687e+08 2.043998e+08
2.140696e+01 1.789665e+08 1.989257e+08
2.168773e+01 1.740324e+08 1.935738e+08
2.197218e+01 1.692307e+08 1.883559e+08
2.226037e+01 1.646487e+08 1.831899e+08
2.255233e+01 1.601538e+08 1.781338e+08
2.284813e+01 1.556139e+08 1.732057e+08
2.314780e+01 1.512638e+08 1.684102e+08
2.345141e+01 1.469488e+08 1.637834e+08
2.375899e+01 1.428081e+08 1.592544e+08
2.407061e+01 1.387370e+08 1.547807e+08
2.438632e+01 1.348415e+08 1.504610e+08
2.470617e+01 1.308645e+08 1.461650e+08
2.503022e+01 1.270852e+08 1.420266e+08
2.535851e+01 1.234303e+08 1.379569e+08
2.569111e+01 1.197961e+08 1.339684e+08
2.602807e+01 1.162160e+08 1.301124e+08
2.636945e+01 1.127719e+08 1.262660e+08
2.671531e+01 1.093658e+08 1.225700e+08
2.706571e+01 1.060970e+08 1.189265e+08
2.742070e+01 1.029354e+08 1.153452e+08
2.778035e+01 9.975963e+07 1.119181e+08
2.814471e+01 9.672084e+07 1.085719e+08
2.851386e+01 9.374782e+07 1.052540e+08
2.888784e+01 9.084006e+07 1.020085e+08
2.926673e+01 8.802805e+07 9.888018e+07
2.965059e+01 8.528312e+07 9.584324e+07
3.003948e+01 8.261526e+07 9.285969e+07
3.043348e+01 8.002082e+07 8.994919e+07
3.083264e+01 7.748907e+07 8.711143e+07
3.123704e+01 7.497660e+07 8.434458e+07
3.164674e+01 7.257892e+07 8.163394e+07
3.206182e+01 7.024525e+07 7.900043e+07
3.248234e+01 6.793090e+07 7.644501e+07
3.290837e+01 6.569530e+07 7.395942e+07
3.334000e+01 6.348991e+07 7.154380e+07
3.377728e+01 6.135828e+07 6.920483e+07
3.422030e+01 5.928406e+07 6.692735e+07
3.466913e+01 5.723991e+07 6.471946e+07
3.512385e+01 5.527004e+07 6.252797e+07
3.558453e+01 5.336090e+07 6.041265e+07
3.605125e+01 5.150822e+07 5.835096e+07
3.652410e+01 4.970614e+07 5.635493e+07
3.700315e+01 4.795013e+07 5.439837e+07
3.748848e+01 4.627699e+07 5.251306e+07
3.798017e+01 4.462610e+07 5.067953e+07
3.847832e+01 4.303733e+07 4.889318e+07
3.898299e+01 4.146160e+07 4.713381e+07
3.949429e+01 3.992252e+07 4.545777e+07
4.001230e+01 3.842675e+07 4.381790e+07
4.053709e+01 3.701371e+07 4.224629e+07
4.106877e+01 3.563538e+07 4.073005e+07
4.160743e+01 3.425616e+07 3.926185e+07
4.215315e+01 3.295869e+07 3.781322e+07
4.270602e+01 3.172409e+07 3.639984e+07
4.326615e+01 3.050305e+07 3.502827e+07
4.383363e+01 2.930666e+07 3.371646e+07
4.440855e+01 2.814942e+07 3.244926e+07
4.499100e+01 2.703247e+07 3.121597e+07
4.558110e+01 2.596699e+07 3.004464e+07
4.617894e+01 2.496233e+07 2.892088e+07
4.678462e+01 2.395467e+07 2.782103e+07
4.739824e+01 2.298726e+07 2.671695e+07
4.801991e+01 2.205485e+07 2.568876e+07
4.864974e+01 2.113784e+07 2.471226e+07
4.928782e+01 2.025831e+07 2.377572e+07
