Energy(MeV) Phi_16 Phi_84
6.217090e+00 5.995861e+08 8.034341e+08
6.303753e+00 5.878694e+08 7.882570e+08
6.391624e+00 5.764777e+08 7.730377e+08
6.480720e+00 5.650550e+08 7.579584e+08
6.571058e+00 5.539624e+08 7.433075e+08
6.662655e+00 5.433139e+08 7.289239e+08
6.755528e+00 5.327457e+08 7.148642e+08
6.849697e+00 5.220385e+08 7.012648e+08
6.945178e+00 5.115733e+08 6.878373e+08
7.041990e+00 5.013429e+08 6.746534e+08
7.140151e+00 4.912617e+08 6.614895e+08
7.239681e+00 4.812041e+08 6.477191e+08
7.340598e+00 4.715075e+08 6.340808e+08
7.442922e+00 4.620885e+08 6.212538e+08
7.546673e+00 4.528874e+08 6.092691e+08
7.651869e+00 4.439393e+08 5.972068e+08
7.758532e+00 4.349356e+08 5.850995e+08
7.866682e+00 4.262704e+08 5.729192e+08
7.976339e+00 4.175697e+08 5.616420e+08
8.087525e+00 4.090594e+08 5.499085e+08
8.200261e+00 4.007612e+08 5.393814e+08
8.314568e+00 3.926027e+08 5.285067e+08
8.430468e+00 3.845808e+08 5.173901e+08
8.547985e+00 3.767226e+08 5.065889e+08
8.667139e+00 3.690454e+08 4.958716e+08
8.787954e+00 3.614953e+08 4.853660e+08
8.910453e+00 3.540705e+08 4.750505e+08
9.034660e+00 3.464827e+08 4.648098e+08
9.160598e+00 3.391158e+08 4.547740e+08
9.288292e+00 3.319884e+08 4.451355e+08
9.417766e+00 3.249953e+08 4.355349e+08
9.549045e+00 3.181246e+08 4.261397e+08
9.682153e+00 3.114249e+08 4.169335e+08
9.817117e+00 3.048490e+08 4.078951e+08
9.953962e+00 2.982778e+08 3.990696e+08
1.009272e+01 2.918815e+08 3.903291e+08
1.023340e+01 2.854510e+08 3.815595e+08
1.037605e+01 2.794629e+08 3.730732e+08
1.052069e+01 2.735423e+08 3.646718e+08
1.066734e+01 2.672832e+08 3.564488e+08
1.081604e+01 2.613286e+08 3.484571e+08
1.096681e+01 2.555296e+08 3.407155e+08
1.111968e+01 2.495952e+08 3.331997e+08
1.127468e+01 2.436801e+08 3.255206e+08
1.143184e+01 2.379170e+08 3.180952e+08
1.159120e+01 2.323139e+08 3.107332e+08
1.175277e+01 2.270873e+08 3.032154e+08
1.191660e+01 2.220389e+08 2.961304e+08
1.208271e+01 2.171377e+08 2.891451e+08
1.225114e+01 2.117962e+08 2.822648e+08
1.242191e+01 2.065983e+08 2.754610e+08
1.259506e+01 2.015572e+08 2.689638e+08
1.277063e+01 1.968623e+08 2.622286e+08
1.294865e+01 1.920974e+08 2.561900e+08
1.312915e+01 1.868530e+08 2.501693e+08
1.331216e+01 1.823735e+08 2.442577e+08
1.349772e+01 1.781086e+08 2.383832e+08
1.368587e+01 1.738232e+08 2.327707e+08
1.387665e+01 1.694970e+08 2.272107e+08
1.407008e+01 1.653850e+08 2.214498e+08
1.426621e+01 1.613540e+08 2.161148e+08
1.446507e+01 1.574092e+08 2.108494e+08
1.466671e+01 1.534650e+08 2.055022e+08
1.487115e+01 1.495739e+08 2.002592e+08
1.507845e+01 1.459116e+08 1.950609e+08
1.528864e+01 1.422886e+08 1.902158e+08
1.550175e+01 1.387456e+08 1.852270e+08
1.571784e+01 1.352209e+08 1.801934e+08
1.593694e+01 1.317760e+08 1.754205e+08
1.615909e+01 1.283250e+08 1.707455e+08
1.638434e+01 1.250187e+08 1.662556e+08
1.661273e+01 1.217873e+08 1.618562e+08
1.684430e+01 1.185037e+08 1.576126e+08
1.707910e+01 1.153142e+08 1.533517e+08
1.731717e+01 1.120433e+08 1.490498e+08
1.755856e+01 1.089492e+08 1.448767e+08
1.780332e+01 1.059167e+08 1.410174e+08
1.805149e+01 1.029159e+08 1.369823e+08
1.830312e+01 1.001312e+08 1.330421e+08
1.855825e+01 9.737522e+07 1.293997e+08
1.881694e+01 9.476944e+07 1.256597e+08
1.907924e+01 9.206662e+07 1.221480e+08
1.934520e+01 8.924462e+07 1.186995e+08
1.961486e+01 8.654961e+07 1.153277e+08
1.988828e+01 8.412410e+07 1.119820e+08
