Energy(MeV) Phi_16 Phi_84
6.217090e+00 2.398344e+09 3.213736e+09
6.303753e+00 2.351478e+09 3.153028e+09
6.391624e+00 2.305911e+09 3.092151e+09
6.480720e+00 2.260220e+09 3.031834e+09
6.571058e+00 2.215850e+09 2.973230e+09
6.662655e+00 2.173255e+09 2.915696e+09
6.755528e+00 2.130983e+09 2.859457e+09
6.849697e+00 2.088154e+09 2.805059e+09
6.945178e+00 2.046293e+09 2.751349e+09
7.041990e+00 2.005372e+09 2.698614e+09
7.140151e+00 1.965047e+09 2.645958e+09
7.239681e+00 1.924816e+09 2.590876e+09
7.340598e+00 1.886030e+09 2.536323e+09
7.442922e+00 1.848354e+09 2.485015e+09
7.546673e+00 1.811550e+09 2.437076e+09
7.651869e+00 1.775757e+09 2.388827e+09
7.758532e+00 1.739742e+09 2.340398e+09
7.866682e+00 1.705082e+09 2.291677e+09
7.976339e+00 1.670279e+09 2.246568e+09
8.087525e+00 1.636238e+09 2.199634e+09
8.200261e+00 1.603045e+09 2.157526e+09
8.314568e+00 1.570411e+09 2.114027e+09
8.430468e+00 1.538323e+09 2.069560e+09
8.547985e+00 1.506890e+09 2.026355e+09
8.667139e+00 1.476182e+09 1.983486e+09
8.787954e+00 1.445981e+09 1.941464e+09
8.910453e+00 1.416282e+09 1.900202e+09
9.034660e+00 1.385931e+09 1.859239e+09
9.160598e+00 1.356463e+09 1.819096e+09
9.288292e+00 1.327954e+09 1.780542e+09
9.417766e+00 1.299981e+09 1.742140e+09
9.549045e+00 1.272498e+09 1.704559e+09
9.682153e+00 1.245700e+09 1.667734e+09
9.817117e+00 1.219396e+09 1.631580e+09
9.953962e+00 1.193111e+09 1.596278e+09
1.009272e+01 1.167526e+09 1.561316e+09
1.023340e+01 1.141804e+09 1.526238e+09
1.037605e+01 1.117852e+09 1.492293e+09
1.052069e+01 1.094169e+09 1.458687e+09
1.066734e+01 1.069133e+09 1.425795e+09
1.081604e+01 1.045314e+09 1.393829e+09
1.096681e+01 1.022118e+09 1.362862e+09
1.111968e+01 9.983809e+08 1.332799e+09
1.127468e+01 9.747205e+08 1.302082e+09
1.143184e+01 9.516679e+08 1.272381e+09
1.159120e+01 9.292555e+08 1.242933e+09
1.175277e+01 9.083491e+08 1.212862e+09
1.191660e+01 8.881558e+08 1.184522e+09
1.208271e+01 8.685507e+08 1.156580e+09
1.225114e+01 8.471847e+08 1.129059e+09
1.242191e+01 8.263931e+08 1.101844e+09
1.259506e+01 8.062288e+08 1.075855e+09
1.277063e+01 7.874493e+08 1.048914e+09
1.294865e+01 7.683894e+08 1.024760e+09
1.312915e+01 7.474119e+08 1.000677e+09
1.331216e+01 7.294940e+08 9.770308e+08
1.349772e+01 7.124342e+08 9.535330e+08
1.368587e+01 6.952928e+08 9.310827e+08
1.387665e+01 6.779880e+08 9.088429e+08
1.407008e+01 6.615400e+08 8.857991e+08
1.426621e+01 6.454161e+08 8.644590e+08
1.446507e+01 6.296369e+08 8.433974e+08
1.466671e+01 6.138599e+08 8.220088e+08
1.487115e+01 5.982955e+08 8.010369e+08
1.507845e+01 5.836463e+08 7.802436e+08
1.528864e+01 5.691542e+08 7.608632e+08
1.550175e+01 5.549823e+08 7.409081e+08
1.571784e+01 5.408837e+08 7.207735e+08
1.593694e+01 5.271041e+08 7.016819e+08
1.615909e+01 5.133001e+08 6.829819e+08
1.638434e+01 5.000750e+08 6.650223e+08
1.661273e+01 4.871492e+08 6.474249e+08
1.684430e+01 4.740149e+08 6.304504e+08
1.707910e+01 4.612568e+08 6.134066e+08
1.731717e+01 4.481731e+08 5.961992e+08
1.755856e+01 4.357967e+08 5.795068e+08
1.780332e+01 4.236669e+08 5.640696e+08
1.805149e+01 4.116634e+08 5.479294e+08
1.830312e+01 4.005246e+08 5.321685e+08
1.855825e+01 3.895009e+08 5.175989e+08
1.881694e+01 3.790778e+08 5.026386e+08
1.907924e+01 3.682665e+08 4.885919e+08
1.934520e+01 3.569785e+08 4.747982e+08
1.961486e+01 3.461984e+08 4.613106e+08
1.988828e+01 3.364964e+08 4.479281e+08
2.016551e+01 3.263332e+08 4.353377e+08
2.044661e+01 3.163419e+08 4.224498e+08
2.073162e+01 3.069776e+08 4.101821e+08
2.102061e+01 2.977383e+08 3.981685e+08
2.131362e+01 2.891840e+08 3.863311e+08
2.161073e+01 2.802691e+08 3.751028e+08
2.191197e+01 2.722428e+08 3.641505e+08
2.221741e+01 2.641112e+08 3.530827e+08
2.252711e+01 2.559550e+08 3.421840e+08
2.284112e+01 2.479712e+08 3.320962e+08
2.315951e+01 2.401282e+08 3.217490e+08
2.348235e+01 2.320337e+08 3.119831e+08
2.380968e+01 2.250619e+08 3.022732e+08
2.414157e+01 2.183229e+08 2.925666e+08
2.447809e+01 2.111320e+08 2.831646e+08
2.481930e+01 2.040096e+08 2.741466e+08
2.516527e+01 1.973657e+08 2.655866e+08
2.551606e+01 1.908546e+08 2.569346e+08
2.587174e+01 1.841808e+08 2.487366e+08
2.623238e+01 1.780700e+08 2.404711e+08
2.659804e+01 1.720591e+08 2.326036e+08
2.696881e+01 1.662538e+08 2.248088e+08
2.734474e+01 1.606501e+08 2.172781e+08
2.772591e+01 1.552239e+08 2.100847e+08
2.811239e+01 1.494908e+08 2.030661e+08
2.850426e+01 1.443318e+08 1.962451e+08
2.890160e+01 1.393047e+08 1.896897e+08
2.930447e+01 1.340905e+08 1.831884e+08
2.971296e+01 1.288896e+08 1.766894e+08
3.012714e+01 1.243089e+08 1.702741e+08
3.054710e+01 1.198790e+08 1.642729e+08
3.097291e+01 1.152260e+08 1.586109e+08
3.140465e+01 1.110246e+08 1.529491e+08
3.184242e+01 1.070107e+08 1.472710e+08
3.228628e+01 1.029756e+08 1.418249e+08
3.273634e+01 9.899273e+07 1.364865e+08
3.319266e+01 9.521802e+07 1.313211e+08
3.365535e+01 9.152060e+07 1.262314e+08
3.412449e+01 8.788833e+07 1.215014e+08
3.460016e+01 8.445677e+07 1.168668e+08
3.508247e+01 8.110820e+07 1.125717e+08
3.557150e+01 7.777873e+07 1.083114e+08
3.606735e+01 7.460927e+07 1.041239e+08
3.657011e+01 7.138430e+07 1.000017e+08
3.707988e+01 6.830088e+07 9.611416e+07
3.759675e+01 6.528791e+07 9.241339e+07
3.812083e+01 6.239531e+07 8.889887e+07
3.865221e+01 5.994895e+07 8.531126e+07
3.919100e+01 5.740239e+07 8.192147e+07
3.973730e+01 5.483282e+07 7.855435e+07
4.029122e+01 5.228269e+07 7.525607e+07
4.085286e+01 5.003388e+07 7.213484e+07
4.142232e+01 4.772787e+07 6.933499e+07
4.199973e+01 4.563704e+07 6.660502e+07
4.258518e+01 4.364433e+07 6.387161e+07
4.317880e+01 4.163318e+07 6.114353e+07
4.378069e+01 3.970971e+07 5.862604e+07
4.439097e+01 3.783549e+07 5.610287e+07
4.500975e+01 3.593020e+07 5.368383e+07
4.563716e+01 3.445517e+07 5.136189e+07
4.627332e+01 3.294275e+07 4.917554e+07
4.691835e+01 3.142380e+07 4.701181e+07
4.757236e+01 2.992693e+07 4.509369e+07
4.823549e+01 2.843550e+07 4.314914e+07
4.890787e+01 2.711746e+07 4.121803e+07
4.958962e+01 2.584939e+07 3.940193e+07
5.028087e+01 2.458120e+07 3.762988e+07
5.098176e+01 2.337849e+07 3.600296e+07
5.169242e+01 2.224121e+07 3.437863e+07
5.241298e+01 2.122723e+07 3.283682e+07
5.314359e+01 2.026137e+07 3.133212e+07
5.388438e+01 1.925398e+07 3.000866e+07
5.463550e+01 1.836102e+07 2.857584e+07
5.539709e+01 1.753049e+07 2.727307e+07
5.616930e+01 1.672154e+07 2.599698e+07
5.695227e+01 1.589247e+07 2.479333e+07
5.774615e+01 1.509848e+07 2.370660e+07
5.855110e+01 1.434838e+07 2.262910e+07
5.936727e+01 1.363455e+07 2.160870e+07
6.019482e+01 1.296584e+07 2.059358e+07
6.103390e+01 1.229171e+07 1.952957e+07
6.188468e+01 1.163081e+07 1.860080e+07
6.274732e+01 1.104237e+07 1.769116e+07
6.362198e+01 1.046061e+07 1.687030e+07
6.450884e+01 9.932583e+06 1.605904e+07
6.540806e+01 9.429822e+06 1.527771e+07
6.631981e+01 8.952932e+06 1.454064e+07
6.724427e+01 8.467926e+06 1.378100e+07
6.818162e+01 8.046367e+06 1.308355e+07
6.913204e+01 7.638554e+06 1.246989e+07
7.009570e+01 7.244237e+06 1.189261e+07
7.107280e+01 6.863880e+06 1.131008e+07
7.206351e+01 6.504133e+06 1.077518e+07
7.306804e+01 6.180686e+06 1.029611e+07
7.408657e+01 5.846507e+06 9.803811e+06
7.511929e+01 5.534969e+06 9.345569e+06
7.616642e+01 5.245334e+06 8.884232e+06
7.722814e+01 4.973894e+06 8.518205e+06
7.830465e+01 4.713902e+06 8.084152e+06
7.939618e+01 4.463100e+06 7.717736e+06
8.050292e+01 4.210091e+06 7.315416e+06
8.162509e+01 3.977150e+06 6.958736e+06
8.276289e+01 3.766015e+06 6.613943e+06
8.391656e+01 3.577238e+06 6.329747e+06
8.508632e+01 3.377504e+06 6.017413e+06
8.627237e+01 3.199708e+06 5.732736e+06
8.747496e+01 3.027902e+06 5.484941e+06
8.869432e+01 2.857604e+06 5.238595e+06
8.993067e+01 2.706279e+06 5.002405e+06
9.118425e+01 2.547952e+06 4.775024e+06
9.245531e+01 2.410348e+06 4.555527e+06
9.374409e+01 2.271885e+06 4.339704e+06
9.505083e+01 2.143924e+06 4.152112e+06
9.637579e+01 2.031727e+06 3.975093e+06
9.771921e+01 1.922518e+06 3.795555e+06
9.908137e+01 1.814960e+06 3.623635e+06
1.004625e+02 1.714976e+06 3.458279e+06
1.018629e+02 1.622400e+06 3.295802e+06
1.032828e+02 1.534333e+06 3.154106e+06
1.047225e+02 1.456366e+06 3.024691e+06
1.061823e+02 1.376167e+06 2.893205e+06
1.076624e+02 1.300748e+06 2.768005e+06
1.091632e+02 1.229656e+06 2.650135e+06
1.106848e+02 1.163664e+06 2.536616e+06
1.122277e+02 1.098909e+06 2.416594e+06
1.137921e+02 1.035971e+06 2.305651e+06
1.153783e+02 9.770308e+05 2.208515e+06
1.169866e+02 9.272156e+05 2.112383e+06
1.186174e+02 8.754890e+05 2.020266e+06
1.202708e+02 8.265290e+05 1.930947e+06
1.219473e+02 7.800102e+05 1.845521e+06
1.236472e+02 7.364488e+05 1.768094e+06
1.253708e+02 6.962184e+05 1.693673e+06
1.271184e+02 6.563490e+05 1.622141e+06
1.288904e+02 6.189352e+05 1.546881e+06
1.306870e+02 5.849723e+05 1.474094e+06
1.325087e+02 5.525582e+05 1.409394e+06
1.343558e+02 5.213093e+05 1.344920e+06
1.362287e+02 4.913706e+05 1.283561e+06
1.381276e+02 4.639754e+05 1.227506e+06
1.400531e+02 4.400386e+05 1.174065e+06
1.420053e+02 4.179942e+05 1.122793e+06
1.439848e+02 3.948035e+05 1.073755e+06
1.459919e+02 3.717949e+05 1.026901e+06
1.480269e+02 3.495429e+05 9.818650e+05
1.500903e+02 3.299475e+05 9.364182e+05
1.521825e+02 3.136694e+05 8.941806e+05
1.543038e+02 2.975872e+05 8.543944e+05
1.564548e+02 2.811120e+05 8.168698e+05
1.586357e+02 2.645096e+05 7.820649e+05
1.608469e+02 2.497079e+05 7.480783e+05
1.630891e+02 2.362891e+05 7.142859e+05
1.653624e+02 2.228798e+05 6.817743e+05
1.676675e+02 2.099452e+05 6.526473e+05
1.700047e+02 1.987369e+05 6.260328e+05
1.723745e+02 1.875828e+05 6.000497e+05
1.747773e+02 1.774927e+05 5.737700e+05
1.772136e+02 1.680976e+05 5.487288e+05
1.796838e+02 1.587466e+05 5.247083e+05
1.821885e+02 1.503853e+05 5.017799e+05
1.847281e+02 1.419286e+05 4.797745e+05
1.873032e+02 1.336840e+05 4.585803e+05
1.899141e+02 1.263020e+05 4.383069e+05
1.925614e+02 1.190165e+05 4.193612e+05
1.952456e+02 1.124163e+05 4.014619e+05
1.979672e+02 1.064439e+05 3.843718e+05
2.007267e+02 1.006851e+05 3.680094e+05
2.035248e+02 9.489597e+04 3.524920e+05
2.063618e+02 8.929161e+04 3.376494e+05
2.092383e+02 8.418708e+04 3.232658e+05
2.121550e+02 7.956566e+04 3.092374e+05
2.151123e+02 7.516007e+04 2.960301e+05
2.181109e+02 7.074851e+04 2.832472e+05
2.211512e+02 6.694139e+04 2.709360e+05
2.242340e+02 6.328782e+04 2.588875e+05
2.273597e+02 5.957781e+04 2.472841e+05
2.305289e+02 5.583068e+04 2.362009e+05
