# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
2.494433e+00 4.506822e+09
2.544434e+00 4.380917e+09
2.595437e+00 4.258803e+09
2.647462e+00 4.136742e+09
2.700530e+00 4.017483e+09
2.754662e+00 3.902328e+09
2.809879e+00 3.788725e+09
2.866203e+00 3.676642e+09
2.923656e+00 3.566600e+09
2.982260e+00 3.463946e+09
3.042039e+00 3.365654e+09
3.103017e+00 3.268777e+09
3.165216e+00 3.173437e+09
3.228663e+00 3.081326e+09
3.293381e+00 2.993905e+09
3.359397e+00 2.903632e+09
3.426736e+00 2.817898e+09
3.495424e+00 2.733251e+09
3.565490e+00 2.653066e+09
3.636960e+00 2.573784e+09
3.709862e+00 2.497481e+09
3.784226e+00 2.424336e+09
3.860081e+00 2.349799e+09
3.937456e+00 2.278865e+09
4.016382e+00 2.207852e+09
4.096890e+00 2.140951e+09
4.179012e+00 2.075554e+09
4.262780e+00 2.012959e+09
4.348227e+00 1.949821e+09
4.435387e+00 1.888482e+09
4.524294e+00 1.828650e+09
4.614983e+00 1.773095e+09
4.707490e+00 1.717551e+09
4.801851e+00 1.663423e+09
4.898104e+00 1.610136e+09
4.996286e+00 1.558480e+09
5.096436e+00 1.507061e+09
5.198594e+00 1.459032e+09
5.302799e+00 1.412056e+09
5.409093e+00 1.365702e+09
5.517518e+00 1.319995e+09
5.628116e+00 1.277428e+09
5.740932e+00 1.235003e+09
5.856008e+00 1.193620e+09
5.973391e+00 1.154141e+09
6.093127e+00 1.115764e+09
6.215264e+00 1.078216e+09
6.339848e+00 1.043350e+09
6.466930e+00 1.008704e+09
6.596559e+00 9.744665e+08
6.728787e+00 9.412872e+08
6.863665e+00 9.081916e+08
7.001246e+00 8.768988e+08
7.141586e+00 8.464503e+08
7.284738e+00 8.163563e+08
7.430760e+00 7.888745e+08
7.579709e+00 7.614485e+08
7.731644e+00 7.351346e+08
7.886624e+00 7.091906e+08
8.044711e+00 6.835387e+08
8.205967e+00 6.591780e+08
8.370455e+00 6.357381e+08
8.538240e+00 6.130607e+08
8.709388e+00 5.903806e+08
8.883967e+00 5.694645e+08
9.062045e+00 5.489095e+08
9.243693e+00 5.288667e+08
9.428983e+00 5.079601e+08
9.617986e+00 4.882295e+08
9.810778e+00 4.698613e+08
1.000743e+01 4.518989e+08
1.020803e+01 4.350385e+08
1.041265e+01 4.184924e+08
1.062137e+01 4.025225e+08
1.083428e+01 3.874893e+08
1.105145e+01 3.721768e+08
1.127297e+01 3.576901e+08
1.149894e+01 3.432583e+08
1.172944e+01 3.303961e+08
1.196455e+01 3.179992e+08
1.220438e+01 3.052020e+08
1.244902e+01 2.924439e+08
1.269856e+01 2.803152e+08
1.295310e+01 2.688412e+08
1.321274e+01 2.576079e+08
1.347759e+01 2.468005e+08
1.374775e+01 2.364452e+08
1.402332e+01 2.267053e+08
1.430442e+01 2.171876e+08
1.459115e+01 2.079415e+08
1.488362e+01 1.989998e+08
1.518197e+01 1.903851e+08
1.548629e+01 1.821946e+08
1.579671e+01 1.741949e+08
1.611335e+01 1.663281e+08
1.643634e+01 1.590351e+08
1.676581e+01 1.517324e+08
1.710188e+01 1.452764e+08
1.744468e+01 1.387010e+08
