# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
2.544434e+00 1.095229e+09
2.595437e+00 1.064701e+09
2.647462e+00 1.034185e+09
2.700530e+00 1.004371e+09
2.754662e+00 9.755819e+08
2.809879e+00 9.471812e+08
2.866203e+00 9.191605e+08
2.923656e+00 8.916501e+08
2.982260e+00 8.659864e+08
3.042039e+00 8.414136e+08
3.103017e+00 8.171942e+08
3.165216e+00 7.933593e+08
3.228663e+00 7.703314e+08
3.293381e+00 7.484763e+08
3.359397e+00 7.259080e+08
3.426736e+00 7.044745e+08
3.495424e+00 6.833128e+08
3.565490e+00 6.632664e+08
3.636960e+00 6.434459e+08
3.709862e+00 6.243702e+08
3.784226e+00 6.060840e+08
3.860081e+00 5.874498e+08
3.937456e+00 5.697163e+08
4.016382e+00 5.519630e+08
4.096890e+00 5.352376e+08
4.179012e+00 5.188885e+08
4.262780e+00 5.032396e+08
4.348227e+00 4.874553e+08
4.435387e+00 4.721205e+08
4.524294e+00 4.571624e+08
4.614983e+00 4.432738e+08
4.707490e+00 4.293877e+08
4.801851e+00 4.158558e+08
4.898104e+00 4.025341e+08
4.996286e+00 3.896201e+08
5.096436e+00 3.767653e+08
5.198594e+00 3.647580e+08
5.302799e+00 3.530139e+08
5.409093e+00 3.414255e+08
5.517518e+00 3.299987e+08
5.628116e+00 3.193571e+08
5.740932e+00 3.087507e+08
5.856008e+00 2.984050e+08
5.973391e+00 2.885352e+08
6.093127e+00 2.789409e+08
6.215264e+00 2.695539e+08
6.339848e+00 2.608375e+08
6.466930e+00 2.521760e+08
6.596559e+00 2.436166e+08
6.728787e+00 2.353218e+08
6.863665e+00 2.270479e+08
7.001246e+00 2.192247e+08
7.141586e+00 2.116126e+08
7.284738e+00 2.040891e+08
7.430760e+00 1.972186e+08
7.579709e+00 1.903621e+08
7.731644e+00 1.837837e+08
7.886624e+00 1.772977e+08
8.044711e+00 1.708847e+08
8.205967e+00 1.647945e+08
8.370455e+00 1.589345e+08
8.538240e+00 1.532652e+08
8.709388e+00 1.475951e+08
8.883967e+00 1.423661e+08
9.062045e+00 1.372274e+08
9.243693e+00 1.322167e+08
9.428983e+00 1.269900e+08
9.617986e+00 1.220574e+08
9.810778e+00 1.174653e+08
1.000743e+01 1.129747e+08
1.020803e+01 1.087596e+08
1.041265e+01 1.046231e+08
1.062137e+01 1.006306e+08
1.083428e+01 9.687233e+07
1.105145e+01 9.304421e+07
1.127297e+01 8.942252e+07
1.149894e+01 8.581459e+07
1.172944e+01 8.259901e+07
1.196455e+01 7.949979e+07
1.220438e+01 7.630049e+07
1.244902e+01 7.311098e+07
1.269856e+01 7.007881e+07
1.295310e+01 6.721029e+07
1.321274e+01 6.440197e+07
1.347759e+01 6.170014e+07
1.374775e+01 5.911130e+07
1.402332e+01 5.667633e+07
1.430442e+01 5.429690e+07
1.459115e+01 5.198536e+07
1.488362e+01 4.974994e+07
1.518197e+01 4.759627e+07
1.548629e+01 4.554866e+07
1.579671e+01 4.354872e+07
1.611335e+01 4.158202e+07
1.643634e+01 3.975877e+07
1.676581e+01 3.793310e+07
1.710188e+01 3.631909e+07
1.744468e+01 3.467526e+07
1.779436e+01 3.310765e+07
1.815105e+01 3.160176e+07
1.851488e+01 3.016266e+07
1.888601e+01 2.871262e+07
1.926458e+01 2.742240e+07
