# Energy(MeV) Fluence_Planar
3.865221e+00 2.207089e+09
3.937226e+00 2.131238e+09
4.010573e+00 2.059265e+09
4.085286e+00 1.988130e+09
4.161391e+00 1.921076e+09
4.238913e+00 1.855250e+09
4.317880e+00 1.792323e+09
4.398317e+00 1.731144e+09
4.480254e+00 1.672116e+09
4.563716e+00 1.615271e+09
4.648734e+00 1.561007e+09
4.735335e+00 1.508570e+09
4.823549e+00 1.457019e+09
4.913407e+00 1.406439e+09
5.004939e+00 1.358577e+09
5.098176e+00 1.312673e+09
5.193150e+00 1.268568e+09
5.289893e+00 1.225277e+09
5.388438e+00 1.183346e+09
5.488820e+00 1.143440e+09
5.591071e+00 1.104121e+09
5.695227e+00 1.066284e+09
5.801323e+00 1.029611e+09
5.909396e+00 9.948291e+08
6.019482e+00 9.623365e+08
6.131619e+00 9.304272e+08
6.245845e+00 8.982488e+08
6.362198e+00 8.687739e+08
6.480720e+00 8.399530e+08
6.601449e+00 8.113249e+08
6.724427e+00 7.833990e+08
6.849697e+00 7.573584e+08
6.977300e+00 7.313265e+08
7.107280e+00 7.067204e+08
7.239681e+00 6.829843e+08
7.374549e+00 6.601489e+08
7.511929e+00 6.370514e+08
7.651869e+00 6.165042e+08
7.794416e+00 5.956347e+08
7.939618e+00 5.751142e+08
8.087525e+00 5.564592e+08
8.238187e+00 5.373770e+08
8.391656e+00 5.199004e+08
8.547985e+00 5.023567e+08
8.707225e+00 4.857866e+08
8.869432e+00 4.694840e+08
9.034660e+00 4.534718e+08
9.202967e+00 4.379959e+08
9.374409e+00 4.234108e+08
9.549045e+00 4.093885e+08
9.726934e+00 3.956321e+08
9.908137e+00 3.825518e+08
1.009272e+01 3.701267e+08
1.028073e+01 3.576323e+08
1.047225e+01 3.456205e+08
1.066734e+01 3.340070e+08
1.086606e+01 3.228576e+08
1.106848e+01 3.118997e+08
1.127468e+01 3.015625e+08
1.148472e+01 2.915095e+08
1.169866e+01 2.820424e+08
1.191660e+01 2.726581e+08
1.213859e+01 2.632950e+08
1.236472e+01 2.543165e+08
1.259506e+01 2.456395e+08
1.282970e+01 2.375049e+08
1.306870e+01 2.296198e+08
1.331216e+01 2.221942e+08
1.356015e+01 2.146891e+08
1.381276e+01 2.076659e+08
1.407008e+01 2.008964e+08
1.433219e+01 1.942602e+08
1.459919e+01 1.878144e+08
1.487115e+01 1.816251e+08
1.514819e+01 1.756508e+08
1.543038e+01 1.698827e+08
1.571784e+01 1.644542e+08
1.601064e+01 1.590332e+08
1.630891e+01 1.536971e+08
1.661273e+01 1.485552e+08
1.692220e+01 1.436832e+08
1.723745e+01 1.389063e+08
1.755856e+01 1.342405e+08
1.788566e+01 1.297374e+08
1.821885e+01 1.256280e+08
1.855825e+01 1.215004e+08
1.890397e+01 1.174594e+08
1.925614e+01 1.136489e+08
1.961486e+01 1.098863e+08
1.998026e+01 1.061846e+08
2.035248e+01 1.026766e+08
2.073162e+01 9.915567e+07
2.111783e+01 9.588236e+07
2.151123e+01 9.263695e+07
2.191197e+01 8.950307e+07
2.232016e+01 8.650736e+07
2.273597e+01 8.364481e+07
2.315951e+01 8.086708e+07
2.359095e+01 7.819388e+07
2.403043e+01 7.564248e+07
2.447809e+01 7.314920e+07
2.493409e+01 7.070341e+07
2.539859e+01 6.834280e+07
2.587174e+01 6.619429e+07
2.635371e+01 6.401128e+07
2.684465e+01 6.190401e+07
2.734474e+01 5.987473e+07
2.785414e+01 5.791566e+07
2.837304e+01 5.600226e+07
2.890160e+01 5.417446e+07
2.944000e+01 5.240188e+07
