# AUG 1972 GLE#24 - Phi_omni / 4 (planar geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
5.964185e+00 4.523659e+09 5.707243e+09
6.047322e+00 4.407550e+09 5.561739e+09
6.131619e+00 4.294429e+09 5.420557e+09
6.217090e+00 4.184024e+09 5.282461e+09
6.303753e+00 4.076117e+09 5.146674e+09
6.391624e+00 3.970900e+09 5.013556e+09
6.480720e+00 3.868188e+09 4.883569e+09
6.571058e+00 3.767721e+09 4.756653e+09
6.662655e+00 3.670228e+09 4.633089e+09
6.755528e+00 3.575216e+09 4.512325e+09
6.849697e+00 3.482723e+09 4.394816e+09
6.945178e+00 3.392314e+09 4.280082e+09
7.041990e+00 3.303942e+09 4.168065e+09
7.140151e+00 3.217307e+09 4.058827e+09
7.239681e+00 3.133277e+09 3.952198e+09
7.340598e+00 3.051221e+09 3.848051e+09
7.442922e+00 2.970997e+09 3.746298e+09
7.546673e+00 2.892683e+09 3.647047e+09
7.651869e+00 2.816241e+09 3.550597e+09
7.758532e+00 2.741627e+09 3.455932e+09
7.866682e+00 2.668749e+09 3.363113e+09
7.976339e+00 2.597446e+09 3.272910e+09
8.087525e+00 2.527772e+09 3.185112e+09
8.200261e+00 2.459792e+09 3.099332e+09
8.314568e+00 2.393575e+09 3.015614e+09
8.430468e+00 2.329013e+09 2.933501e+09
8.547985e+00 2.266350e+09 2.853740e+09
8.667139e+00 2.205124e+09 2.776392e+09
8.787954e+00 2.144960e+09 2.700703e+09
8.910453e+00 2.085967e+09 2.627236e+09
9.034660e+00 2.028648e+09 2.555614e+09
9.160598e+00 1.973391e+09 2.485556e+09
9.288292e+00 1.919337e+09 2.417302e+09
9.417766e+00 1.866336e+09 2.350665e+09
9.549045e+00 1.814654e+09 2.284843e+09
9.682153e+00 1.763994e+09 2.220745e+09
9.817117e+00 1.714917e+09 2.159262e+09
9.953962e+00 1.666831e+09 2.099313e+09
1.009272e+01 1.620179e+09 2.040816e+09
1.023340e+01 1.574724e+09 1.983770e+09
1.037605e+01 1.530812e+09 1.928235e+09
1.052069e+01 1.487633e+09 1.873410e+09
1.066734e+01 1.445467e+09 1.820671e+09
1.081604e+01 1.404253e+09 1.769266e+09
1.096681e+01 1.364500e+09 1.719165e+09
1.111968e+01 1.325519e+09 1.669998e+09
1.127468e+01 1.287542e+09 1.621960e+09
1.143184e+01 1.249901e+09 1.575267e+09
1.159120e+01 1.213895e+09 1.529957e+09
