# AUG 1972 GLE#24 - Phi_omni (spherical geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
5.964185e+00 1.809463e+10 2.282897e+10
6.047322e+00 1.763020e+10 2.224696e+10
6.131619e+00 1.717772e+10 2.168223e+10
6.217090e+00 1.673609e+10 2.112984e+10
6.303753e+00 1.630447e+10 2.058670e+10
6.391624e+00 1.588360e+10 2.005422e+10
6.480720e+00 1.547275e+10 1.953428e+10
6.571058e+00 1.507088e+10 1.902661e+10
6.662655e+00 1.468091e+10 1.853235e+10
6.755528e+00 1.430086e+10 1.804930e+10
6.849697e+00 1.393089e+10 1.757926e+10
6.945178e+00 1.356925e+10 1.712033e+10
7.041990e+00 1.321577e+10 1.667226e+10
7.140151e+00 1.286923e+10 1.623531e+10
7.239681e+00 1.253311e+10 1.580879e+10
7.340598e+00 1.220489e+10 1.539220e+10
7.442922e+00 1.188399e+10 1.498519e+10
7.546673e+00 1.157073e+10 1.458819e+10
7.651869e+00 1.126496e+10 1.420239e+10
7.758532e+00 1.096651e+10 1.382373e+10
7.866682e+00 1.067499e+10 1.345245e+10
7.976339e+00 1.038978e+10 1.309164e+10
8.087525e+00 1.011109e+10 1.274045e+10
8.200261e+00 9.839166e+09 1.239733e+10
8.314568e+00 9.574300e+09 1.206246e+10
8.430468e+00 9.316053e+09 1.173400e+10
8.547985e+00 9.065399e+09 1.141496e+10
8.667139e+00 8.820496e+09 1.110557e+10
8.787954e+00 8.579838e+09 1.080281e+10
8.910453e+00 8.343868e+09 1.050894e+10
9.034660e+00 8.114590e+09 1.022246e+10
9.160598e+00 7.893564e+09 9.942226e+09
9.288292e+00 7.677346e+09 9.669207e+09
9.417766e+00 7.465344e+09 9.402662e+09
9.549045e+00 7.258617e+09 9.139370e+09
9.682153e+00 7.055977e+09 8.882982e+09
9.817117e+00 6.859668e+09 8.637046e+09
9.953962e+00 6.667322e+09 8.397250e+09
1.009272e+01 6.480715e+09 8.163262e+09
1.023340e+01 6.298894e+09 7.935079e+09
1.037605e+01 6.123250e+09 7.712938e+09
1.052069e+01 5.950534e+09 7.493641e+09
1.066734e+01 5.781869e+09 7.282685e+09
1.081604e+01 5.617011e+09 7.077065e+09
1.096681e+01 5.458002e+09 6.876660e+09
1.111968e+01 5.302076e+09 6.679994e+09
1.127468e+01 5.150170e+09 6.487841e+09
1.143184e+01 4.999605e+09 6.301069e+09
1.159120e+01 4.855581e+09 6.119828e+09
1.175277e+01 4.715334e+09 5.941735e+09
1.191660e+01 4.578450e+09 5.768636e+09
1.208271e+01 4.445331e+09 5.599950e+09
1.225114e+01 4.315510e+09 5.435926e+09
1.242191e+01 4.187876e+09 5.277478e+09
1.259506e+01 4.063586e+09 5.122631e+09
1.277063e+01 3.943358e+09 4.971076e+09
1.294865e+01 3.826606e+09 4.823557e+09
1.312915e+01 3.713150e+09 4.679943e+09
1.331216e+01 3.602708e+09 4.539936e+09
1.349772e+01 3.494822e+09 4.403788e+09
1.368587e+01 3.390557e+09 4.271717e+09
1.387665e+01 3.289008e+09 4.143104e+09
1.407008e+01 3.189980e+09 4.017910e+09
1.426621e+01 3.093156e+09 3.896515e+09
1.446507e+01 2.999184e+09 3.778595e+09
1.466671e+01 2.907817e+09 3.663815e+09
1.487115e+01 2.818941e+09 3.551182e+09
1.507845e+01 2.732496e+09 3.442699e+09
1.528864e+01 2.648422e+09 3.337041e+09
1.550175e+01 2.566650e+09 3.234552e+09
1.571784e+01 2.486739e+09 3.134196e+09
1.593694e+01 2.409251e+09 3.036826e+09
1.615909e+01 2.333637e+09 2.941555e+09
1.638434e+01 2.260513e+09 2.849239e+09
1.661273e+01 2.189876e+09 2.759515e+09
1.684430e+01 2.120925e+09 2.672687e+09
1.707910e+01 2.053309e+09 2.588326e+09
1.731717e+01 1.987617e+09 2.506113e+09
1.755856e+01 1.923778e+09 2.426244e+09
1.780332e+01 1.861749e+09 2.348011e+09
1.805149e+01 1.801660e+09 2.272752e+09
1.830312e+01 1.743225e+09 2.199659e+09
1.855825e+01 1.686983e+09 2.128569e+09
1.881694e+01 1.631774e+09 2.059509e+09
1.907924e+01 1.578522e+09 1.992578e+09
1.934520e+01 1.526972e+09 1.926887e+09
1.961486e+01 1.476959e+09 1.863699e+09
1.988828e+01 1.428585e+09 1.801912e+09
2.016551e+01 1.381626e+09 1.742061e+09
2.044661e+01 1.335833e+09 1.684213e+09
2.073162e+01 1.290839e+09 1.628151e+09
2.102061e+01 1.247198e+09 1.574107e+09
2.131362e+01 1.205187e+09 1.521554e+09
2.161073e+01 1.164581e+09 1.470200e+09
2.191197e+01 1.125212e+09 1.420221e+09
2.221741e+01 1.087034e+09 1.372151e+09
2.252711e+01 1.050031e+09 1.325905e+09
2.284112e+01 1.014222e+09 1.280617e+09
2.315951e+01 9.793303e+08 1.236895e+09
2.348235e+01 9.455762e+08 1.194778e+09
2.380968e+01 9.126541e+08 1.153385e+09
2.414157e+01 8.807595e+08 1.113782e+09
2.447809e+01 8.500260e+08 1.075430e+09
2.481930e+01 8.202024e+08 1.038295e+09
2.516527e+01 7.911802e+08 1.001795e+09
2.551606e+01 7.630034e+08 9.664504e+08
2.587174e+01 7.359804e+08 9.323448e+08
2.623238e+01 7.100745e+08 8.992906e+08
2.659804e+01 6.847133e+08 8.671683e+08
2.696881e+01 6.600288e+08 8.357953e+08
2.734474e+01 6.360750e+08 8.058039e+08
2.772591e+01 6.131330e+08 7.767229e+08
2.811239e+01 5.908127e+08 7.483882e+08
2.850426e+01 5.689232e+08 7.209749e+08
2.890160e+01 5.480934e+08 6.949108e+08
2.930447e+01 5.280454e+08 6.694495e+08
2.971296e+01 5.083313e+08 6.444769e+08
3.012714e+01 4.892716e+08 6.204568e+08
3.054710e+01 4.708770e+08 5.974427e+08
3.097291e+01 4.533818e+08 5.751597e+08
3.140465e+01 4.364024e+08 5.536946e+08
3.184242e+01 4.198354e+08 5.329242e+08
3.228628e+01 4.038518e+08 5.128155e+08
3.273634e+01 3.884193e+08 4.933643e+08
3.319266e+01 3.736218e+08 4.746539e+08
3.365535e+01 3.592025e+08 4.565629e+08
3.412449e+01 3.453133e+08 4.390332e+08
3.460016e+01 3.320480e+08 4.221889e+08
3.508247e+01 3.191770e+08 4.057934e+08
3.557150e+01 3.066985e+08 3.899825e+08
3.606735e+01 2.947371e+08 3.748115e+08
3.657011e+01 2.831892e+08 3.601352e+08
3.707988e+01 2.720320e+08 3.459585e+08
3.759675e+01 2.612842e+08 3.322734e+08
3.812083e+01 2.508088e+08 3.190852e+08
3.865221e+01 2.407766e+08 3.064234e+08
3.919100e+01 2.310444e+08 2.942241e+08
3.973730e+01 2.217260e+08 2.824243e+08
4.029122e+01 2.127348e+08 2.709682e+08
4.085286e+01 2.040509e+08 2.600027e+08
4.142232e+01 1.956756e+08 2.494034e+08
4.199973e+01 1.876022e+08 2.391164e+08
4.258518e+01 1.798811e+08 2.292555e+08
4.317880e+01 1.724099e+08 2.198010e+08
4.378069e+01 1.651561e+08 2.106903e+08
4.439097e+01 1.581880e+08 2.019120e+08
4.500975e+01 1.514698e+08 1.934973e+08
4.563716e+01 1.450573e+08 1.853177e+08
4.627332e+01 1.388164e+08 1.774106e+08
4.691835e+01 1.328811e+08 1.698531e+08
4.757236e+01 1.271282e+08 1.625894e+08
4.823549e+01 1.216152e+08 1.555988e+08
4.890787e+01 1.163430e+08 1.488869e+08
4.958962e+01 1.112866e+08 1.424400e+08
5.028087e+01 1.064241e+08 1.362009e+08
5.098176e+01 1.017321e+08 1.302369e+08
5.169242e+01 9.722240e+07 1.245429e+08
5.241298e+01 9.292342e+07 1.190785e+08
5.314359e+01 8.878438e+07 1.138199e+08
5.388438e+01 8.481709e+07 1.087779e+08
5.463550e+01 8.098953e+07 1.038999e+08
5.539709e+01 7.732092e+07 9.928667e+07
