# AUG 1972 GLE#24 - Phi_omni (spherical geometry)
# Raukunen et al. 2018
# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.487115e+01 3.178048e+09
1.507845e+01 3.080502e+09
1.528864e+01 2.985633e+09
1.550175e+01 2.893376e+09
1.571784e+01 2.803667e+09
1.593694e+01 2.716444e+09
1.615909e+01 2.631646e+09
1.638434e+01 2.549213e+09
1.661273e+01 2.469086e+09
1.684430e+01 2.391209e+09
1.707910e+01 2.315526e+09
1.731717e+01 2.241982e+09
1.755856e+01 2.170523e+09
1.780332e+01 2.101098e+09
1.805149e+01 2.033655e+09
1.830312e+01 1.968144e+09
1.855825e+01 1.904517e+09
1.881694e+01 1.842725e+09
1.907924e+01 1.782722e+09
1.934520e+01 1.724462e+09
1.961486e+01 1.667901e+09
1.988828e+01 1.612995e+09
2.016551e+01 1.559701e+09
2.044661e+01 1.507977e+09
2.073162e+01 1.457784e+09
2.102061e+01 1.409080e+09
2.131362e+01 1.361827e+09
2.161073e+01 1.315987e+09
2.191197e+01 1.271523e+09
2.221741e+01 1.228398e+09
2.252711e+01 1.186577e+09
2.284112e+01 1.146025e+09
2.315951e+01 1.106709e+09
2.348235e+01 1.068595e+09
2.380968e+01 1.031652e+09
2.414157e+01 9.958462e+08
2.447809e+01 9.611484e+08
2.481930e+01 9.275283e+08
2.516527e+01 8.949562e+08
2.551606e+01 8.634037e+08
2.587174e+01 8.328426e+08
2.623238e+01 8.032457e+08
2.659804e+01 7.745861e+08
2.696881e+01 7.468379e+08
2.734474e+01 7.199757e+08
2.772591e+01 6.939746e+08
2.811239e+01 6.688105e+08
2.850426e+01 6.444596e+08
2.890160e+01 6.208989e+08
2.930447e+01 5.981060e+08
2.971296e+01 5.760590e+08
3.012714e+01 5.547363e+08
3.054710e+01 5.341173e+08
3.097291e+01 5.141814e+08
3.140465e+01 4.949089e+08
3.184242e+01 4.762804e+08
3.228628e+01 4.582771e+08
3.273634e+01 4.408805e+08
3.319266e+01 4.240728e+08
3.365535e+01 4.078365e+08
3.412449e+01 3.921546e+08
3.460016e+01 3.770105e+08
3.508247e+01 3.623879e+08
