Energy_MeV	Diff_Fluence
1.000000e-01	2.139287e+08
1.051025e-01	2.107147e+08
1.104654e-01	2.075314e+08
1.161020e-01	2.043779e+08
1.220261e-01	2.012535e+08
1.282526e-01	1.981573e+08
1.347967e-01	1.950885e+08
1.416748e-01	1.920464e+08
1.489038e-01	1.890301e+08
1.565017e-01	1.860388e+08
1.644872e-01	1.830717e+08
1.728802e-01	1.801280e+08
1.817015e-01	1.772068e+08
1.909729e-01	1.743075e+08
2.007174e-01	1.714292e+08
2.109591e-01	1.685711e+08
2.217234e-01	1.657324e+08
2.330369e-01	1.629123e+08
2.449277e-01	1.601102e+08
2.574252e-01	1.573250e+08
2.705605e-01	1.545562e+08
2.843659e-01	1.518030e+08
2.988758e-01	1.490646e+08
3.141261e-01	1.463403e+08
3.301545e-01	1.436293e+08
3.470007e-01	1.409310e+08
3.647066e-01	1.382446e+08
3.833159e-01	1.355695e+08
4.028748e-01	1.329050e+08
4.234316e-01	1.302506e+08
4.450374e-01	1.276055e+08
4.677456e-01	1.249692e+08
4.916125e-01	1.223411e+08
5.166972e-01	1.197208e+08
5.430619e-01	1.171078e+08
5.707719e-01	1.145016e+08
5.998957e-01	1.119018e+08
6.305057e-01	1.093080e+08
6.626775e-01	1.067201e+08
6.964909e-01	1.041376e+08
7.320296e-01	1.015606e+08
7.693817e-01	9.898877e+07
8.086397e-01	9.642217e+07
8.499009e-01	9.386081e+07
8.932674e-01	9.130482e+07
9.388468e-01	8.875440e+07
9.867518e-01	8.620984e+07
1.037101e+00	8.367154e+07
1.090020e+00	8.114001e+07
1.145638e+00	7.861586e+07
1.204095e+00	7.609980e+07
1.265535e+00	7.359268e+07
1.330109e+00	7.109548e+07
1.397978e+00	6.860930e+07
1.469311e+00	6.613536e+07
1.544283e+00	6.367505e+07
1.623081e+00	6.122987e+07
1.705899e+00	5.880148e+07
1.792943e+00	5.639167e+07
1.884429e+00	5.400239e+07
1.980583e+00	5.163572e+07
2.081643e+00	4.929387e+07
2.187859e+00	4.697922e+07
2.299496e+00	4.469422e+07
2.416828e+00	4.244150e+07
2.540148e+00	4.022375e+07
2.669760e+00	3.804378e+07
2.805986e+00	3.590448e+07
2.949162e+00	3.380880e+07
3.099645e+00	3.175972e+07
3.257805e+00	2.976026e+07
3.424036e+00	2.781342e+07
3.598749e+00	2.592217e+07
3.782377e+00	2.408943e+07
3.975374e+00	2.231800e+07
4.178219e+00	2.061057e+07
4.391414e+00	1.896967e+07
4.615488e+00	1.739761e+07
4.850995e+00	1.589649e+07
5.098519e+00	1.446810e+07
5.358673e+00	1.311397e+07
5.632102e+00	1.183526e+07
5.919482e+00	1.063277e+07
6.221526e+00	9.506911e+06
6.538982e+00	8.457672e+06
6.872636e+00	7.484613e+06
7.223315e+00	6.586852e+06
7.591888e+00	5.763066e+06
7.979267e+00	5.011494e+06
8.386413e+00	4.329950e+06
8.814333e+00	3.715847e+06
