# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
2.544434e+00 3.057533e+09
2.595437e+00 2.987546e+09
2.647462e+00 2.918192e+09
2.700530e+00 2.849915e+09
2.754662e+00 2.784442e+09
2.809879e+00 2.719639e+09
2.866203e+00 2.657386e+09
2.923656e+00 2.596563e+09
2.982260e+00 2.538121e+09
3.042039e+00 2.478097e+09
3.103017e+00 2.418803e+09
3.165216e+00 2.362250e+09
3.228663e+00 2.307026e+09
3.293381e+00 2.252295e+09
3.359397e+00 2.198384e+09
3.426736e+00 2.145172e+09
3.495424e+00 2.094110e+09
3.565490e+00 2.043451e+09
3.636960e+00 1.994784e+09
3.709862e+00 1.945541e+09
3.784226e+00 1.897958e+09
3.860081e+00 1.852152e+09
3.937456e+00 1.806903e+09
4.016382e+00 1.762140e+09
4.096890e+00 1.718015e+09
4.179012e+00 1.675820e+09
4.262780e+00 1.633451e+09
4.348227e+00 1.592425e+09
4.435387e+00 1.551991e+09
4.524294e+00 1.512061e+09
4.614983e+00 1.473553e+09
4.707490e+00 1.435725e+09
4.801851e+00 1.398932e+09
4.898104e+00 1.362645e+09
4.996286e+00 1.326930e+09
5.096436e+00 1.291825e+09
5.198594e+00 1.257734e+09
5.302799e+00 1.224513e+09
5.409093e+00 1.192418e+09
5.517518e+00 1.160961e+09
5.628116e+00 1.130251e+09
5.740932e+00 1.099791e+09
5.856008e+00 1.070050e+09
5.973391e+00 1.040533e+09
6.093127e+00 1.012129e+09
6.215264e+00 9.839410e+08
6.339848e+00 9.563772e+08
6.466930e+00 9.295155e+08
6.596559e+00 9.034572e+08
6.728787e+00 8.779739e+08
6.863665e+00 8.536203e+08
7.001246e+00 8.299127e+08
7.141586e+00 8.065487e+08
7.284738e+00 7.831976e+08
7.430760e+00 7.607741e+08
7.579709e+00 7.390062e+08
7.731644e+00 7.175423e+08
7.886624e+00 6.967225e+08
8.044711e+00 6.758972e+08
8.205967e+00 6.559288e+08
8.370455e+00 6.361443e+08
8.538240e+00 6.169860e+08
8.709388e+00 5.983388e+08
8.883967e+00 5.799337e+08
9.062045e+00 5.621317e+08
9.243693e+00 5.447442e+08
9.428983e+00 5.279826e+08
9.617986e+00 5.109773e+08
