# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
2.494433e+00 1.251894e+10
2.544434e+00 1.223013e+10
2.595437e+00 1.195018e+10
2.647462e+00 1.167277e+10
2.700530e+00 1.139966e+10
2.754662e+00 1.113777e+10
2.809879e+00 1.087856e+10
2.866203e+00 1.062954e+10
2.923656e+00 1.038625e+10
2.982260e+00 1.015248e+10
3.042039e+00 9.912386e+09
3.103017e+00 9.675212e+09
3.165216e+00 9.449000e+09
3.228663e+00 9.228105e+09
3.293381e+00 9.009180e+09
3.359397e+00 8.793535e+09
3.426736e+00 8.580687e+09
3.495424e+00 8.376441e+09
3.565490e+00 8.173806e+09
3.636960e+00 7.979137e+09
3.709862e+00 7.782166e+09
3.784226e+00 7.591832e+09
3.860081e+00 7.408606e+09
3.937456e+00 7.227612e+09
4.016382e+00 7.048561e+09
4.096890e+00 6.872058e+09
4.179012e+00 6.703281e+09
4.262780e+00 6.533803e+09
4.348227e+00 6.369701e+09
4.435387e+00 6.207964e+09
4.524294e+00 6.048244e+09
4.614983e+00 5.894211e+09
4.707490e+00 5.742900e+09
4.801851e+00 5.595729e+09
4.898104e+00 5.450579e+09
4.996286e+00 5.307720e+09
5.096436e+00 5.167302e+09
5.198594e+00 5.030935e+09
5.302799e+00 4.898053e+09
5.409093e+00 4.769674e+09
5.517518e+00 4.643845e+09
5.628116e+00 4.521005e+09
5.740932e+00 4.399164e+09
5.856008e+00 4.280199e+09
5.973391e+00 4.162131e+09
6.093127e+00 4.048518e+09
6.215264e+00 3.935764e+09
6.339848e+00 3.825509e+09
6.466930e+00 3.718062e+09
6.596559e+00 3.613829e+09
6.728787e+00 3.511896e+09
6.863665e+00 3.414481e+09
7.001246e+00 3.319651e+09
7.141586e+00 3.226195e+09
7.284738e+00 3.132790e+09
7.430760e+00 3.043096e+09
7.579709e+00 2.956025e+09
7.731644e+00 2.870169e+09
7.886624e+00 2.786890e+09
8.044711e+00 2.703589e+09
8.205967e+00 2.623715e+09
8.370455e+00 2.544577e+09
8.538240e+00 2.467944e+09
8.709388e+00 2.393355e+09
8.883967e+00 2.319735e+09
9.062045e+00 2.248527e+09
9.243693e+00 2.178977e+09
9.428983e+00 2.111931e+09
9.617986e+00 2.043909e+09
9.810778e+00 1.977292e+09
1.000743e+01 1.914648e+09
1.020803e+01 1.852863e+09
1.041265e+01 1.792283e+09
1.062137e+01 1.732529e+09
1.083428e+01 1.674566e+09
1.105145e+01 1.617191e+09
1.127297e+01 1.562293e+09
1.149894e+01 1.509522e+09
1.172944e+01 1.457946e+09
1.196455e+01 1.406720e+09
1.220438e+01 1.357124e+09
1.244902e+01 1.311022e+09
1.269856e+01 1.264667e+09
1.295310e+01 1.219296e+09
1.321274e+01 1.175139e+09
1.347759e+01 1.132996e+09
1.374775e+01 1.091179e+09
1.402332e+01 1.050952e+09
1.430442e+01 1.010884e+09
1.459115e+01 9.726687e+08
1.488362e+01 9.342874e+08
1.518197e+01 8.983655e+08
1.548629e+01 8.633871e+08
1.579671e+01 8.291005e+08
1.611335e+01 7.957885e+08
1.643634e+01 7.635073e+08
1.676581e+01 7.328012e+08
1.710188e+01 7.028954e+08
1.744468e+01 6.737969e+08
1.779436e+01 6.452477e+08
1.815105e+01 6.177375e+08
1.851488e+01 5.915778e+08
1.888601e+01 5.671391e+08
1.926458e+01 5.422598e+08
1.965074e+01 5.180149e+08
2.004464e+01 4.953756e+08
2.044643e+01 4.728349e+08
2.085628e+01 4.509232e+08
2.127434e+01 4.299561e+08
2.170078e+01 4.103888e+08
2.213577e+01 3.912906e+08
2.257948e+01 3.722194e+08
2.303209e+01 3.545410e+08
2.349376e+01 3.374160e+08
2.396469e+01 3.212244e+08
2.444506e+01 3.052861e+08
2.493506e+01 2.901392e+08
2.543488e+01 2.755560e+08
2.594472e+01 2.615779e+08
2.646478e+01 2.485835e+08
2.699527e+01 2.360371e+08
2.753639e+01 2.238264e+08
2.808835e+01 2.111889e+08
2.865138e+01 1.999803e+08
2.922570e+01 1.891473e+08
2.981152e+01 1.790570e+08
3.040909e+01 1.691615e+08
3.101864e+01 1.596242e+08
3.164041e+01 1.504659e+08
3.227464e+01 1.415624e+08
3.292158e+01 1.330987e+08
3.358149e+01 1.249956e+08
3.425463e+01 1.174090e+08
3.494126e+01 1.104116e+08
3.564165e+01 1.036887e+08
3.635609e+01 9.724173e+07
3.708484e+01 9.112583e+07
3.782820e+01 8.523681e+07
3.858647e+01 7.977720e+07
3.935993e+01 7.469031e+07
4.014890e+01 6.980138e+07
4.095368e+01 6.516755e+07
4.177459e+01 6.075559e+07
4.261196e+01 5.660997e+07
4.346611e+01 5.268625e+07
4.433739e+01 4.909644e+07
4.522613e+01 4.568323e+07
4.613268e+01 4.246989e+07
4.705741e+01 3.947401e+07
4.800067e+01 3.664674e+07
4.896284e+01 3.402004e+07
4.994430e+01 3.157825e+07
5.094543e+01 2.934096e+07
5.196662e+01 2.725938e+07
5.300829e+01 2.531354e+07
5.407084e+01 2.351354e+07
5.515468e+01 2.183612e+07
5.626026e+01 2.028215e+07
5.738799e+01 1.882919e+07
5.853833e+01 1.749744e+07
5.971172e+01 1.627831e+07
6.090864e+01 1.512491e+07
6.212955e+01 1.405030e+07
6.337493e+01 1.306019e+07
6.464528e+01 1.213140e+07
6.594109e+01 1.127571e+07
6.726287e+01 1.048985e+07
6.861115e+01 9.763234e+06
6.998645e+01 9.067100e+06
7.138933e+01 8.426522e+06
7.282032e+01 7.837931e+06
7.428000e+01 7.274594e+06
7.576894e+01 6.758164e+06
7.728772e+01 6.284450e+06
7.883694e+01 5.837067e+06
8.041722e+01 5.425370e+06
8.202918e+01 5.035292e+06
8.367345e+01 4.676751e+06
8.535068e+01 4.347505e+06
8.706153e+01 4.041181e+06
8.880667e+01 3.753111e+06
9.058679e+01 3.486782e+06
9.240260e+01 3.237666e+06
9.425480e+01 3.006847e+06
9.614413e+01 2.795148e+06
9.807133e+01 2.598956e+06
1.000372e+02 2.412074e+06
1.020424e+02 2.240963e+06
1.040878e+02 2.080845e+06
1.061743e+02 1.934032e+06
1.083025e+02 1.795249e+06
1.104734e+02 1.667377e+06
1.126879e+02 1.548798e+06
1.149467e+02 1.438163e+06
1.172508e+02 1.338743e+06
1.196011e+02 1.245863e+06
1.219985e+02 1.155408e+06
1.244439e+02 1.075713e+06
1.269384e+02 9.986094e+05
1.294828e+02 9.269366e+05
1.320783e+02 8.614476e+05
