Energy_MeV Fluence_res_p_cm2_MeV
4.003200e+01 9.477600e+06
4.154100e+01 8.820100e+06
4.310600e+01 8.187500e+06
4.473000e+01 7.580900e+06
4.641600e+01 7.000200e+06
4.816500e+01 6.448800e+06
4.998000e+01 5.926800e+06
5.186300e+01 5.434000e+06
5.381800e+01 4.971000e+06
5.584500e+01 4.537100e+06
5.795000e+01 4.132100e+06
6.013300e+01 3.755400e+06
6.239900e+01 3.406000e+06
6.475100e+01 3.083000e+06
6.719100e+01 2.785400e+06
6.972300e+01 2.512000e+06
7.235000e+01 2.261100e+06
7.507600e+01 2.031900e+06
7.790500e+01 1.822900e+06
8.084100e+01 1.632900e+06
8.388700e+01 1.460700e+06
8.704800e+01 1.304700e+06
9.032800e+01 1.163600e+06
9.373200e+01 1.036800e+06
9.726400e+01 9.229200e+05
1.009300e+02 8.202800e+05
1.047300e+02 7.277700e+05
1.086800e+02 6.450400e+05
1.127700e+02 5.711800e+05
1.170200e+02 5.053200e+05
1.214300e+02 4.466800e+05
1.260100e+02 3.945200e+05
1.307600e+02 3.481800e+05
1.356800e+02 3.070700e+05
1.408000e+02 2.706200e+05
1.461000e+02 2.385000e+05
1.516100e+02 2.101100e+05
1.573200e+02 1.847600e+05
1.632500e+02 1.623800e+05
1.694000e+02 1.426400e+05
1.757800e+02 1.252500e+05
1.824100e+02 1.099300e+05
1.892800e+02 9.643700e+04
1.964100e+02 8.459800e+04
2.038200e+02 7.420200e+04
2.115000e+02 6.501100e+04
2.194700e+02 5.694000e+04
2.277400e+02 4.985700e+04
2.363200e+02 4.364300e+04
2.452200e+02 3.819500e+04
2.544600e+02 3.343600e+04
2.640500e+02 2.924200e+04
2.740000e+02 2.557000e+04
2.843300e+02 2.235400e+04
2.950400e+02 1.953900e+04
3.061600e+02 1.708200e+04
3.176900e+02 1.492400e+04
3.296600e+02 1.303700e+04
3.420900e+02 1.138700e+04
3.549800e+02 9.947300e+03
3.683500e+02 8.685300e+03
3.822300e+02 7.582600e+03
3.966400e+02 6.619500e+03
4.115800e+02 5.778800e+03
4.270900e+02 5.043300e+03
4.431900e+02 4.401100e+03
4.598900e+02 3.841000e+03
4.772200e+02 3.351100e+03
4.952000e+02 2.923600e+03
5.138600e+02 2.550800e+03
5.332200e+02 2.225000e+03
5.533100e+02 1.941000e+03
5.741600e+02 1.692800e+03
5.958000e+02 1.476300e+03
6.182500e+02 1.287600e+03
6.415500e+02 1.122800e+03
6.657200e+02 9.791000e+02
6.908100e+02 8.537100e+02
7.168400e+02 7.444200e+02
7.438500e+02 6.490300e+02
7.718800e+02 5.658700e+02
8.009700e+02 4.933600e+02
8.311500e+02 4.300900e+02
8.624700e+02 3.749500e+02
8.949700e+02 3.268500e+02
9.286900e+02 2.849200e+02
9.636900e+02 2.483700e+02
1.000000e+03 2.164900e+02
