Energy(MeV) Incoming Spectral Fluence(MeV-1 cm-2)   Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03  0.0000e+00	1.1308e+07
3.2362e+00	3.4673e+09	1.6212e+07
3.3582e+00	3.3245e+09	1.6378e+07
3.4847e+00	3.1866e+09	1.6560e+07
3.6160e+00	3.0535e+09	1.6748e+07
3.7523e+00	2.9249e+09	1.6941e+07
3.8937e+00	2.8009e+09	1.7138e+07
4.0404e+00	2.6811e+09	1.7302e+07
4.1927e+00	2.5656e+09	1.7498e+07
4.3507e+00	2.4541e+09	1.7710e+07
4.5146e+00	2.3465e+09	1.7927e+07
4.6847e+00	2.2427e+09	1.8143e+07
4.8612e+00	2.1426e+09	1.8368e+07
5.0444e+00	2.0461e+09	1.8575e+07
5.2345e+00	1.9531e+09	1.8809e+07
5.4318e+00	1.8634e+09	1.9020e+07
5.6364e+00	1.7770e+09	1.9260e+07
5.8488e+00	1.6938e+09	1.9502e+07
6.0692e+00	1.6136e+09	1.9744e+07
6.2979e+00	1.5364e+09	1.9989e+07
6.5352e+00	1.4621e+09	2.0225e+07
6.7815e+00	1.3905e+09	2.0472e+07
7.0370e+00	1.3217e+09	2.0704e+07
7.3022e+00	1.2555e+09	2.0935e+07
7.5774e+00	1.1919e+09	2.1176e+07
7.8629e+00	1.1307e+09	2.1388e+07
8.1592e+00	1.0720e+09	2.1620e+07
8.4666e+00	1.0156e+09	2.1846e+07
8.7857e+00	9.6140e+08	2.2063e+07
9.1167e+00	9.0944e+08	2.2274e+07
9.4603e+00	8.5961e+08	2.2455e+07
9.8168e+00	8.1185e+08	2.2646e+07
1.0187e+01	7.6610e+08	2.2825e+07
1.0571e+01	7.2230e+08	2.2989e+07
1.0969e+01	6.8039e+08	2.3129e+07
1.1382e+01	6.4031e+08	2.3254e+07
1.1811e+01	6.0200e+08	2.3340e+07
1.2256e+01	5.6543e+08	2.3426e+07
1.2718e+01	5.3052e+08	2.3485e+07
1.3197e+01	4.9723e+08	2.3522e+07
1.3694e+01	4.6552e+08	2.3511e+07
1.4211e+01	4.3533e+08	2.3485e+07
1.4746e+01	4.0661e+08	2.3425e+07
