Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
2.2560e-01	3.7360e+02	3.7360e+02	5.9872e-08
2.3410e-01	3.6770e+02	3.6770e+02	5.8926e-08
2.4300e-01	3.6180e+02	3.6180e+02	5.7981e-08
2.5000e-01	3.5730e+02	3.5730e+02	5.7260e-08
2.5210e-01	3.5600e+02	3.5600e+02	5.7051e-08
2.6160e-01	3.5010e+02	3.5010e+02	5.6106e-08
2.7150e-01	3.4430e+02	3.4430e+02	5.5176e-08
2.8170e-01	3.3850e+02	3.3850e+02	5.4247e-08
2.9230e-01	3.3280e+02	3.3280e+02	5.3333e-08
3.0000e-01	3.2880e+02	3.2880e+02	5.2692e-08
3.0330e-01	3.2710e+02	3.2710e+02	5.2420e-08
3.1480e-01	3.2140e+02	3.2140e+02	5.1506e-08
3.2660e-01	3.1580e+02	3.1580e+02	5.0609e-08
3.3890e-01	3.1030e+02	3.1030e+02	4.9728e-08
3.5000e-01	3.0550e+02	3.0550e+02	4.8958e-08
3.5170e-01	3.0480e+02	3.0480e+02	4.8846e-08
3.6500e-01	2.9930e+02	2.9930e+02	4.7965e-08
3.7870e-01	2.9390e+02	2.9390e+02	4.7099e-08
3.9300e-01	2.8860e+02	2.8860e+02	4.6250e-08
4.0000e-01	2.8610e+02	2.8610e+02	4.5849e-08
4.0780e-01	2.8330e+02	2.8330e+02	4.5401e-08
4.2320e-01	2.7810e+02	2.7810e+02	4.4567e-08
4.3910e-01	2.7300e+02	2.7300e+02	4.3750e-08
4.5000e-01	2.6960e+02	2.6960e+02	4.3205e-08
4.5560e-01	2.6790e+02	2.6790e+02	4.2933e-08
4.7280e-01	2.6280e+02	2.6280e+02	4.2115e-08
4.9060e-01	2.5790e+02	2.5790e+02	4.1330e-08
5.0000e-01	2.5540e+02	2.5540e+02	4.0929e-08
5.0910e-01	2.5300e+02	2.5300e+02	4.0545e-08
5.2830e-01	2.4820e+02	2.4820e+02	3.9776e-08
5.4820e-01	2.4340e+02	2.4340e+02	3.9006e-08
5.5000e-01	2.4300e+02	2.4300e+02	3.8942e-08
5.6890e-01	2.3870e+02	2.3870e+02	3.8253e-08
5.9030e-01	2.3410e+02	2.3410e+02	3.7516e-08
6.0000e-01	2.3210e+02	2.3210e+02	3.7196e-08
6.1260e-01	2.2950e+02	2.2950e+02	3.6779e-08
