# Energy(MeV) Fluence_Sferico_Median
2.209850e+01 4.360093e+06
2.238016e+01 4.211054e+06
2.266542e+01 4.067852e+06
2.295430e+01 3.930494e+06
2.324688e+01 3.797887e+06
2.354318e+01 3.669356e+06
2.384325e+01 3.544086e+06
2.414715e+01 3.423094e+06
2.445493e+01 3.306232e+06
2.476663e+01 3.193361e+06
2.508230e+01 3.085760e+06
2.540199e+01 2.981044e+06
2.572576e+01 2.879649e+06
2.605366e+01 2.782481e+06
2.638573e+01 2.688798e+06
2.672204e+01 2.597500e+06
2.706263e+01 2.508635e+06
2.740757e+01 2.422982e+06
2.775690e+01 2.339930e+06
2.811069e+01 2.259945e+06
2.846898e+01 2.183457e+06
2.883184e+01 2.108978e+06
2.919932e+01 2.037261e+06
2.957149e+01 1.968951e+06
2.994841e+01 1.901239e+06
3.033012e+01 1.835650e+06
3.071671e+01 1.771808e+06
3.110821e+01 1.710957e+06
3.150471e+01 1.652196e+06
3.190627e+01 1.595887e+06
3.231294e+01 1.541727e+06
3.272479e+01 1.489381e+06
3.314190e+01 1.438672e+06
3.356432e+01 1.389259e+06
3.399212e+01 1.342104e+06
3.442538e+01 1.296640e+06
3.486416e+01 1.252932e+06
3.530853e+01 1.210510e+06
3.575857e+01 1.169582e+06
3.621434e+01 1.129662e+06
3.667592e+01 1.091289e+06
3.714338e+01 1.054541e+06
3.761681e+01 1.018764e+06
3.809626e+01 9.835047e+05
3.858183e+01 9.496264e+05
3.907359e+01 9.172565e+05
3.957161e+01 8.859901e+05
4.007598e+01 8.556380e+05
4.058679e+01 8.266093e+05
4.110410e+01 7.985002e+05
4.162800e+01 7.713583e+05
4.215858e+01 7.451390e+05
4.269593e+01 7.198109e+05
4.324012e+01 6.952563e+05
4.379126e+01 6.713904e+05
4.434941e+01 6.485488e+05
4.491468e+01 6.268201e+05
4.548715e+01 6.054458e+05
4.606692e+01 5.847894e+05
4.665408e+01 5.647194e+05
4.724873e+01 5.455381e+05
4.785095e+01 5.269533e+05
4.846085e+01 5.090608e+05
4.907852e+01 4.915702e+05
4.970407e+01 4.747645e+05
5.033759e+01 4.585859e+05
5.097918e+01 4.429571e+05
5.162895e+01 4.278419e+05
5.228701e+01 4.133078e+05
5.295345e+01 3.993199e+05
5.362838e+01 3.857661e+05
5.431192e+01 3.727384e+05
5.500417e+01 3.600765e+05
5.570524e+01 3.478510e+05
5.641525e+01 3.360727e+05
5.713431e+01 3.247091e+05
5.786253e+01 3.136463e+05
5.860004e+01 3.028868e+05
5.934694e+01 2.925214e+05
6.010337e+01 2.826926e+05
6.086943e+01 2.730672e+05
6.164526e+01 2.637695e+05
