Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
4.5000e+00	6.3380e+01	6.3380e+01	1.0157e-08
5.0000e+00	5.8660e+01	5.8660e+01	9.4006e-09
5.5000e+00	5.4660e+01	5.4660e+01	8.7596e-09
6.0000e+00	5.1240e+01	5.1240e+01	8.2115e-09
6.5000e+00	4.8260e+01	4.8260e+01	7.7340e-09
7.0000e+00	4.5640e+01	4.5640e+01	7.3141e-09
7.5000e+00	4.3320e+01	4.3320e+01	6.9423e-09
8.0000e+00	4.1250e+01	4.1250e+01	6.6106e-09
8.5000e+00	3.9400e+01	3.9400e+01	6.3141e-09
9.0000e+00	3.7710e+01	3.7710e+01	6.0433e-09
9.5000e+00	3.6190e+01	3.6190e+01	5.7997e-09
1.0000e+01	3.4790e+01	3.4790e+01	5.5753e-09
1.5000e+01	2.5420e+01	2.5420e+01	4.0737e-09
2.0000e+01	2.0290e+01	2.0290e+01	3.2516e-09
2.5000e+01	1.7030e+01	1.7030e+01	2.7292e-09
3.0000e+01	1.4760e+01	1.4760e+01	2.3654e-09
3.5000e+01	1.3070e+01	1.3070e+01	2.0946e-09
4.0000e+01	1.1770e+01	1.1770e+01	1.8862e-09
4.5000e+01	1.0740e+01	1.0740e+01	1.7212e-09
5.0000e+01	9.8950e+00	9.8950e+00	1.5857e-09
5.5000e+01	9.1910e+00	9.1910e+00	1.4729e-09
6.0000e+01	8.5960e+00	8.5960e+00	1.3776e-09
6.5000e+01	8.0850e+00	8.0850e+00	1.2957e-09
7.0000e+01	7.6410e+00	7.6410e+00	1.2245e-09
7.5000e+01	7.2530e+00	7.2530e+00	1.1623e-09
8.0000e+01	6.9090e+00	6.9090e+00	1.1072e-09
8.5000e+01	6.6030e+00	6.6030e+00	1.0582e-09
9.0000e+01	6.3280e+00	6.3280e+00	1.0141e-09
9.5000e+01	6.0810e+00	6.0810e+00	9.7452e-10
1.0000e+02	5.8570e+00	5.8570e+00	9.3862e-10
1.5000e+02	4.3960e+00	4.3960e+00	7.0449e-10
2.0000e+02	3.6370e+00	3.6370e+00	5.8285e-10
2.5000e+02	3.1730e+00	3.1730e+00	5.0849e-10
