Energy (MeV)    Incoming Spectral Fluence (MeV-1 cm-2)  Residual Spectral Fluence (MeV-1 cm-2)
1.0000e-03  0.0000e+00	2.3879e+05
4.2042e+00	4.4455e+07	4.1693e+05
4.3748e+00	4.1172e+07	4.2324e+05
4.5523e+00	3.8095e+07	4.2923e+05
4.7370e+00	3.5244e+07	4.3576e+05
4.9292e+00	3.2606e+07	4.4246e+05
5.1292e+00	3.0165e+07	4.4921e+05
5.3373e+00	2.7906e+07	4.5527e+05
5.5539e+00	2.5816e+07	4.6218e+05
5.7792e+00	2.3882e+07	4.6902e+05
6.0137e+00	2.2092e+07	4.7586e+05
6.2577e+00	2.0436e+07	4.8255e+05
6.5116e+00	1.8904e+07	4.8895e+05
6.7758e+00	1.7486e+07	4.9586e+05
7.0507e+00	1.6174e+07	5.0259e+05
7.3368e+00	1.4960e+07	5.0901e+05
7.6345e+00	1.3837e+07	5.1544e+05
7.9443e+00	1.2798e+07	5.2155e+05
8.2666e+00	1.1837e+07	5.2764e+05
8.6020e+00	1.0947e+07	5.3349e+05
8.9510e+00	1.0124e+07	5.3889e+05
9.3142e+00	9.3629e+06	5.4396e+05
9.6921e+00	8.6585e+06	5.4894e+05
1.0085e+01	8.0069e+06	5.5352e+05
1.0495e+01	7.4040e+06	5.5763e+05
1.0920e+01	6.8462e+06	5.6092e+05
1.1364e+01	6.3303e+06	5.6397e+05
1.1825e+01	5.8529e+06	5.6614e+05
1.2304e+01	5.4114e+06	5.6795e+05
1.2804e+01	5.0029e+06	5.6911e+05
1.3323e+01	4.6251e+06	5.6922e+05
1.3864e+01	4.2756e+06	5.6892e+05
1.4426e+01	3.9523e+06	5.6752e+05
1.5012e+01	3.6533e+06	5.6564e+05
1.5621e+01	3.3767e+06	5.6290e+05
1.6254e+01	3.1209e+06	5.5931e+05
1.6914e+01	2.8843e+06	5.5483e+05
1.7600e+01	2.6655e+06	5.4946e+05
1.8314e+01	2.4631e+06	5.4323e+05
1.9057e+01	2.2760e+06	5.3614e+05
1.9831e+01	2.1029e+06	5.2819e+05
2.0635e+01	1.9429e+06	5.1939e+05
2.1473e+01	1.7949e+06	5.0978e+05
2.2344e+01	1.6580e+06	4.9941e+05
2.3250e+01	1.5315e+06	4.8839e+05
2.4194e+01	1.4145e+06	4.7674e+05
2.5175e+01	1.3063e+06	4.6446e+05
