Energy (MeV)	Incoming Spectral Fluence (MeV-1 cm-2)	Residual Spectral Fluence (MeV-1 cm-2)
4.2042e+00	4.4455e+07	2.0946e+05
4.3748e+00	4.1172e+07	2.1246e+05
4.5523e+00	3.8095e+07	2.1554e+05
4.7370e+00	3.5244e+07	2.1864e+05
4.9292e+00	3.2606e+07	2.2163e+05
5.1292e+00	3.0165e+07	2.2496e+05
5.3373e+00	2.7906e+07	2.2807e+05
5.5539e+00	2.5816e+07	2.3157e+05
5.7792e+00	2.3882e+07	2.3513e+05
6.0137e+00	2.2092e+07	2.3874e+05
6.2577e+00	2.0436e+07	2.4243e+05
6.5116e+00	1.8904e+07	2.4609e+05
6.7758e+00	1.7486e+07	2.4987e+05
7.0507e+00	1.6174e+07	2.5353e+05
7.3368e+00	1.4960e+07	2.5728e+05
7.6345e+00	1.3837e+07	2.6120e+05
7.9443e+00	1.2798e+07	2.6483e+05
8.2666e+00	1.1837e+07	2.6878e+05
8.6020e+00	1.0947e+07	2.7269e+05
8.9510e+00	1.0124e+07	2.7658e+05
9.3142e+00	9.3629e+06	2.8045e+05
9.6921e+00	8.6585e+06	2.8400e+05
1.0085e+01	8.0069e+06	2.8774e+05
1.0495e+01	7.4040e+06	2.9139e+05
1.0920e+01	6.8462e+06	2.9488e+05
1.1364e+01	6.3303e+06	2.9828e+05
1.1825e+01	5.8529e+06	3.0128e+05
1.2304e+01	5.4114e+06	3.0435e+05
1.2804e+01	5.0029e+06	3.0717e+05
1.3323e+01	4.6251e+06	3.0960e+05
1.3864e+01	4.2756e+06	3.1194e+05
1.4426e+01	3.9523e+06	3.1400e+05
1.5012e+01	3.6533e+06	3.1580e+05
1.5621e+01	3.3767e+06	3.1730e+05
1.6254e+01	3.1209e+06	3.1835e+05
1.6914e+01	2.8843e+06	3.1913e+05
1.7600e+01	2.6655e+06	3.1938e+05
1.8314e+01	2.4631e+06	3.1932e+05
1.9057e+01	2.2760e+06	3.1871e+05
1.9831e+01	2.1029e+06	3.1775e+05
2.0635e+01	1.9429e+06	3.1619e+05
2.1473e+01	1.7949e+06	3.1419e+05
2.2344e+01	1.6580e+06	3.1175e+05
2.3250e+01	1.5315e+06	3.0875e+05
2.4194e+01	1.4145e+06	3.0523e+05
2.5175e+01	1.3063e+06	3.0127e+05
2.6197e+01	1.2063e+06	2.9683e+05
2.7260e+01	1.1139e+06	2.9192e+05
2.8366e+01	1.0284e+06	2.8655e+05
2.9517e+01	9.4944e+05	2.8081e+05
3.0714e+01	8.7642e+05	2.7467e+05
3.1961e+01	8.0893e+05	2.6810e+05
3.3257e+01	7.4655e+05	2.6121e+05
3.4607e+01	6.8890e+05	2.5396e+05
3.6011e+01	6.3563e+05	2.4636e+05
3.7472e+01	5.8640e+05	2.3852e+05
3.8993e+01	5.4091e+05	2.3047e+05
4.0575e+01	4.9889e+05	2.2228e+05
4.2221e+01	4.6006e+05	2.1397e+05
4.3934e+01	4.2419e+05	2.0558e+05
4.5717e+01	3.9106e+05	1.9712e+05
4.7572e+01	3.6046e+05	1.8863e+05
4.9502e+01	3.3220e+05	1.8020e+05
5.1510e+01	3.0610e+05	1.7182e+05
5.3600e+01	2.8200e+05	1.6353e+05
5.5775e+01	2.5975e+05	1.5538e+05
5.8038e+01	2.3921e+05	1.4737e+05
6.0393e+01	2.2025e+05	1.3954e+05
6.2844e+01	2.0274e+05	1.3191e+05
6.5393e+01	1.8659e+05	1.2450e+05
6.8047e+01	1.7169e+05	1.1732e+05
7.0808e+01	1.5794e+05	1.1039e+05
7.3681e+01	1.4525e+05	1.0371e+05
7.6670e+01	1.3355e+05	9.7285e+04
7.9781e+01	1.2276e+05	9.1139e+04
8.3018e+01	1.1280e+05	8.5270e+04
8.6387e+01	1.0363e+05	7.9675e+04
8.9892e+01	9.5172e+04	7.4345e+04
9.3539e+01	8.7377e+04	6.9300e+04
9.7334e+01	8.0194e+04	6.4549e+04
1.0128e+02	7.3577e+04	6.0024e+04
1.0539e+02	6.7482e+04	5.5718e+04
1.0967e+02	6.1869e+04	5.1665e+04
1.1412e+02	5.6701e+04	4.7858e+04
1.1875e+02	5.1944e+04	4.4287e+04
1.2357e+02	4.7566e+04	4.0941e+04
1.2858e+02	4.3539e+04	3.7810e+04
1.3380e+02	3.9834e+04	3.4885e+04
1.3923e+02	3.6428e+04	3.2155e+04
1.4488e+02	3.3296e+04	2.9620e+04
1.5075e+02	3.0419e+04	2.7287e+04
1.5687e+02	2.7775e+04	2.5072e+04
1.6324e+02	2.5348e+04	2.3016e+04
1.6986e+02	2.3119e+04	2.1109e+04
1.7675e+02	2.1073e+04	1.9342e+04
1.8392e+02	1.9197e+04	1.7707e+04
1.9139e+02	1.7477e+04	1.6195e+04
1.9915e+02	1.5900e+04	1.4811e+04
2.0723e+02	1.4455e+04	1.3520e+04
2.1564e+02	1.3132e+04	1.2328e+04
2.2439e+02	1.1921e+04	1.1230e+04
2.3349e+02	1.0813e+04	1.0220e+04
2.4297e+02	9.8004e+03	9.2914e+03
2.5283e+02	8.8749e+03	8.4441e+03
2.6308e+02	8.0297e+03	7.6600e+03
2.7376e+02	7.2583e+03	6.9412e+03
2.8487e+02	6.5547e+03	6.2830e+03
2.9643e+02	5.9134e+03	5.6814e+03
3.0845e+02	5.3293e+03	5.1325e+03
3.2097e+02	4.7977e+03	4.6293e+03
3.3399e+02	4.3143e+03	4.1703e+03
3.4754e+02	3.8751e+03	3.7526e+03
3.6164e+02	3.4763e+03	3.3724e+03
3.7632e+02	3.1146e+03	3.0259e+03
3.9159e+02	2.7869e+03	2.7112e+03
4.0748e+02	2.4903e+03	2.4264e+03
4.2401e+02	2.2220e+03	2.1676e+03
4.4121e+02	1.9797e+03	1.9334e+03
4.5911e+02	1.7611e+03	1.7221e+03
4.7774e+02	1.5642e+03	1.5309e+03
4.9713e+02	1.3869e+03	1.3588e+03
5.1730e+02	1.2276e+03	1.2038e+03
5.3829e+02	1.0846e+03	1.0645e+03
5.6013e+02	9.5647e+02	9.3956e+02
5.8285e+02	8.4182e+02	8.2752e+02
6.0650e+02	7.3940e+02	7.2740e+02
6.3111e+02	6.4806e+02	6.3794e+02
6.5672e+02	5.6676e+02	5.5827e+02
6.8337e+02	4.9451e+02	4.8737e+02
7.1109e+02	4.3045e+02	4.2449e+02
7.3995e+02	3.7375e+02	3.6875e+02
7.6997e+02	3.2368e+02	3.1951e+02
8.0121e+02	2.7956e+02	2.7610e+02
8.3372e+02	2.4078e+02	2.3789e+02
8.6755e+02	2.0678e+02	2.0438e+02
9.0275e+02	1.7703e+02	1.7505e+02
9.3937e+02	1.5109e+02	1.4945e+02
9.7749e+02	1.2853e+02	1.2717e+02
1.0172e+03	1.0896e+02	1.0786e+02
1.0584e+03	9.2043e+01	9.1132e+01
1.1014e+03	7.7464e+01	7.6717e+01
1.1461e+03	6.4944e+01	6.4332e+01
1.1926e+03	5.4229e+01	5.3729e+01
1.2409e+03	4.5094e+01	4.4687e+01
1.2913e+03	3.7334e+01	3.7006e+01
1.3437e+03	3.0771e+01	3.0506e+01
1.3982e+03	2.5242e+01	2.5029e+01
1.4549e+03	2.0606e+01	2.0435e+01
1.5140e+03	1.6735e+01	1.6602e+01
1.5754e+03	1.3520e+01	1.3414e+01
1.6393e+03	1.0862e+01	1.0778e+01
1.7058e+03	8.6771e+00	8.6115e+00
1.7750e+03	6.8903e+00	6.8389e+00
1.8471e+03	5.4375e+00	5.3974e+00
1.9220e+03	4.2633e+00	4.2324e+00
2.0000e+03	3.3203e+00	3.2974e+00
