# Energy(MeV) Phi_16_Planar Phi_84_Planar
6.217090e+00 2.186024e+08 3.034885e+08
6.303753e+00 2.132438e+08 2.961383e+08
6.391624e+00 2.082960e+08 2.891113e+08
6.480720e+00 2.031750e+08 2.822258e+08
6.571058e+00 1.976290e+08 2.757416e+08
6.662655e+00 1.921236e+08 2.691655e+08
6.755528e+00 1.870983e+08 2.628395e+08
6.849697e+00 1.818174e+08 2.566915e+08
6.945178e+00 1.772432e+08 2.501882e+08
7.041990e+00 1.728949e+08 2.442840e+08
7.140151e+00 1.684621e+08 2.385264e+08
7.239681e+00 1.641641e+08 2.327891e+08
7.340598e+00 1.601172e+08 2.271132e+08
7.442922e+00 1.563076e+08 2.212723e+08
7.546673e+00 1.525435e+08 2.157152e+08
7.651869e+00 1.488443e+08 2.105733e+08
7.758532e+00 1.449356e+08 2.055316e+08
7.866682e+00 1.413732e+08 2.005022e+08
7.976339e+00 1.375051e+08 1.956068e+08
8.087525e+00 1.340597e+08 1.908403e+08
8.200261e+00 1.306380e+08 1.861689e+08
8.314568e+00 1.275247e+08 1.816986e+08
8.430468e+00 1.244425e+08 1.771427e+08
8.547985e+00 1.213207e+08 1.726442e+08
8.667139e+00 1.176928e+08 1.682622e+08
8.787954e+00 1.147280e+08 1.641282e+08
8.910453e+00 1.116748e+08 1.598889e+08
9.034660e+00 1.088091e+08 1.558171e+08
9.160598e+00 1.060145e+08 1.518147e+08
9.288292e+00 1.033364e+08 1.478589e+08
9.417766e+00 1.005521e+08 1.439476e+08
9.549045e+00 9.802736e+07 1.402799e+08
9.682153e+00 9.559028e+07 1.365352e+08
9.817117e+00 9.316706e+07 1.328288e+08
9.953962e+00 9.052713e+07 1.294310e+08
1.009272e+01 8.793879e+07 1.261531e+08
1.023340e+01 8.539417e+07 1.229225e+08
1.037605e+01 8.313431e+07 1.196443e+08
1.052069e+01 8.055044e+07 1.166490e+08
1.066734e+01 7.806460e+07 1.135694e+08
1.081604e+01 7.578005e+07 1.105194e+08
1.096681e+01 7.366830e+07 1.075924e+08
1.111968e+01 7.131099e+07 1.046345e+08
1.127468e+01 6.929731e+07 1.017391e+08
1.143184e+01 6.748351e+07 9.896307e+07
1.159120e+01 6.539267e+07 9.624345e+07
1.175277e+01 6.337929e+07 9.365203e+07
1.191660e+01 6.140580e+07 9.103169e+07
1.208271e+01 5.976169e+07 8.857263e+07
1.225114e+01 5.799110e+07 8.618261e+07
1.242191e+01 5.618682e+07 8.372088e+07
1.259506e+01 5.448460e+07 8.126691e+07
1.277063e+01 5.296996e+07 7.903583e+07
1.294865e+01 5.149037e+07 7.683354e+07
1.312915e+01 4.990053e+07 7.457214e+07
1.331216e+01 4.819096e+07 7.246192e+07
1.349772e+01 4.660502e+07 7.025201e+07
1.368587e+01 4.520824e+07 6.836115e+07
1.387665e+01 4.389108e+07 6.626706e+07
1.407008e+01 4.259273e+07 6.444319e+07
1.426621e+01 4.126628e+07 6.256941e+07
1.446507e+01 3.998121e+07 6.074529e+07
1.466671e+01 3.879553e+07 5.908110e+07
1.487115e+01 3.761429e+07 5.737876e+07
1.507845e+01 3.648979e+07 5.577289e+07
1.528864e+01 3.534908e+07 5.406365e+07
1.550175e+01 3.422685e+07 5.235328e+07
1.571784e+01 3.317336e+07 5.084605e+07
1.593694e+01 3.216054e+07 4.934741e+07
1.615909e+01 3.114850e+07 4.792711e+07
1.638434e+01 3.013136e+07 4.650184e+07
1.661273e+01 2.918158e+07 4.509444e+07
1.684430e+01 2.822034e+07 4.368954e+07
1.707910e+01 2.730383e+07 4.233596e+07
1.731717e+01 2.634798e+07 4.100721e+07
1.755856e+01 2.545421e+07 3.973072e+07
1.780332e+01 2.457225e+07 3.849204e+07
1.805149e+01 2.376279e+07 3.731544e+07
1.830312e+01 2.299245e+07 3.621670e+07
1.855825e+01 2.224276e+07 3.505481e+07
1.881694e+01 2.147165e+07 3.388941e+07
1.907924e+01 2.071396e+07 3.287051e+07
1.934520e+01 2.008177e+07 3.189084e+07
1.961486e+01 1.944820e+07 3.090041e+07
1.988828e+01 1.878847e+07 2.989100e+07
2.016551e+01 1.819385e+07 2.893766e+07
2.044661e+01 1.759776e+07 2.794455e+07
2.073162e+01 1.702951e+07 2.697710e+07
2.102061e+01 1.645336e+07 2.604535e+07
2.131362e+01 1.593262e+07 2.521355e+07
2.161073e+01 1.540438e+07 2.437377e+07
2.191197e+01 1.489479e+07 2.357584e+07
2.221741e+01 1.439975e+07 2.279296e+07
2.252711e+01 1.391369e+07 2.203051e+07
2.284112e+01 1.342034e+07 2.129789e+07
2.315951e+01 1.300008e+07 2.062956e+07
2.348235e+01 1.253921e+07 1.993032e+07
2.380968e+01 1.208770e+07 1.925129e+07
2.414157e+01 1.165537e+07 1.866129e+07
2.447809e+01 1.123759e+07 1.805711e+07
2.481930e+01 1.085412e+07 1.744594e+07
2.516527e+01 1.048559e+07 1.682880e+07
2.551606e+01 1.014635e+07 1.625038e+07
2.587174e+01 9.827480e+06 1.566128e+07
2.623238e+01 9.506846e+06 1.511837e+07
2.659804e+01 9.154685e+06 1.460029e+07
2.696881e+01 8.827673e+06 1.405850e+07
2.734474e+01 8.528125e+06 1.355451e+07
2.772591e+01 8.244428e+06 1.307517e+07
2.811239e+01 7.965535e+06 1.260942e+07
2.850426e+01 7.691885e+06 1.215077e+07
2.890160e+01 7.415868e+06 1.171876e+07
2.930447e+01 7.144814e+06 1.130908e+07
2.971296e+01 6.899583e+06 1.093002e+07
3.012714e+01 6.666830e+06 1.056649e+07
3.054710e+01 6.416315e+06 1.017374e+07
3.097291e+01 6.211969e+06 9.791203e+06
3.140465e+01 6.011819e+06 9.438665e+06
3.184242e+01 5.804302e+06 9.085510e+06
3.228628e+01 5.596375e+06 8.780324e+06
3.273634e+01 5.398490e+06 8.474675e+06
3.319266e+01 5.202014e+06 8.163602e+06
3.365535e+01 5.014659e+06 7.851303e+06
3.412449e+01 4.834727e+06 7.560846e+06
3.460016e+01 4.671383e+06 7.289324e+06
3.508247e+01 4.499100e+06 7.040597e+06
3.557150e+01 4.344668e+06 6.774354e+06
3.606735e+01 4.184476e+06 6.529254e+06
3.657011e+01 4.042632e+06 6.301402e+06
3.707988e+01 3.894292e+06 6.070030e+06
3.759675e+01 3.746134e+06 5.842400e+06
3.812083e+01 3.611745e+06 5.631177e+06
3.865221e+01 3.478151e+06 5.424164e+06
3.919100e+01 3.354036e+06 5.225341e+06
3.973730e+01 3.237434e+06 5.029799e+06
4.029122e+01 3.120866e+06 4.839202e+06
4.085286e+01 3.009948e+06 4.667309e+06
4.142232e+01 2.894497e+06 4.511062e+06
4.199973e+01 2.789668e+06 4.357075e+06
4.258518e+01 2.693071e+06 4.198719e+06
4.317880e+01 2.593179e+06 4.047787e+06
4.378069e+01 2.497105e+06 3.898365e+06
4.439097e+01 2.410195e+06 3.756623e+06
4.500975e+01 2.320553e+06 3.627648e+06
4.563716e+01 2.234863e+06 3.493942e+06
4.627332e+01 2.151604e+06 3.370001e+06
4.691835e+01 2.067996e+06 3.250018e+06
4.757236e+01 1.991888e+06 3.132066e+06
4.823549e+01 1.921122e+06 3.019506e+06
4.890787e+01 1.848725e+06 2.913481e+06
4.958962e+01 1.780363e+06 2.807513e+06
5.028087e+01 1.709738e+06 2.710496e+06
5.098176e+01 1.641291e+06 2.609766e+06
5.169242e+01 1.580068e+06 2.510193e+06
5.241298e+01 1.521649e+06 2.424239e+06
5.314359e+01 1.463932e+06 2.340332e+06
5.388438e+01 1.409895e+06 2.258866e+06
5.463550e+01 1.354563e+06 2.175628e+06
5.539709e+01 1.303112e+06 2.102523e+06
5.616930e+01 1.257251e+06 2.028186e+06
5.695227e+01 1.213089e+06 1.955073e+06
5.774615e+01 1.166600e+06 1.886164e+06
5.855110e+01 1.122916e+06 1.817743e+06
5.936727e+01 1.079780e+06 1.747411e+06
6.019482e+01 1.038222e+06 1.687601e+06
6.103390e+01 9.984928e+05 1.627252e+06
6.188468e+01 9.593882e+05 1.571965e+06
6.274732e+01 9.236085e+05 1.517381e+06
6.362198e+01 8.878504e+05 1.466763e+06
6.450884e+01 8.531055e+05 1.416187e+06
6.540806e+01 8.179109e+05 1.369985e+06
6.631981e+01 7.844444e+05 1.321816e+06
6.724427e+01 7.547402e+05 1.274686e+06
6.818162e+01 7.243291e+05 1.229331e+06
6.913204e+01 6.948513e+05 1.188458e+06
7.009570e+01 6.690224e+05 1.148247e+06
7.107280e+01 6.411513e+05 1.110840e+06
7.206351e+01 6.158439e+05 1.070928e+06
7.306804e+01 5.917492e+05 1.033945e+06
7.408657e+01 5.687982e+05 9.985600e+05
7.511929e+01 5.466199e+05 9.642448e+05
7.616642e+01 5.249677e+05 9.313237e+05
7.722814e+01 5.045933e+05 8.992786e+05
7.830465e+01 4.835902e+05 8.687772e+05
7.939618e+01 4.648568e+05 8.407660e+05
8.050292e+01 4.459716e+05 8.135155e+05
8.162509e+01 4.287496e+05 7.871771e+05
8.276289e+01 4.119902e+05 7.584224e+05
8.391656e+01 3.959971e+05 7.339316e+05
8.508632e+01 3.811026e+05 7.099709e+05
8.627237e+01 3.665870e+05 6.851974e+05
8.747496e+01 3.520057e+05 6.631778e+05
8.869432e+01 3.379193e+05 6.411486e+05
8.993067e+01 3.241104e+05 6.203495e+05
9.118425e+01 3.116156e+05 6.000144e+05
9.245531e+01 2.993748e+05 5.795648e+05
9.374409e+01 2.876232e+05 5.604021e+05
9.505083e+01 2.763114e+05 5.426662e+05
9.637579e+01 2.652454e+05 5.241754e+05
9.771921e+01 2.550427e+05 5.055870e+05
9.908137e+01 2.450425e+05 4.890666e+05
1.004625e+02 2.354550e+05 4.731777e+05
1.018629e+02 2.263203e+05 4.580917e+05
1.032828e+02 2.171931e+05 4.434145e+05
1.047225e+02 2.085150e+05 4.291587e+05
1.061823e+02 1.999234e+05 4.149234e+05
1.076624e+02 1.922489e+05 4.012534e+05
1.091632e+02 1.847252e+05 3.880243e+05
1.106848e+02 1.776421e+05 3.750855e+05
1.122277e+02 1.706633e+05 3.625604e+05
1.137921e+02 1.638069e+05 3.501669e+05
1.153783e+02 1.572652e+05 3.382197e+05
1.169866e+02 1.513882e+05 3.267526e+05
1.186174e+02 1.454661e+05 3.163552e+05
1.202708e+02 1.396013e+05 3.063181e+05
1.219473e+02 1.341850e+05 2.962355e+05
1.236472e+02 1.288898e+05 2.864852e+05
1.253708e+02 1.236606e+05 2.770915e+05
1.271184e+02 1.187593e+05 2.681526e+05
1.288904e+02 1.141491e+05 2.594785e+05
1.306870e+02 1.094432e+05 2.510616e+05
1.325087e+02 1.051832e+05 2.429046e+05
1.343558e+02 1.012344e+05 2.347743e+05
1.362287e+02 9.723032e+04 2.272765e+05
1.381276e+02 9.326810e+04 2.199900e+05
1.400531e+02 8.953254e+04 2.123616e+05
1.420053e+02 8.581782e+04 2.049726e+05
1.439848e+02 8.238566e+04 1.978408e+05
1.459919e+02 7.894225e+04 1.912229e+05
1.480269e+02 7.579661e+04 1.848717e+05
1.500903e+02 7.269604e+04 1.787317e+05
1.521825e+02 6.975044e+04 1.731085e+05
1.543038e+02 6.714374e+04 1.673869e+05
1.564548e+02 6.456936e+04 1.617558e+05
1.586357e+02 6.196749e+04 1.564587e+05
1.608469e+02 5.948786e+04 1.512564e+05
1.630891e+02 5.715622e+04 1.463850e+05
1.653624e+02 5.480537e+04 1.416674e+05
1.676675e+02 5.269648e+04 1.370793e+05
1.700047e+02 5.056636e+04 1.326217e+05
1.723745e+02 4.850167e+04 1.283094e+05
1.747773e+02 4.647696e+04 1.240636e+05
1.772136e+02 4.457777e+04 1.198800e+05
1.796838e+02 4.276985e+04 1.158377e+05
1.821885e+02 4.106406e+04 1.119944e+05
1.847281e+02 3.934209e+04 1.082541e+05
1.873032e+02 3.774228e+04 1.046207e+05
1.899141e+02 3.624168e+04 1.011095e+05
1.925614e+02 3.481337e+04 9.771627e+04
1.952456e+02 3.344867e+04 9.443716e+04
1.979672e+02 3.212796e+04 9.126828e+04
2.007267e+02 3.079968e+04 8.842583e+04
2.035248e+02 2.954378e+04 8.577409e+04
2.063618e+02 2.828366e+04 8.294584e+04
2.092383e+02 2.709644e+04 8.004540e+04
2.121550e+02 2.597003e+04 7.724657e+04
2.151123e+02 2.489310e+04 7.454579e+04
2.181109e+02 2.387020e+04 7.202252e+04
2.211512e+02 2.291870e+04 6.963263e+04
2.242340e+02 2.195707e+04 6.732216e+04
2.273597e+02 2.108451e+04 6.508847e+04
2.305289e+02 2.022268e+04 6.298400e+04
2.337424e+02 1.945059e+04 6.100452e+04
2.370006e+02 1.866627e+04 5.897799e+04
2.403043e+02 1.788780e+04 5.701384e+04
2.436540e+02 1.717179e+04 5.515122e+04
2.470504e+02 1.647444e+04 5.334953e+04
2.504942e+02 1.577790e+04 5.157509e+04
2.539859e+02 1.514311e+04 4.983487e+04
2.575263e+02 1.454468e+04 4.815347e+04
2.611161e+02 1.397016e+04 4.652889e+04
2.647559e+02 1.339802e+04 4.503369e+04
2.684465e+02 1.289986e+04 4.359312e+04
2.721885e+02 1.238970e+04 4.220061e+04
2.759826e+02 1.187548e+04 4.085253e+04
2.798297e+02 1.141357e+04 3.952894e+04
2.837304e+02 1.097141e+04 3.827082e+04
2.876854e+02 1.052429e+04 3.705281e+04
2.916956e+02 1.009425e+04 3.592752e+04
2.957617e+02 9.680287e+03 3.472462e+04
2.998844e+02 9.290126e+03 3.361153e+04
3.040646e+02 8.910430e+03 3.253606e+04
3.083031e+02 8.546831e+03 3.147223e+04
3.126007e+02 8.195873e+03 3.043906e+04
3.169582e+02 7.863875e+03 2.943989e+04
3.213764e+02 7.542377e+03 2.853645e+04
3.258562e+02 7.236402e+03 2.761445e+04
3.303985e+02 6.950689e+03 2.672229e+04
3.350041e+02 6.671700e+03 2.585899e+04
3.396739e+02 6.386721e+03 2.502362e+04
