# Energy(MeV) Phi_16_Spherical Phi_84_Spherical
6.217090e+00 8.744097e+08 1.213954e+09
6.303753e+00 8.529750e+08 1.184553e+09
6.391624e+00 8.331840e+08 1.156445e+09
6.480720e+00 8.127000e+08 1.128903e+09
6.571058e+00 7.905160e+08 1.102966e+09
6.662655e+00 7.684944e+08 1.076662e+09
6.755528e+00 7.483930e+08 1.051358e+09
6.849697e+00 7.272696e+08 1.026766e+09
6.945178e+00 7.089730e+08 1.000753e+09
7.041990e+00 6.915796e+08 9.771360e+08
7.140151e+00 6.738484e+08 9.541055e+08
7.239681e+00 6.566564e+08 9.311562e+08
7.340598e+00 6.404687e+08 9.084528e+08
7.442922e+00 6.252304e+08 8.850893e+08
7.546673e+00 6.101738e+08 8.628609e+08
7.651869e+00 5.953771e+08 8.422933e+08
7.758532e+00 5.797424e+08 8.221265e+08
7.866682e+00 5.654930e+08 8.020089e+08
7.976339e+00 5.500205e+08 7.824273e+08
8.087525e+00 5.362387e+08 7.633614e+08
8.200261e+00 5.225518e+08 7.446755e+08
8.314568e+00 5.100987e+08 7.267943e+08
8.430468e+00 4.977701e+08 7.085709e+08
8.547985e+00 4.852827e+08 6.905766e+08
8.667139e+00 4.707712e+08 6.730489e+08
8.787954e+00 4.589120e+08 6.565130e+08
8.910453e+00 4.466993e+08 6.395558e+08
9.034660e+00 4.352362e+08 6.232682e+08
9.160598e+00 4.240580e+08 6.072589e+08
9.288292e+00 4.133454e+08 5.914357e+08
9.417766e+00 4.022084e+08 5.757903e+08
9.549045e+00 3.921094e+08 5.611195e+08
9.682153e+00 3.823611e+08 5.461408e+08
9.817117e+00 3.726682e+08 5.313151e+08
9.953962e+00 3.621085e+08 5.177238e+08
1.009272e+01 3.517552e+08 5.046124e+08
1.023340e+01 3.415767e+08 4.916899e+08
1.037605e+01 3.325372e+08 4.785774e+08
1.052069e+01 3.222017e+08 4.665961e+08
1.066734e+01 3.122584e+08 4.542777e+08
1.081604e+01 3.031202e+08 4.420777e+08
1.096681e+01 2.946732e+08 4.303695e+08
1.111968e+01 2.852440e+08 4.185380e+08
1.127468e+01 2.771892e+08 4.069566e+08
1.143184e+01 2.699341e+08 3.958523e+08
1.159120e+01 2.615707e+08 3.849738e+08
1.175277e+01 2.535172e+08 3.746081e+08
1.191660e+01 2.456232e+08 3.641268e+08
1.208271e+01 2.390468e+08 3.542905e+08
1.225114e+01 2.319644e+08 3.447304e+08
1.242191e+01 2.247473e+08 3.348835e+08
1.259506e+01 2.179384e+08 3.250676e+08
1.277063e+01 2.118799e+08 3.161433e+08
1.294865e+01 2.059615e+08 3.073342e+08
1.312915e+01 1.996021e+08 2.982886e+08
1.331216e+01 1.927638e+08 2.898477e+08
1.349772e+01 1.864201e+08 2.810080e+08
1.368587e+01 1.808329e+08 2.734446e+08
