# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
2.067883e+00 2.716137e+09
2.099924e+00 2.611177e+09
2.132463e+00 2.511023e+09
2.165505e+00 2.416666e+09
2.199060e+00 2.324936e+09
2.233134e+00 2.235495e+09
2.267737e+00 2.147356e+09
2.302875e+00 2.061557e+09
2.338559e+00 1.982837e+09
2.374795e+00 1.905676e+09
2.411592e+00 1.829439e+09
2.448960e+00 1.759359e+09
2.486906e+00 1.691577e+09
2.525441e+00 1.625856e+09
2.564573e+00 1.562090e+09
2.604311e+00 1.502153e+09
2.644665e+00 1.444929e+09
2.685644e+00 1.389011e+09
2.727258e+00 1.335757e+09
2.769517e+00 1.284097e+09
2.812431e+00 1.234334e+09
2.856009e+00 1.185980e+09
2.900263e+00 1.140629e+09
2.945203e+00 1.095796e+09
2.990839e+00 1.052927e+09
3.037182e+00 1.012606e+09
3.084243e+00 9.741742e+08
3.132033e+00 9.347384e+08
3.180564e+00 8.985947e+08
3.229847e+00 8.638497e+08
3.279894e+00 8.302269e+08
3.330716e+00 7.970939e+08
3.382325e+00 7.654960e+08
3.434734e+00 7.356678e+08
3.487956e+00 7.068683e+08
3.542002e+00 6.796564e+08
3.596885e+00 6.536482e+08
3.652619e+00 6.277752e+08
3.709216e+00 6.033600e+08
3.766690e+00 5.791072e+08
3.825055e+00 5.562293e+08
3.884325e+00 5.344204e+08
3.944512e+00 5.139425e+08
4.005633e+00 4.938699e+08
4.067700e+00 4.749042e+08
4.130729e+00 4.567720e+08
4.194735e+00 4.391493e+08
4.259732e+00 4.218331e+08
4.325737e+00 4.049999e+08
4.392764e+00 3.886294e+08
4.460830e+00 3.734535e+08
4.529951e+00 3.589010e+08
4.600143e+00 3.443560e+08
4.671422e+00 3.304487e+08
4.743806e+00 3.176070e+08
4.817311e+00 3.053645e+08
4.891955e+00 2.934287e+08
4.967756e+00 2.816016e+08
5.044732e+00 2.704555e+08
5.122900e+00 2.598287e+08
5.202279e+00 2.495458e+08
5.282889e+00 2.398592e+08
5.364747e+00 2.304994e+08
5.447874e+00 2.215239e+08
5.532289e+00 2.128963e+08
5.618012e+00 2.044253e+08
5.705063e+00 1.962078e+08
5.793463e+00 1.884690e+08
5.883233e+00 1.812687e+08
5.974393e+00 1.741866e+08
6.066967e+00 1.671338e+08
6.160975e+00 1.606068e+08
6.256439e+00 1.543681e+08
6.353383e+00 1.482355e+08
6.451828e+00 1.423918e+08
6.551800e+00 1.366469e+08
6.653320e+00 1.313822e+08
6.756413e+00 1.261733e+08
6.861104e+00 1.211568e+08
6.967417e+00 1.164101e+08
7.075377e+00 1.117252e+08
7.185010e+00 1.073352e+08
7.296342e+00 1.029777e+08
7.409399e+00 9.887968e+07
7.524208e+00 9.492942e+07
7.640795e+00 9.119274e+07
7.759190e+00 8.758338e+07
7.879418e+00 8.412715e+07
8.001510e+00 8.076597e+07
8.125494e+00 7.758278e+07
8.251398e+00 7.442705e+07
8.379254e+00 7.148350e+07
8.509090e+00 6.860604e+07
8.640939e+00 6.584939e+07
8.774830e+00 6.321253e+07
8.910797e+00 6.069636e+07
9.048869e+00 5.826559e+07
9.189082e+00 5.600250e+07
9.331467e+00 5.375418e+07
9.476058e+00 5.161281e+07
9.622890e+00 4.955761e+07
9.771997e+00 4.753124e+07
9.923414e+00 4.559195e+07
1.007718e+01 4.373909e+07
1.023332e+01 4.197138e+07
1.039189e+01 4.028751e+07
1.055291e+01 3.866897e+07
1.071643e+01 3.711026e+07
1.088248e+01 3.562998e+07
1.105110e+01 3.420013e+07
1.122234e+01 3.280791e+07
1.139623e+01 3.146914e+07
1.157282e+01 3.020561e+07
1.175214e+01 2.900054e+07
1.193424e+01 2.783939e+07
1.211916e+01 2.669309e+07
1.230694e+01 2.560415e+07
1.249764e+01 2.455702e+07
1.269129e+01 2.355363e+07
1.288794e+01 2.259947e+07
1.308764e+01 2.167141e+07
1.329044e+01 2.077473e+07
1.349637e+01 1.991560e+07
1.370550e+01 1.910012e+07
1.391787e+01 1.831581e+07
1.413352e+01 1.756380e+07
1.435252e+01 1.683067e+07
1.457491e+01 1.614277e+07
1.480075e+01 1.548640e+07
1.503009e+01 1.484321e+07
1.526298e+01 1.423584e+07
1.549948e+01 1.365025e+07
1.573965e+01 1.308735e+07
1.598353e+01 1.254154e+07
1.623120e+01 1.202669e+07
1.648270e+01 1.152357e+07
1.673810e+01 1.104689e+07
1.699746e+01 1.058878e+07
