# Energy(MeV) Phi16_Planar Phi84_Planar
7.611480e-01 1.795770e+09 1.086437e+10
7.729420e-01 1.719395e+09 1.041057e+10
7.849188e-01 1.646268e+09 9.979412e+09
7.970811e-01 1.576251e+09 9.580850e+09
8.094319e-01 1.509213e+09 9.211807e+09
8.219740e-01 1.445025e+09 8.847066e+09
8.347105e-01 1.383568e+09 8.487796e+09
8.476444e-01 1.324724e+09 8.142314e+09
8.607786e-01 1.268384e+09 7.813273e+09
8.741164e-01 1.214439e+09 7.503491e+09
8.876609e-01 1.162789e+09 7.192891e+09
9.014152e-01 1.113335e+09 6.894715e+09
9.153826e-01 1.065985e+09 6.620933e+09
9.295665e-01 1.020649e+09 6.361910e+09
9.439702e-01 9.772406e+08 6.112893e+09
9.585970e-01 9.359051e+08 5.876876e+09
9.734505e-01 8.964776e+08 5.646764e+09
9.885341e-01 8.587112e+08 5.420970e+09
1.003851e+00 8.225358e+08 5.204939e+09
1.019406e+00 7.878844e+08 5.001264e+09
1.035202e+00 7.546928e+08 4.802945e+09
1.051242e+00 7.228996e+08 4.615681e+09
1.067531e+00 6.924458e+08 4.430595e+09
1.084073e+00 6.632749e+08 4.254590e+09
1.100870e+00 6.353330e+08 4.085512e+09
1.117928e+00 6.085682e+08 3.919442e+09
1.135251e+00 5.829309e+08 3.762797e+09
1.152842e+00 5.583737e+08 3.610000e+09
1.170705e+00 5.348511e+08 3.471345e+09
1.188845e+00 5.123194e+08 3.335695e+09
1.207266e+00 4.907370e+08 3.200650e+09
1.225973e+00 4.700637e+08 3.074805e+09
1.244969e+00 4.502614e+08 2.954888e+09
1.264260e+00 4.312934e+08 2.836500e+09
1.283850e+00 4.131244e+08 2.723191e+09
1.303743e+00 3.957208e+08 2.611458e+09
1.323945e+00 3.790504e+08 2.504571e+09
1.344459e+00 3.630823e+08 2.404149e+09
1.365291e+00 3.477869e+08 2.310845e+09
1.386447e+00 3.331358e+08 2.219440e+09
1.407930e+00 3.191020e+08 2.131917e+09
1.429746e+00 3.056594e+08 2.045590e+09
1.451900e+00 2.927831e+08 1.964966e+09
1.474397e+00 2.804492e+08 1.888334e+09
1.497243e+00 2.686349e+08 1.812328e+09
1.520442e+00 2.573183e+08 1.741058e+09
1.544002e+00 2.464785e+08 1.672330e+09
1.567926e+00 2.360953e+08 1.605098e+09
1.592221e+00 2.261496e+08 1.541334e+09
1.616892e+00 2.166228e+08 1.480169e+09
1.641946e+00 2.074973e+08 1.421245e+09
1.667388e+00 1.987563e+08 1.365224e+09
1.693224e+00 1.903835e+08 1.311204e+09
1.719461e+00 1.823635e+08 1.259513e+09
1.746104e+00 1.746813e+08 1.209546e+09
1.773160e+00 1.673227e+08 1.161236e+09
1.800635e+00 1.598129e+08 1.115225e+09
1.828536e+00 1.525769e+08 1.070342e+09
1.856869e+00 1.456688e+08 1.028071e+09
1.885641e+00 1.390737e+08 9.876212e+08
1.914859e+00 1.327773e+08 9.489769e+08
1.944530e+00 1.267662e+08 9.116111e+08
1.974661e+00 1.210274e+08 8.757311e+08
2.005258e+00 1.156107e+08 8.417642e+08
2.036330e+00 1.106246e+08 8.081174e+08
2.067883e+00 1.058538e+08 7.762165e+08
2.099924e+00 1.012889e+08 7.451422e+08
2.132463e+00 9.694729e+07 7.156108e+08
2.165505e+00 9.285220e+07 6.869001e+08
2.199060e+00 8.893017e+07 6.600569e+08
2.233134e+00 8.517388e+07 6.338369e+08
2.267737e+00 8.157632e+07 6.088785e+08
2.302875e+00 7.815266e+07 5.845817e+08
2.338559e+00 7.498072e+07 5.610927e+08
2.374795e+00 7.193758e+07 5.388374e+08
2.411592e+00 6.901800e+07 5.170059e+08
2.448960e+00 6.621697e+07 4.963034e+08
2.486906e+00 6.352968e+07 4.768498e+08
2.525441e+00 6.095149e+07 4.578763e+08
2.564573e+00 5.847799e+07 4.399244e+08
2.604311e+00 5.610491e+07 4.221140e+08
2.644665e+00 5.382817e+07 4.053288e+08
2.685644e+00 5.164387e+07 3.891648e+08
2.727258e+00 4.955243e+07 3.741746e+08
2.769517e+00 4.755807e+07 3.594162e+08
2.812431e+00 4.564399e+07 3.454044e+08
2.856009e+00 4.380694e+07 3.313773e+08
2.900263e+00 4.204383e+07 3.186142e+08
2.945203e+00 4.035168e+07 3.063749e+08
2.990839e+00 3.872763e+07 2.943690e+08
3.037182e+00 3.716895e+07 2.826271e+08
3.084243e+00 3.563680e+07 2.715298e+08
3.132033e+00 3.414734e+07 2.607626e+08
3.180564e+00 3.272015e+07 2.505009e+08
3.229847e+00 3.135262e+07 2.404636e+08
3.279894e+00 3.004225e+07 2.310784e+08
3.330716e+00 2.878666e+07 2.219788e+08
3.382325e+00 2.758355e+07 2.133698e+08
3.434734e+00 2.643074e+07 2.049242e+08
3.487956e+00 2.532612e+07 1.968777e+08
3.542002e+00 2.426766e+07 1.890703e+08
3.596885e+00 2.325346e+07 1.815875e+08
3.652619e+00 2.228164e+07 1.743445e+08
3.709216e+00 2.135045e+07 1.675071e+08
3.766690e+00 2.045818e+07 1.609428e+08
3.825055e+00 1.960321e+07 1.545223e+08
3.884325e+00 1.878397e+07 1.484650e+08
3.944512e+00 1.799898e+07 1.425835e+08
4.005633e+00 1.724679e+07 1.370206e+08
4.067700e+00 1.652605e+07 1.315933e+08
4.130729e+00 1.584667e+07 1.264202e+08
4.194735e+00 1.520084e+07 1.214341e+08
4.259732e+00 1.458135e+07 1.167470e+08
4.325737e+00 1.398710e+07 1.122941e+08
4.392764e+00 1.341708e+07 1.078406e+08
