# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
5.746775e-01 1.169729e+10
5.818449e-01 1.139473e+10
5.891017e-01 1.109757e+10
5.964489e-01 1.079317e+10
6.038878e-01 1.049634e+10
6.114195e-01 1.019314e+10
6.190451e-01 9.904984e+09
6.267658e-01 9.633289e+09
6.345829e-01 9.390451e+09
6.424974e-01 9.138622e+09
6.505106e-01 8.881397e+09
6.586238e-01 8.635292e+09
6.668381e-01 8.399754e+09
6.751549e-01 8.162988e+09
6.835754e-01 7.947497e+09
6.921010e-01 7.727732e+09
7.007328e-01 7.529167e+09
7.094724e-01 7.326715e+09
7.183209e-01 7.135726e+09
7.272798e-01 6.948233e+09
7.363504e-01 6.772837e+09
7.455342e-01 6.601584e+09
7.548325e-01 6.419187e+09
7.642467e-01 6.234023e+09
7.737784e-01 6.063924e+09
7.834289e-01 5.899628e+09
7.931999e-01 5.744063e+09
8.030926e-01 5.590184e+09
8.131088e-01 5.435135e+09
8.232499e-01 5.273891e+09
8.335175e-01 5.127758e+09
8.439131e-01 4.988933e+09
8.544383e-01 4.860303e+09
8.650949e-01 4.730033e+09
8.758843e-01 4.601300e+09
8.868084e-01 4.475655e+09
8.978686e-01 4.356026e+09
9.090668e-01 4.229545e+09
9.204047e-01 4.109912e+09
9.318840e-01 4.001368e+09
9.435064e-01 3.900600e+09
9.552738e-01 3.802473e+09
9.671880e-01 3.704639e+09
9.792507e-01 3.610872e+09
9.914639e-01 3.510105e+09
1.003829e+00 3.421292e+09
1.016349e+00 3.343174e+09
1.029025e+00 3.276958e+09
1.041859e+00 3.187137e+09
1.054853e+00 3.125809e+09
1.068009e+00 3.047916e+09
1.081329e+00 2.954619e+09
1.094816e+00 2.878700e+09
1.108470e+00 2.819785e+09
1.122295e+00 2.756800e+09
1.136292e+00 2.695539e+09
1.150464e+00 2.626624e+09
1.164813e+00 2.558003e+09
1.179340e+00 2.494093e+09
1.194049e+00 2.433347e+09
1.208941e+00 2.370477e+09
1.224019e+00 2.301535e+09
1.239285e+00 2.245197e+09
1.254741e+00 2.190216e+09
1.270391e+00 2.139617e+09
1.286235e+00 2.088346e+09
1.302277e+00 2.028465e+09
1.318519e+00 1.972770e+09
1.334963e+00 1.918271e+09
1.351613e+00 1.866224e+09
1.368470e+00 1.812337e+09
1.385538e+00 1.761350e+09
1.402818e+00 1.714019e+09
1.420314e+00 1.666329e+09
1.438028e+00 1.616601e+09
1.455963e+00 1.575269e+09
1.474122e+00 1.526374e+09
1.492507e+00 1.482342e+09
1.511122e+00 1.442596e+09
1.529969e+00 1.403037e+09
1.549050e+00 1.362869e+09
1.568370e+00 1.327198e+09
1.587931e+00 1.286914e+09
1.607735e+00 1.252691e+09
1.627787e+00 1.218804e+09
1.648089e+00 1.187462e+09
1.668644e+00 1.153067e+09
1.689455e+00 1.118447e+09
1.710526e+00 1.088011e+09
1.731859e+00 1.055593e+09
1.753459e+00 1.024025e+09
1.775328e+00 9.945605e+08
1.797470e+00 9.677335e+08
1.819888e+00 9.406119e+08
1.842586e+00 9.128769e+08
1.865567e+00 8.845734e+08
1.888834e+00 8.572416e+08
1.912391e+00 8.322432e+08
1.936243e+00 8.084481e+08
1.960392e+00 7.841370e+08
1.984842e+00 7.604954e+08
2.009596e+00 7.377796e+08
2.034660e+00 7.160011e+08
2.060036e+00 6.941776e+08
2.085729e+00 6.741011e+08
2.111742e+00 6.541353e+08
2.138080e+00 6.347810e+08
2.164746e+00 6.150250e+08
