# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
5.746775e-01 4.678916e+10
5.818449e-01 4.557893e+10
5.891017e-01 4.439028e+10
5.964489e-01 4.317267e+10
6.038878e-01 4.198536e+10
6.114195e-01 4.077255e+10
6.190451e-01 3.961994e+10
6.267658e-01 3.853315e+10
6.345829e-01 3.756181e+10
6.424974e-01 3.655449e+10
6.505106e-01 3.552559e+10
6.586238e-01 3.454117e+10
6.668381e-01 3.359902e+10
6.751549e-01 3.265195e+10
6.835754e-01 3.178999e+10
6.921010e-01 3.091093e+10
7.007328e-01 3.011667e+10
7.094724e-01 2.930686e+10
7.183209e-01 2.854290e+10
7.272798e-01 2.779293e+10
7.363504e-01 2.709135e+10
7.455342e-01 2.640634e+10
7.548325e-01 2.567675e+10
7.642467e-01 2.493609e+10
7.737784e-01 2.425570e+10
7.834289e-01 2.359851e+10
7.931999e-01 2.297625e+10
8.030926e-01 2.236073e+10
8.131088e-01 2.174054e+10
8.232499e-01 2.109557e+10
8.335175e-01 2.051103e+10
8.439131e-01 1.995573e+10
8.544383e-01 1.944121e+10
8.650949e-01 1.892013e+10
8.758843e-01 1.840520e+10
8.868084e-01 1.790262e+10
8.978686e-01 1.742411e+10
9.090668e-01 1.691818e+10
9.204047e-01 1.643965e+10
9.318840e-01 1.600547e+10
9.435064e-01 1.560240e+10
9.552738e-01 1.520989e+10
9.671880e-01 1.481855e+10
9.792507e-01 1.444349e+10
9.914639e-01 1.404042e+10
1.003829e+00 1.368517e+10
1.016349e+00 1.337270e+10
1.029025e+00 1.310783e+10
1.041859e+00 1.274855e+10
1.054853e+00 1.250324e+10
1.068009e+00 1.219166e+10
1.081329e+00 1.181848e+10
1.094816e+00 1.151480e+10
1.108470e+00 1.127914e+10
1.122295e+00 1.102720e+10
1.136292e+00 1.078216e+10
1.150464e+00 1.050649e+10
1.164813e+00 1.023201e+10
1.179340e+00 9.976374e+09
1.194049e+00 9.733389e+09
1.208941e+00 9.481907e+09
1.224019e+00 9.206141e+09
1.239285e+00 8.980790e+09
1.254741e+00 8.760863e+09
1.270391e+00 8.558468e+09
1.286235e+00 8.353382e+09
1.302277e+00 8.113859e+09
1.318519e+00 7.891080e+09
1.334963e+00 7.673086e+09
1.351613e+00 7.464894e+09
1.368470e+00 7.249347e+09
1.385538e+00 7.045400e+09
1.402818e+00 6.856075e+09
1.420314e+00 6.665316e+09
1.438028e+00 6.466406e+09
1.455963e+00 6.301075e+09
1.474122e+00 6.105495e+09
1.492507e+00 5.929369e+09
1.511122e+00 5.770383e+09
1.529969e+00 5.612148e+09
1.549050e+00 5.451477e+09
1.568370e+00 5.308791e+09
1.587931e+00 5.147654e+09
1.607735e+00 5.010763e+09
