# Energy(MeV) Phi16_Planar Phi84_Planar
2.567605e-01 9.908682e+09 8.252843e+14
2.599628e-01 9.819969e+09 7.969887e+14
2.632050e-01 9.731662e+09 7.696633e+14
2.664877e-01 9.643759e+09 7.432747e+14
2.698114e-01 9.556258e+09 7.177909e+14
2.731764e-01 9.469160e+09 6.931809e+14
2.765835e-01 9.382461e+09 6.694146e+14
2.800330e-01 9.296161e+09 6.464632e+14
2.835256e-01 9.210259e+09 6.242987e+14
2.870617e-01 9.124753e+09 6.028941e+14
2.906420e-01 9.039643e+09 5.822233e+14
2.942668e-01 8.954927e+09 5.622613e+14
2.979369e-01 8.870603e+09 5.429838e+14
3.016528e-01 8.786672e+09 5.243671e+14
3.054150e-01 8.703131e+09 5.063888e+14
3.092241e-01 8.619981e+09 4.890268e+14
3.130808e-01 8.532003e+09 4.722601e+14
3.169855e-01 8.410718e+09 4.560683e+14
3.209390e-01 8.290983e+09 4.404316e+14
3.249417e-01 8.199733e+09 4.253311e+14
3.289944e-01 8.102802e+09 4.107483e+14
3.330976e-01 7.982018e+09 3.966654e+14
3.372520e-01 7.877988e+09 3.830654e+14
3.414582e-01 7.811876e+09 3.699317e+14
3.457168e-01 7.723000e+09 3.572483e+14
3.500286e-01 7.651346e+09 3.449998e+14
3.543942e-01 7.561357e+09 3.331712e+14
3.588142e-01 7.447110e+09 3.217481e+14
3.632893e-01 7.331152e+09 3.107167e+14
3.678202e-01 7.216600e+09 3.000636e+14
3.724077e-01 7.103438e+09 2.897757e+14
3.770524e-01 6.993658e+09 2.798405e+14
3.817549e-01 6.905572e+09 2.702459e+14
3.865162e-01 6.805598e+09 2.609803e+14
3.913368e-01 6.704772e+09 2.520324e+14
3.962176e-01 6.612963e+09 2.433913e+14
4.011592e-01 6.516114e+09 2.350464e+14
4.061624e-01 6.437912e+09 2.269877e+14
4.112281e-01 6.362519e+09 2.192052e+14
4.163569e-01 6.290772e+09 2.116896e+14
4.215497e-01 6.231395e+09 2.044316e+14
4.268073e-01 6.188175e+09 1.974225e+14
4.321304e-01 6.110035e+09 1.906538e+14
4.375199e-01 6.024992e+09 1.841170e+14
4.429767e-01 5.962698e+09 1.778045e+14
4.485015e-01 5.873067e+09 1.717083e+14
4.540952e-01 5.800770e+09 1.658211e+14
4.597587e-01 5.716587e+09 1.601358e+14
4.654928e-01 5.641630e+09 1.546455e+14
4.712984e-01 5.571402e+09 1.493433e+14
4.771764e-01 5.498732e+09 1.442230e+14
4.831277e-01 5.430159e+09 1.392782e+14
4.891533e-01 5.353007e+09 1.345029e+14
4.952540e-01 5.280523e+09 1.298914e+14
5.014308e-01 5.217084e+09 1.254379e+14
5.076847e-01 5.135149e+09 1.211372e+14
5.140165e-01 5.062950e+09 1.169839e+14
5.204273e-01 5.011212e+09 1.129730e+14
5.269181e-01 4.928939e+09 1.090997e+14
5.334898e-01 4.864218e+09 1.053591e+14
5.401435e-01 4.791605e+09 1.017468e+14
5.468801e-01 4.717756e+09 9.825833e+13
5.537008e-01 4.651202e+09 9.488947e+13
5.606066e-01 4.565259e+09 9.163611e+13
5.675984e-01 4.498325e+09 8.849430e+13
5.746775e-01 4.453172e+09 8.546021e+13
5.818449e-01 4.415948e+09 8.253014e+13
5.891017e-01 4.348964e+09 7.970053e+13
5.964489e-01 4.273466e+09 7.696794e+13
6.038878e-01 4.200734e+09 7.432904e+13
6.114195e-01 4.138908e+09 7.178061e+13
6.190451e-01 4.086002e+09 6.931956e+13
6.267658e-01 4.053313e+09 6.694288e+13
6.345829e-01 3.999421e+09 6.464770e+13
6.424974e-01 3.930669e+09 6.243120e+13
6.505106e-01 3.879448e+09 6.029070e+13
6.586238e-01 3.808025e+09 5.822359e+13
6.668381e-01 3.749504e+09 5.622735e+13
6.751549e-01 3.702202e+09 5.429956e+13
6.835754e-01 3.642673e+09 5.243786e+13
6.921010e-01 3.566066e+09 5.063999e+13
7.007328e-01 3.508957e+09 4.890376e+13
7.094724e-01 3.459482e+09 4.722706e+13
7.183209e-01 3.425206e+09 4.560784e+13
7.272798e-01 3.366033e+09 4.404414e+13
7.363504e-01 3.314148e+09 4.253406e+13
7.455342e-01 3.264509e+09 4.107575e+13
7.548325e-01 3.224379e+09 3.966744e+13
7.642467e-01 3.180948e+09 3.830741e+13
7.737784e-01 3.133405e+09 3.699401e+13
7.834289e-01 3.080153e+09 3.572565e+13
