# Energy(MeV) Phi16_Spherical Phi84_Spherical
2.567605e-01 3.963473e+10 3.301137e+15
2.599628e-01 3.927988e+10 3.187955e+15
2.632050e-01 3.892665e+10 3.078653e+15
2.664877e-01 3.857503e+10 2.973099e+15
2.698114e-01 3.822503e+10 2.871164e+15
2.731764e-01 3.787664e+10 2.772724e+15
2.765835e-01 3.752984e+10 2.677658e+15
2.800330e-01 3.718464e+10 2.585853e+15
2.835256e-01 3.684104e+10 2.497195e+15
2.870617e-01 3.649901e+10 2.411576e+15
2.906420e-01 3.615857e+10 2.328893e+15
2.942668e-01 3.581971e+10 2.249045e+15
2.979369e-01 3.548241e+10 2.171935e+15
3.016528e-01 3.514669e+10 2.097468e+15
3.054150e-01 3.481253e+10 2.025555e+15
3.092241e-01 3.447992e+10 1.956107e+15
3.130808e-01 3.412801e+10 1.889041e+15
3.169855e-01 3.364287e+10 1.824273e+15
3.209390e-01 3.316393e+10 1.761727e+15
3.249417e-01 3.279893e+10 1.701324e+15
3.289944e-01 3.241121e+10 1.642993e+15
3.330976e-01 3.192807e+10 1.586662e+15
3.372520e-01 3.151195e+10 1.532262e+15
3.414582e-01 3.124750e+10 1.479727e+15
3.457168e-01 3.089200e+10 1.428993e+15
3.500286e-01 3.060539e+10 1.379999e+15
3.543942e-01 3.024543e+10 1.332685e+15
3.588142e-01 2.978844e+10 1.286993e+15
3.632893e-01 2.932461e+10 1.242867e+15
3.678202e-01 2.886640e+10 1.200254e+15
3.724077e-01 2.841375e+10 1.159103e+15
3.770524e-01 2.797463e+10 1.119362e+15
3.817549e-01 2.762229e+10 1.080984e+15
3.865162e-01 2.722239e+10 1.043921e+15
3.913368e-01 2.681909e+10 1.008130e+15
3.962176e-01 2.645185e+10 9.735651e+14
4.011592e-01 2.606446e+10 9.401857e+14
4.061624e-01 2.575165e+10 9.079507e+14
4.112281e-01 2.545007e+10 8.768209e+14
4.163569e-01 2.516309e+10 8.467584e+14
4.215497e-01 2.492558e+10 8.177266e+14
4.268073e-01 2.475270e+10 7.896902e+14
4.321304e-01 2.444014e+10 7.626151e+14
4.375199e-01 2.409997e+10 7.364682e+14
4.429767e-01 2.385079e+10 7.112178e+14
4.485015e-01 2.349227e+10 6.868332e+14
4.540952e-01 2.320308e+10 6.632846e+14
4.597587e-01 2.286635e+10 6.405433e+14
4.654928e-01 2.256652e+10 6.185818e+14
4.712984e-01 2.228561e+10 5.973732e+14
4.771764e-01 2.199493e+10 5.768918e+14
4.831277e-01 2.172064e+10 5.571127e+14
4.891533e-01 2.141203e+10 5.380116e+14
4.952540e-01 2.112209e+10 5.195655e+14
5.014308e-01 2.086834e+10 5.017518e+14
5.076847e-01 2.054059e+10 4.845488e+14
5.140165e-01 2.025180e+10 4.679357e+14
5.204273e-01 2.004485e+10 4.518922e+14
5.269181e-01 1.971576e+10 4.363987e+14
5.334898e-01 1.945687e+10 4.214365e+14
5.401435e-01 1.916642e+10 4.069872e+14
5.468801e-01 1.887102e+10 3.930333e+14
5.537008e-01 1.860481e+10 3.795579e+14
5.606066e-01 1.826104e+10 3.665445e+14
5.675984e-01 1.799330e+10 3.539772e+14
5.746775e-01 1.781269e+10 3.418408e+14
5.818449e-01 1.766379e+10 3.301206e+14
5.891017e-01 1.739586e+10 3.188021e+14
5.964489e-01 1.709386e+10 3.078718e+14
6.038878e-01 1.680294e+10 2.973161e+14
6.114195e-01 1.655563e+10 2.871224e+14
6.190451e-01 1.634401e+10 2.772782e+14
6.267658e-01 1.621325e+10 2.677715e+14
6.345829e-01 1.599768e+10 2.585908e+14
6.424974e-01 1.572268e+10 2.497248e+14
6.505106e-01 1.551779e+10 2.411628e+14
6.586238e-01 1.523210e+10 2.328944e+14
6.668381e-01 1.499802e+10 2.249094e+14
6.751549e-01 1.480881e+10 2.171982e+14
6.835754e-01 1.457069e+10 2.097514e+14
6.921010e-01 1.426426e+10 2.025599e+14
7.007328e-01 1.403583e+10 1.956150e+14
7.094724e-01 1.383793e+10 1.889082e+14
7.183209e-01 1.370082e+10 1.824314e+14
7.272798e-01 1.346413e+10 1.761766e+14
7.363504e-01 1.325659e+10 1.701362e+14
7.455342e-01 1.305803e+10 1.643030e+14
7.548325e-01 1.289752e+10 1.586697e+14
7.642467e-01 1.272379e+10 1.532296e+14
7.737784e-01 1.253362e+10 1.479760e+14
7.834289e-01 1.232061e+10 1.429026e+14
7.931999e-01 1.213084e+10 1.380031e+14
8.030926e-01 1.191045e+10 1.332715e+14
8.131088e-01 1.164504e+10 1.287022e+14
8.232499e-01 1.142665e+10 1.242896e+14
8.335175e-01 1.123097e+10 1.200282e+14
8.439131e-01 1.108243e+10 1.159130e+14
8.544383e-01 1.087676e+10 1.119388e+14
8.650949e-01 1.068081e+10 1.081009e+14
8.758843e-01 1.047871e+10 1.043946e+14
8.868084e-01 1.025482e+10 1.008153e+14
8.978686e-01 1.002321e+10 9.735882e+13
9.090668e-01 9.842848e+09 9.402080e+13
9.204047e-01 9.610339e+09 9.079723e+13
9.318840e-01 9.435521e+09 8.768419e+13
9.435064e-01 9.259733e+09 8.467787e+13
9.552738e-01 9.039828e+09 8.177463e+13
9.671880e-01 8.866443e+09 7.897093e+13
9.792507e-01 8.720573e+09 7.626336e+13
9.914639e-01 8.496152e+09 7.364862e+13
1.003829e+00 8.295214e+09 7.112352e+13
1.016349e+00 8.113731e+09 6.868500e+13
1.029025e+00 7.926755e+09 6.633009e+13
1.041859e+00 7.754685e+09 6.405592e+13
1.054853e+00 7.548099e+09 6.185971e+13
1.068009e+00 7.347958e+09 5.973881e+13
1.081329e+00 7.168316e+09 5.769063e+13
1.094816e+00 6.993933e+09 5.571266e+13
1.108470e+00 6.860021e+09 5.380252e+13
1.122295e+00 6.645602e+09 5.195786e+13
1.136292e+00 6.442735e+09 5.017645e+13
1.150464e+00 6.309540e+09 4.845611e+13
1.164813e+00 6.168238e+09 4.679476e+13
1.179340e+00 6.015919e+09 4.519037e+13
1.194049e+00 5.835732e+09 4.364099e+13
1.208941e+00 5.692438e+09 4.214473e+13
1.224019e+00 5.538504e+09 4.069977e+13
1.239285e+00 5.377318e+09 3.930435e+13
1.254741e+00 5.232062e+09 3.795677e+13
1.270391e+00 5.082227e+09 3.665540e+13
1.286235e+00 4.958342e+09 3.539865e+13
1.302277e+00 4.815813e+09 3.418498e+13
1.318519e+00 4.695916e+09 3.301292e+13
1.334963e+00 4.573729e+09 3.188105e+13
1.351613e+00 4.448785e+09 3.078799e+13
1.368470e+00 4.332380e+09 2.973240e+13
1.385538e+00 4.203989e+09 2.871301e+13
1.402818e+00 4.075880e+09 2.772856e+13
1.420314e+00 3.951361e+09 2.677787e+13
1.438028e+00 3.833472e+09 2.585978e+13
1.455963e+00 3.715290e+09 2.497316e+13
1.474122e+00 3.605063e+09 2.411693e+13
1.492507e+00 3.508936e+09 2.329007e+13
1.511122e+00 3.407729e+09 2.249155e+13
1.529969e+00 3.293947e+09 2.172042e+13
1.549050e+00 3.189887e+09 2.097572e+13
1.568370e+00 3.097736e+09 2.025655e+13
1.587931e+00 3.001564e+09 1.956204e+13
1.607735e+00 2.904931e+09 1.889135e+13
1.627787e+00 2.815156e+09 1.824364e+13
1.648089e+00 2.726782e+09 1.761815e+13
1.668644e+00 2.638572e+09 1.701410e+13
1.689455e+00 2.561906e+09 1.643076e+13
1.710526e+00 2.481831e+09 1.586742e+13
1.731859e+00 2.405191e+09 1.532340e+13
1.753459e+00 2.330299e+09 1.479802e+13
1.775328e+00 2.256980e+09 1.429066e+13
1.797470e+00 2.179908e+09 1.380070e+13
1.819888e+00 2.114887e+09 1.332753e+13
1.842586e+00 2.043487e+09 1.287059e+13
1.865567e+00 1.978753e+09 1.242931e+13
1.888834e+00 1.918001e+09 1.200317e+13
1.912391e+00 1.854474e+09 1.159163e+13
1.936243e+00 1.792741e+09 1.119420e+13
1.960392e+00 1.733619e+09 1.081040e+13
1.984842e+00 1.678233e+09 1.043976e+13
2.009596e+00 1.622007e+09 1.008183e+13
2.034660e+00 1.567359e+09 9.736167e+12
2.060036e+00 1.514047e+09 9.402356e+12
2.085729e+00 1.462805e+09 9.079990e+12
2.111742e+00 1.413592e+09 8.768677e+12
2.138080e+00 1.365760e+09 8.468038e+12
2.164746e+00 1.319532e+09 8.177706e+12
2.191745e+00 1.274739e+09 7.897328e+12
2.219080e+00 1.231344e+09 7.626563e+12
2.246756e+00 1.189426e+09 7.365082e+12
2.274778e+00 1.148935e+09 7.112566e+12
2.303149e+00 1.109034e+09 6.868707e+12
2.331874e+00 1.070517e+09 6.633209e+12
2.360957e+00 1.033527e+09 6.405785e+12
2.390403e+00 9.981636e+08 6.186159e+12
2.420216e+00 9.640099e+08 5.974063e+12
2.450401e+00 9.308227e+08 5.769239e+12
2.480962e+00 8.985450e+08 5.571437e+12
2.511905e+00 8.674547e+08 5.380417e+12
2.543233e+00 8.374403e+08 5.195946e+12
2.574952e+00 8.084643e+08 5.017800e+12
2.607067e+00 7.804910e+08 4.845761e+12
2.639582e+00 7.534855e+08 4.679622e+12
2.672503e+00 7.274145e+08 4.519178e+12
2.705835e+00 7.022456e+08 4.364235e+12
2.739582e+00 6.780478e+08 4.214605e+12
2.773750e+00 6.547387e+08 4.070105e+12
2.808344e+00 6.322310e+08 3.930559e+12
2.843370e+00 6.104970e+08 3.795797e+12
2.878832e+00 5.895101e+08 3.665656e+12
2.914737e+00 5.692447e+08 3.539977e+12
2.951089e+00 5.496851e+08 3.418607e+12
2.987895e+00 5.308509e+08 3.301398e+12
3.025160e+00 5.126621e+08 3.188207e+12
3.062890e+00 4.950965e+08 3.078898e+12
3.101090e+00 4.781328e+08 2.973336e+12
3.139767e+00 4.617503e+08 2.871393e+12
3.178926e+00 4.459887e+08 2.772946e+12
3.218574e+00 4.308226e+08 2.677874e+12
3.258716e+00 4.161722e+08 2.586061e+12
3.299358e+00 4.020200e+08 2.497397e+12
3.340508e+00 3.883491e+08 2.411772e+12
3.382171e+00 3.751431e+08 2.329083e+12
3.424353e+00 3.623862e+08 2.249229e+12
3.467062e+00 3.500631e+08 2.172113e+12
3.510303e+00 3.381590e+08 2.097641e+12
3.554083e+00 3.266598e+08 2.025722e+12
3.598410e+00 3.155516e+08 1.956269e+12
3.643289e+00 3.048211e+08 1.889197e+12
3.688728e+00 2.944020e+08 1.824425e+12
3.734734e+00 2.842879e+08 1.761874e+12
3.781313e+00 2.744725e+08 1.701467e+12
3.828474e+00 2.649009e+08 1.643131e+12
3.876223e+00 2.556673e+08 1.586795e+12
3.924567e+00 2.467967e+08 1.532391e+12
3.973514e+00 2.383460e+08 1.479852e+12
4.023072e+00 2.303626e+08 1.429115e+12
4.073247e+00 2.225691e+08 1.380117e+12
4.124049e+00 2.148392e+08 1.332799e+12
4.175484e+00 2.075750e+08 1.287103e+12
4.227560e+00 2.004358e+08 1.242974e+12
4.280287e+00 1.934591e+08 1.200358e+12
4.333670e+00 1.867252e+08 1.159203e+12
4.387720e+00 1.802304e+08 1.119459e+12
4.442443e+00 1.739742e+08 1.081078e+12
4.497849e+00 1.678958e+08 1.044012e+12
4.553947e+00 1.620298e+08 1.008218e+12
4.610743e+00 1.563816e+08 9.736505e+11
4.668248e+00 1.509957e+08 9.402684e+11
4.726471e+00 1.457751e+08 9.080308e+11
4.785419e+00 1.406994e+08 8.768984e+11
4.845103e+00 1.358101e+08 8.468335e+11
4.905531e+00 1.311002e+08 8.177994e+11
4.966713e+00 1.265537e+08 7.897607e+11
5.028657e+00 1.221826e+08 7.626833e+11
5.091375e+00 1.179941e+08 7.365343e+11
5.154874e+00 1.139492e+08 7.112818e+11
5.219166e+00 1.100430e+08 6.868951e+11
5.284259e+00 1.062707e+08 6.633446e+11
5.350165e+00 1.026278e+08 6.406015e+11
5.416892e+00 9.910968e+07 6.186381e+11
5.484451e+00 9.569633e+07 5.974278e+11
5.552853e+00 9.240570e+07 5.769446e+11
5.622108e+00 8.922825e+07 5.571638e+11
5.692227e+00 8.621858e+07 5.380611e+11
5.763220e+00 8.331168e+07 5.196134e+11
5.835099e+00 8.045807e+07 5.017982e+11
5.907875e+00 7.770221e+07 4.845938e+11
5.981558e+00 7.504074e+07 4.679792e+11
6.056159e+00 7.246039e+07 4.519343e+11
6.131692e+00 6.995961e+07 4.364395e+11
6.208166e+00 6.754514e+07 4.214760e+11
6.285594e+00 6.521455e+07 4.070255e+11
6.363988e+00 6.296886e+07 3.930704e+11
6.443360e+00 6.080667e+07 3.795938e+11
6.523721e+00 5.871944e+07 3.665792e+11
6.605085e+00 5.670388e+07 3.540108e+11
6.687464e+00 5.478883e+07 3.418734e+11
6.770870e+00 5.294623e+07 3.301521e+11
6.855316e+00 5.113199e+07 3.188327e+11
6.940815e+00 4.938485e+07 3.079013e+11
7.027381e+00 4.771298e+07 2.973448e+11
7.115026e+00 4.611416e+07 2.871502e+11
7.203765e+00 4.454529e+07 2.773051e+11
7.293610e+00 4.302147e+07 2.677975e+11
7.384576e+00 4.154978e+07 2.586159e+11
7.476676e+00 4.012397e+07 2.497492e+11
7.569925e+00 3.873025e+07 2.411864e+11
7.664337e+00 3.738825e+07 2.329172e+11
7.759927e+00 3.609806e+07 2.249315e+11
7.856709e+00 3.483290e+07 2.172196e+11
7.954697e+00 3.363172e+07 2.097722e+11
8.053908e+00 3.247705e+07 2.025800e+11
8.154356e+00 3.136338e+07 1.956345e+11
8.256057e+00 3.028791e+07 1.889270e+11
8.359027e+00 2.925342e+07 1.824496e+11
8.463281e+00 2.825443e+07 1.761942e+11
8.568834e+00 2.729105e+07 1.701533e+11
8.675705e+00 2.636104e+07 1.643195e+11
8.783908e+00 2.546650e+07 1.586857e+11
8.893461e+00 2.459294e+07 1.532451e+11
9.004380e+00 2.375189e+07 1.479910e+11
9.116683e+00 2.294083e+07 1.429171e+11
9.230386e+00 2.215815e+07 1.380171e+11
9.345507e+00 2.139801e+07 1.332851e+11
9.462064e+00 2.066468e+07 1.287154e+11
9.580075e+00 1.996064e+07 1.243023e+11
9.699557e+00 1.928058e+07 1.200406e+11
9.820530e+00 1.862370e+07 1.159249e+11
9.943012e+00 1.799105e+07 1.119504e+11
1.006702e+01 1.738010e+07 1.081121e+11
1.019258e+01 1.679671e+07 1.044054e+11
1.031970e+01 1.623425e+07 1.008258e+11
1.044841e+01 1.568966e+07 9.736897e+10
1.057872e+01 1.515372e+07 9.403063e+10
1.071066e+01 1.463608e+07 9.080675e+10
1.084424e+01 1.413613e+07 8.769340e+10
1.097949e+01 1.365325e+07 8.468679e+10
1.111642e+01 1.318687e+07 8.178326e+10
1.125507e+01 1.273643e+07 7.897929e+10
1.139544e+01 1.230136e+07 7.627145e+10
1.153756e+01 1.188116e+07 7.365644e+10
1.168146e+01 1.147532e+07 7.113110e+10
1.182715e+01 1.108655e+07 6.869234e+10
1.197466e+01 1.071415e+07 6.633719e+10
1.212401e+01 1.035425e+07 6.406279e+10
1.227522e+01 1.000645e+07 6.186637e+10
1.242831e+01 9.670326e+06 5.974525e+10
1.258332e+01 9.345496e+06 5.769686e+10
1.274026e+01 9.019294e+06 5.571870e+10
1.289916e+01 8.704267e+06 5.380836e+10
1.306003e+01 8.403009e+06 5.196351e+10
