Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
6.1970e-01	2.2810e+02	2.2810e+02	3.6554e-08
6.4060e-01	2.2410e+02	2.2410e+02	3.5913e-08
6.5000e-01	2.2240e+02	2.2240e+02	3.5641e-08
6.6220e-01	2.2020e+02	2.2020e+02	3.5288e-08
6.8450e-01	2.1630e+02	2.1630e+02	3.4663e-08
7.0000e-01	2.1370e+02	2.1370e+02	3.4247e-08
7.0750e-01	2.1240e+02	2.1240e+02	3.4038e-08
7.3140e-01	2.0860e+02	2.0860e+02	3.3429e-08
7.5000e-01	2.0580e+02	2.0580e+02	3.2981e-08
7.5600e-01	2.0490e+02	2.0490e+02	3.2837e-08
7.8150e-01	2.0120e+02	2.0120e+02	3.2244e-08
8.0000e-01	1.9860e+02	1.9860e+02	3.1827e-08
8.0780e-01	1.9760e+02	1.9760e+02	3.1667e-08
8.3500e-01	1.9400e+02	1.9400e+02	3.1090e-08
8.5000e-01	1.9210e+02	1.9210e+02	3.0785e-08
8.6310e-01	1.9050e+02	1.9050e+02	3.0529e-08
8.9210e-01	1.8700e+02	1.8700e+02	2.9968e-08
9.0000e-01	1.8610e+02	1.8610e+02	2.9824e-08
9.2220e-01	1.8360e+02	1.8360e+02	2.9423e-08
9.5000e-01	1.8060e+02	1.8060e+02	2.8942e-08
9.5330e-01	1.8030e+02	1.8030e+02	2.8894e-08
9.8540e-01	1.7700e+02	1.7700e+02	2.8365e-08
1.0000e+00	1.7550e+02	1.7550e+02	2.8125e-08
1.0190e+00	1.7370e+02	1.7370e+02	2.7837e-08
1.0530e+00	1.7060e+02	1.7060e+02	2.7340e-08
1.0880e+00	1.6730e+02	1.6730e+02	2.6811e-08
1.1250e+00	1.6400e+02	1.6400e+02	2.6282e-08
1.1630e+00	1.6050e+02	1.6050e+02	2.5721e-08
1.2020e+00	1.5690e+02	1.5690e+02	2.5144e-08
1.2430e+00	1.5360e+02	1.5360e+02	2.4615e-08
1.2840e+00	1.5040e+02	1.5040e+02	2.4103e-08
1.3280e+00	1.4720e+02	1.4720e+02	2.3590e-08
1.3720e+00	1.4410e+02	1.4410e+02	2.3093e-08
1.4190e+00	1.4110e+02	1.4110e+02	2.2612e-08
1.4660e+00	1.3810e+02	1.3810e+02	2.2131e-08
1.5000e+00	1.3610e+02	1.3610e+02	2.1811e-08
1.5160e+00	1.3520e+02	1.3520e+02	2.1667e-08
1.5670e+00	1.3230e+02	1.3230e+02	2.1202e-08
1.6190e+00	1.2940e+02	1.2940e+02	2.0737e-08
1.6740e+00	1.2660e+02	1.2660e+02	2.0288e-08
1.7300e+00	1.2390e+02	1.2390e+02	1.9856e-08
1.7890e+00	1.2120e+02	1.2120e+02	1.9423e-08
1.8490e+00	1.1850e+02	1.1850e+02	1.8990e-08
1.9110e+00	1.1590e+02	1.1590e+02	1.8574e-08
1.9760e+00	1.1330e+02	1.1330e+02	1.8157e-08
2.0000e+00	1.1240e+02	1.1240e+02	1.8013e-08
2.0420e+00	1.1080e+02	1.1080e+02	1.7756e-08
2.1110e+00	1.0840e+02	1.0840e+02	1.7372e-08
2.1820e+00	1.0590e+02	1.0590e+02	1.6971e-08
2.2550e+00	1.0360e+02	1.0360e+02	1.6603e-08
2.3310e+00	1.0120e+02	1.0120e+02	1.6218e-08
2.4100e+00	9.8930e+01	9.8930e+01	1.5854e-08
2.4910e+00	9.6680e+01	9.6680e+01	1.5494e-08
2.5000e+00	9.6440e+01	9.6440e+01	1.5455e-08
2.5750e+00	9.4480e+01	9.4480e+01	1.5141e-08
2.6620e+00	9.2320e+01	9.2320e+01	1.4795e-08
2.7510e+00	9.0200e+01	9.0200e+01	1.4455e-08
2.8440e+00	8.8130e+01	8.8130e+01	1.4123e-08
2.9400e+00	8.6090e+01	8.6090e+01	1.3796e-08
3.0000e+00	8.4860e+01	8.4860e+01	1.3599e-08
3.0390e+00	8.4100e+01	8.4100e+01	1.3478e-08
3.1410e+00	8.2150e+01	8.2150e+01	1.3165e-08
