# Energy(MeV) Fluence_Planare_Median
1.550175e+01 3.233780e+06
1.571784e+01 3.114119e+06
1.593694e+01 2.998541e+06
1.615909e+01 2.889408e+06
1.638434e+01 2.782978e+06
1.661273e+01 2.679623e+06
1.684430e+01 2.581932e+06
1.707910e+01 2.485423e+06
1.731717e+01 2.394741e+06
1.755856e+01 2.305912e+06
1.780332e+01 2.220568e+06
1.805149e+01 2.137532e+06
1.830312e+01 2.057720e+06
1.855825e+01 1.980945e+06
1.881694e+01 1.907868e+06
1.907924e+01 1.837487e+06
1.934520e+01 1.770055e+06
1.961486e+01 1.704834e+06
1.988828e+01 1.643041e+06
2.016551e+01 1.582433e+06
2.044661e+01 1.524327e+06
2.073162e+01 1.468013e+06
2.102061e+01 1.413817e+06
2.131362e+01 1.361497e+06
2.161073e+01 1.311536e+06
2.191197e+01 1.263419e+06
2.221741e+01 1.217108e+06
2.252711e+01 1.172448e+06
2.284112e+01 1.128111e+06
2.315951e+01 1.086502e+06
2.348235e+01 1.045421e+06
2.380968e+01 1.005823e+06
2.414157e+01 9.685202e+05
2.447809e+01 9.322834e+05
2.481930e+01 8.974019e+05
2.516527e+01 8.634680e+05
2.551606e+01 8.311752e+05
2.587174e+01 8.001919e+05
2.623238e+01 7.709783e+05
2.659804e+01 7.422906e+05
2.696881e+01 7.144788e+05
2.734474e+01 6.874545e+05
2.772591e+01 6.625209e+05
2.811239e+01 6.386393e+05
2.850426e+01 6.147868e+05
2.890160e+01 5.915004e+05
2.930447e+01 5.693407e+05
2.971296e+01 5.481382e+05
3.012714e+01 5.278451e+05
3.054710e+01 5.084037e+05
3.097291e+01 4.893990e+05
3.140465e+01 4.710940e+05
3.184242e+01 4.533571e+05
3.228628e+01 4.363962e+05
3.273634e+01 4.200983e+05
3.319266e+01 4.044827e+05
3.365535e+01 3.894160e+05
3.412449e+01 3.749503e+05
3.460016e+01 3.607002e+05
3.508247e+01 3.471384e+05
3.557150e+01 3.341642e+05
3.606735e+01 3.215821e+05
3.657011e+01 3.093837e+05
3.707988e+01 2.977163e+05
3.759675e+01 2.865022e+05
3.812083e+01 2.758116e+05
3.865221e+01 2.653930e+05
3.919100e+01 2.553240e+05
3.973730e+01 2.455476e+05
4.029122e+01 2.362097e+05
4.085286e+01 2.272303e+05
4.142232e+01 2.186618e+05
4.199973e+01 2.104698e+05
4.258518e+01 2.024568e+05
4.317880e+01 1.947853e+05
4.378069e+01 1.874540e+05
4.439097e+01 1.803299e+05
4.500975e+01 1.734648e+05
4.563716e+01 1.668699e+05
4.627332e+01 1.605018e+05
4.691835e+01 1.543500e+05
4.757236e+01 1.483671e+05
4.823549e+01 1.426755e+05
4.890787e+01 1.372488e+05
4.958962e+01 1.320495e+05
5.028087e+01 1.270279e+05
5.098176e+01 1.220619e+05
5.169242e+01 1.173300e+05
5.241298e+01 1.128708e+05
5.314359e+01 1.085737e+05
5.388438e+01 1.044587e+05
5.463550e+01 1.004452e+05
5.539709e+01 9.660338e+04
5.616930e+01 9.291815e+04
5.695227e+01 8.935524e+04
5.774615e+01 8.591464e+04
5.855110e+01 8.266738e+04
5.936727e+01 7.951970e+04
6.019482e+01 7.642632e+04
6.103390e+01 7.347292e+04
6.188468e+01 7.067048e+04
6.274732e+01 6.793784e+04
6.362198e+01 6.528734e+04
6.450884e+01 6.276188e+04
6.540806e+01 6.038269e+04
6.631981e+01 5.808697e+04
6.724427e+01 5.586945e+04
6.818162e+01 5.373659e+04
6.913204e+01 5.164736e+04
7.009570e+01 4.965724e+04
7.107280e+01 4.773426e+04
7.206351e+01 4.589896e+04
7.306804e+01 4.410438e+04
7.408657e+01 4.239280e+04
7.511929e+01 4.075807e+04
7.616642e+01 3.913076e+04
7.722814e+01 3.757855e+04
7.830465e+01 3.613937e+04
7.939618e+01 3.472783e+04
8.050292e+01 3.335369e+04
8.162509e+01 3.205850e+04
8.276289e+01 3.080588e+04
