# Energy(MeV) Phi16_Planare Phi84_Planare
6.217090e+00 3.380863e+07 4.284542e+07
6.303753e+00 3.259020e+07 4.124461e+07
6.391624e+00 3.143244e+07 3.971892e+07
6.480720e+00 3.029233e+07 3.827522e+07
6.571058e+00 2.919465e+07 3.688387e+07
6.662655e+00 2.814025e+07 3.554298e+07
6.755528e+00 2.713371e+07 3.427266e+07
6.849697e+00 2.616096e+07 3.303011e+07
6.945178e+00 2.521438e+07 3.184370e+07
7.041990e+00 2.431233e+07 3.067626e+07
7.140151e+00 2.340638e+07 2.953991e+07
7.239681e+00 2.256142e+07 2.846618e+07
7.340598e+00 2.175185e+07 2.741765e+07
7.442922e+00 2.098610e+07 2.641956e+07
7.546673e+00 2.023363e+07 2.546398e+07
7.651869e+00 1.949588e+07 2.453276e+07
7.758532e+00 1.879746e+07 2.361466e+07
7.866682e+00 1.812401e+07 2.275442e+07
7.976339e+00 1.746556e+07 2.191533e+07
8.087525e+00 1.682814e+07 2.112744e+07
8.200261e+00 1.621533e+07 2.036004e+07
8.314568e+00 1.561431e+07 1.960005e+07
8.430468e+00 1.503952e+07 1.887135e+07
8.547985e+00 1.449933e+07 1.818706e+07
8.667139e+00 1.397162e+07 1.752151e+07
8.787954e+00 1.346003e+07 1.687136e+07
8.910453e+00 1.296158e+07 1.624751e+07
9.034660e+00 1.248099e+07 1.564940e+07
9.160598e+00 1.203056e+07 1.509220e+07
9.288292e+00 1.158986e+07 1.453230e+07
9.417766e+00 1.116885e+07 1.399763e+07
9.549045e+00 1.075889e+07 1.348981e+07
9.682153e+00 1.036444e+07 1.300284e+07
9.817117e+00 9.978861e+06 1.252826e+07
9.953962e+00 9.611181e+06 1.206860e+07
1.009272e+01 9.259698e+06 1.162523e+07
1.023340e+01 8.924007e+06 1.120352e+07
1.037605e+01 8.596928e+06 1.079055e+07
1.052069e+01 8.280814e+06 1.038658e+07
1.066734e+01 7.973432e+06 1.000259e+07
1.081604e+01 7.678567e+06 9.647668e+06
1.096681e+01 7.396553e+06 9.300886e+06
1.111968e+01 7.126708e+06 8.956224e+06
1.127468e+01 6.859044e+06 8.617833e+06
1.143184e+01 6.611505e+06 8.290650e+06
1.159120e+01 6.366743e+06 7.983648e+06
1.175277e+01 6.126776e+06 7.689775e+06
1.191660e+01 5.901748e+06 7.404484e+06
1.208271e+01 5.688601e+06 7.128305e+06
1.225114e+01 5.478641e+06 6.867281e+06
1.242191e+01 5.274687e+06 6.614623e+06
1.259506e+01 5.080380e+06 6.370975e+06
1.277063e+01 4.893983e+06 6.136179e+06
1.294865e+01 4.714833e+06 5.908224e+06
1.312915e+01 4.543469e+06 5.694926e+06
1.331216e+01 4.377865e+06 5.486598e+06
1.349772e+01 4.217155e+06 5.280572e+06
1.368587e+01 4.058492e+06 5.089823e+06
1.387665e+01 3.906058e+06 4.906184e+06
1.407008e+01 3.763527e+06 4.724680e+06
1.426621e+01 3.623314e+06 4.553330e+06
1.446507e+01 3.488405e+06 4.383089e+06
1.466671e+01 3.359389e+06 4.220189e+06
1.487115e+01 3.235116e+06 4.067042e+06
1.507845e+01 3.115106e+06 3.921377e+06
1.528864e+01 3.000302e+06 3.779928e+06
1.550175e+01 2.889586e+06 3.644872e+06
1.571784e+01 2.780785e+06 3.514334e+06
1.593694e+01 2.678009e+06 3.384131e+06
1.615909e+01 2.576834e+06 3.259638e+06
1.638434e+01 2.479196e+06 3.143394e+06
1.661273e+01 2.386492e+06 3.027094e+06
1.684430e+01 2.295459e+06 2.913116e+06
1.707910e+01 2.209897e+06 2.803319e+06
1.731717e+01 2.127339e+06 2.698419e+06
1.755856e+01 2.050198e+06 2.600726e+06
1.780332e+01 1.973435e+06 2.506536e+06
1.805149e+01 1.898421e+06 2.415725e+06
1.830312e+01 1.826507e+06 2.327452e+06
1.855825e+01 1.758791e+06 2.240675e+06
1.881694e+01 1.692585e+06 2.156825e+06
1.907924e+01 1.631165e+06 2.076097e+06
