# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.550175e+01 3.331869e+08
1.571784e+01 3.271893e+08
1.593694e+01 3.211507e+08
1.615909e+01 3.152080e+08
1.638434e+01 3.092936e+08
1.661273e+01 3.034820e+08
1.684430e+01 2.977138e+08
1.707910e+01 2.920092e+08
1.731717e+01 2.863558e+08
1.755856e+01 2.808097e+08
1.780332e+01 2.753082e+08
1.805149e+01 2.699103e+08
1.830312e+01 2.644753e+08
1.855825e+01 2.591606e+08
1.881694e+01 2.538814e+08
1.907924e+01 2.486415e+08
1.934520e+01 2.434599e+08
1.961486e+01 2.383036e+08
1.988828e+01 2.332147e+08
2.016551e+01 2.281994e+08
2.044661e+01 2.233092e+08
2.073162e+01 2.184922e+08
2.102061e+01 2.137207e+08
2.131362e+01 2.089998e+08
2.161073e+01 2.043387e+08
2.191197e+01 1.997473e+08
2.221741e+01 1.952215e+08
2.252711e+01 1.907137e+08
2.284112e+01 1.863222e+08
2.315951e+01 1.819531e+08
2.348235e+01 1.776882e+08
2.380968e+01 1.734761e+08
2.414157e+01 1.692764e+08
2.447809e+01 1.652207e+08
2.481930e+01 1.611923e+08
2.516527e+01 1.571732e+08
2.551606e+01 1.532175e+08
2.587174e+01 1.494162e+08
2.623238e+01 1.456322e+08
2.659804e+01 1.418978e+08
2.696881e+01 1.382394e+08
2.734474e+01 1.346774e+08
2.772591e+01 1.311601e+08
2.811239e+01 1.276508e+08
2.850426e+01 1.242355e+08
2.890160e+01 1.208659e+08
2.930447e+01 1.175822e+08
2.971296e+01 1.143232e+08
3.012714e+01 1.111606e+08
3.054710e+01 1.080341e+08
3.097291e+01 1.049591e+08
3.140465e+01 1.019846e+08
3.184242e+01 9.908731e+07
3.228628e+01 9.620070e+07
3.273634e+01 9.338396e+07
3.319266e+01 9.060098e+07
3.365535e+01 8.786126e+07
3.412449e+01 8.517386e+07
3.460016e+01 8.251436e+07
3.508247e+01 7.996126e+07
3.557150e+01 7.746810e+07
3.606735e+01 7.501072e+07
3.657011e+01 7.264714e+07
3.707988e+01 7.031995e+07
3.759675e+01 6.805212e+07
3.812083e+01 6.581834e+07
3.865221e+01 6.362037e+07
3.919100e+01 6.148840e+07
3.973730e+01 5.940370e+07
4.029122e+01 5.737676e+07
4.085286e+01 5.542577e+07
4.142232e+01 5.346255e+07
4.199973e+01 5.155925e+07
4.258518e+01 4.971860e+07
4.317880e+01 4.790978e+07
4.378069e+01 4.615542e+07
4.439097e+01 4.447047e+07
4.500975e+01 4.282956e+07
4.563716e+01 4.122206e+07
4.627332e+01 3.965322e+07
4.691835e+01 3.812263e+07
4.757236e+01 3.664016e+07
4.823549e+01 3.522333e+07
4.890787e+01 3.381420e+07
4.958962e+01 3.248996e+07
5.028087e+01 3.118815e+07
5.098176e+01 2.993267e+07
5.169242e+01 2.869507e+07
5.241298e+01 2.751322e+07
5.314359e+01 2.639791e+07
5.388438e+01 2.530989e+07
5.463550e+01 2.423749e+07
5.539709e+01 2.324691e+07
5.616930e+01 2.228749e+07
5.695227e+01 2.135493e+07
5.774615e+01 2.045007e+07
5.855110e+01 1.957974e+07
5.936727e+01 1.874309e+07
6.019482e+01 1.794668e+07
6.103390e+01 1.718355e+07
6.188468e+01 1.644196e+07
6.274732e+01 1.573552e+07
6.362198e+01 1.506207e+07
6.450884e+01 1.441350e+07
6.540806e+01 1.377160e+07
6.631981e+01 1.316593e+07
6.724427e+01 1.259860e+07
6.818162e+01 1.205748e+07
6.913204e+01 1.152811e+07
7.009570e+01 1.102405e+07
7.107280e+01 1.053215e+07
7.206351e+01 1.006455e+07
7.306804e+01 9.618680e+06
7.408657e+01 9.194528e+06
7.511929e+01 8.801086e+06
7.616642e+01 8.415297e+06
7.722814e+01 8.034359e+06
7.830465e+01 7.672049e+06
7.939618e+01 7.341630e+06
8.050292e+01 7.019268e+06
8.162509e+01 6.713011e+06
8.276289e+01 6.413288e+06
8.391656e+01 6.135610e+06
8.508632e+01 5.872244e+06
8.627237e+01 5.612741e+06
8.747496e+01 5.367529e+06
8.869432e+01 5.134152e+06
8.993067e+01 4.911662e+06
9.118425e+01 4.698506e+06
9.245531e+01 4.495060e+06
9.374409e+01 4.297774e+06
9.505083e+01 4.107327e+06
9.637579e+01 3.930005e+06
9.771921e+01 3.759513e+06
9.908137e+01 3.595865e+06
1.004625e+02 3.436995e+06
1.018629e+02 3.286991e+06
1.032828e+02 3.145798e+06
1.047225e+02 3.009462e+06
1.061823e+02 2.877996e+06
1.076624e+02 2.751193e+06
1.091632e+02 2.629930e+06
1.106848e+02 2.513578e+06
1.122277e+02 2.403582e+06
1.137921e+02 2.298670e+06
1.153783e+02 2.198158e+06
1.169866e+02 2.102275e+06
1.186174e+02 2.009191e+06
1.202708e+02 1.922408e+06
1.219473e+02 1.838648e+06
1.236472e+02 1.758014e+06
1.253708e+02 1.682116e+06
1.271184e+02 1.609893e+06
1.288904e+02 1.538681e+06
1.306870e+02 1.472298e+06
1.325087e+02 1.409320e+06
1.343558e+02 1.348755e+06
1.362287e+02 1.290432e+06
1.381276e+02 1.234168e+06
1.400531e+02 1.179498e+06
1.420053e+02 1.128602e+06
1.439848e+02 1.079372e+06
1.459919e+02 1.032552e+06
1.480269e+02 9.881223e+05
1.500903e+02 9.455926e+05
1.521825e+02 9.047563e+05
1.543038e+02 8.655722e+05
1.564548e+02 8.283232e+05
1.586357e+02 7.925629e+05
1.608469e+02 7.582519e+05
1.630891e+02 7.254263e+05
1.653624e+02 6.936481e+05
1.676675e+02 6.637639e+05
1.700047e+02 6.357396e+05
1.723745e+02 6.081131e+05
1.747773e+02 5.821575e+05
1.772136e+02 5.575539e+05
1.796838e+02 5.336176e+05
1.821885e+02 5.104341e+05
1.847281e+02 4.882117e+05
1.873032e+02 4.669568e+05
1.899141e+02 4.466649e+05
1.925614e+02 4.276584e+05
1.952456e+02 4.093577e+05
1.979672e+02 3.916031e+05
2.007267e+02 3.746035e+05
2.035248e+02 3.583698e+05
2.063618e+02 3.429425e+05
2.092383e+02 3.280587e+05
2.121550e+02 3.138867e+05
2.151123e+02 3.005316e+05
2.181109e+02 2.875373e+05
2.211512e+02 2.751048e+05
2.242340e+02 2.631385e+05
2.273597e+02 2.516586e+05
2.305289e+02 2.407333e+05
2.337424e+02 2.303338e+05
2.370006e+02 2.203835e+05
2.403043e+02 2.110232e+05
2.436540e+02 2.020630e+05
2.470504e+02 1.933681e+05
2.504942e+02 1.849536e+05
2.539859e+02 1.768848e+05
2.575263e+02 1.691681e+05
2.611161e+02 1.617263e+05
2.647559e+02 1.546411e+05
2.684465e+02 1.478709e+05
2.721885e+02 1.413972e+05
2.759826e+02 1.352142e+05
2.798297e+02 1.293502e+05
2.837304e+02 1.237713e+05
2.876854e+02 1.183782e+05
2.916956e+02 1.132403e+05
2.957617e+02 1.083609e+05
2.998844e+02 1.037175e+05
3.040646e+02 9.927316e+04
3.083031e+02 9.501926e+04
3.126007e+02 9.094767e+04
3.169582e+02 8.705056e+04
3.213764e+02 8.332047e+04
3.258562e+02 7.974487e+04
3.303985e+02 7.628452e+04
3.350041e+02 7.297432e+04
3.396739e+02 6.980776e+04
3.444087e+02 6.677861e+04
3.492096e+02 6.388091e+04
3.540774e+02 6.110894e+04
3.590130e+02 5.845726e+04
3.640175e+02 5.592064e+04
3.690917e+02 5.349409e+04
3.742366e+02 5.117283e+04
3.794533e+02 4.895231e+04
3.847427e+02 4.682813e+04
3.901058e+02 4.479613e+04
3.955436e+02 4.285231e+04
4.010573e+02 4.099283e+04
4.066478e+02 3.921461e+04
4.123163e+02 3.751826e+04
4.180637e+02 3.589530e+04
4.238913e+02 3.434254e+04
4.298001e+02 3.285695e+04
4.357913e+02 3.143336e+04
4.418660e+02 3.007051e+04
4.480254e+02 2.876676e+04
4.542706e+02 2.751953e+04
4.606029e+02 2.632638e+04
4.670234e+02 2.518715e+04
4.735335e+02 2.410805e+04
4.801343e+02 2.306677e+04
4.868271e+02 2.206896e+04
4.936132e+02 2.111431e+04
5.004939e+02 2.020095e+04
5.074705e+02 1.932711e+04
5.145444e+02 1.848872e+04
5.217169e+02 1.768390e+04
5.289893e+02 1.692251e+04
5.363631e+02 1.619391e+04
5.438397e+02 1.549668e+04
5.514206e+02 1.482640e+04
5.591071e+02 1.418051e+04
5.669007e+02 1.356782e+04
5.748030e+02 1.298160e+04
5.828155e+02 1.242072e+04
5.909396e+02 1.188407e+04
5.991770e+02 1.137061e+04
6.075292e+02 1.087934e+04
6.159978e+02 1.040929e+04
6.245845e+02 9.959557e+03
6.332908e+02 9.529254e+03
6.421186e+02 9.117544e+03
6.510694e+02 8.723623e+03
6.601449e+02 8.346723e+03
6.693470e+02 7.986108e+03
6.786773e+02 7.641074e+03
6.881377e+02 7.309027e+03
6.977300e+02 6.990731e+03
7.074559e+02 6.686297e+03
7.173175e+02 6.395121e+03
7.273165e+02 6.116624e+03
7.374549e+02 5.850256e+03
7.477346e+02 5.595488e+03
7.581576e+02 5.352361e+03
7.687260e+02 5.120006e+03
7.794416e+02 4.897739e+03
