# Energy(MeV) Fluence_Planare_Median(p/cm2)
2.544434e+00 3.479447e+08
2.595437e+00 3.315580e+08
2.647462e+00 3.151225e+08
2.700530e+00 2.992972e+08
2.754662e+00 2.846307e+08
2.809879e+00 2.704264e+08
2.866203e+00 2.570447e+08
2.923656e+00 2.437785e+08
2.982260e+00 2.315238e+08
3.042039e+00 2.199203e+08
3.103017e+00 2.087910e+08
3.165216e+00 1.982581e+08
3.228663e+00 1.881101e+08
3.293381e+00 1.784693e+08
3.359397e+00 1.693940e+08
3.426736e+00 1.608182e+08
3.495424e+00 1.525287e+08
3.565490e+00 1.446505e+08
3.636960e+00 1.373930e+08
3.709862e+00 1.304500e+08
3.784226e+00 1.237938e+08
3.860081e+00 1.174352e+08
3.937456e+00 1.114967e+08
4.016382e+00 1.058334e+08
4.096890e+00 1.003320e+08
4.179012e+00 9.507807e+07
4.262780e+00 9.009469e+07
4.348227e+00 8.535235e+07
4.435387e+00 8.089806e+07
4.524294e+00 7.677740e+07
4.614983e+00 7.289968e+07
4.707490e+00 6.914675e+07
4.801851e+00 6.549934e+07
4.898104e+00 6.219054e+07
4.996286e+00 5.897687e+07
5.096436e+00 5.596892e+07
5.198594e+00 5.303246e+07
5.302799e+00 5.025715e+07
5.409093e+00 4.760490e+07
5.517518e+00 4.508820e+07
5.628116e+00 4.273165e+07
5.740932e+00 4.050786e+07
5.856008e+00 3.840546e+07
5.973391e+00 3.638773e+07
6.093127e+00 3.448364e+07
6.215264e+00 3.273125e+07
6.339848e+00 3.106150e+07
6.466930e+00 2.948969e+07
6.596559e+00 2.795694e+07
6.728787e+00 2.649708e+07
6.863665e+00 2.511945e+07
7.001246e+00 2.381829e+07
7.141586e+00 2.258775e+07
7.284738e+00 2.141778e+07
7.430760e+00 2.031348e+07
7.579709e+00 1.924447e+07
7.731644e+00 1.823721e+07
7.886624e+00 1.728411e+07
8.044711e+00 1.635801e+07
8.205967e+00 1.547992e+07
8.370455e+00 1.467374e+07
8.538240e+00 1.391783e+07
8.709388e+00 1.318792e+07
8.883967e+00 1.250199e+07
9.062045e+00 1.185191e+07
9.243693e+00 1.122489e+07
9.428983e+00 1.063339e+07
9.617986e+00 1.008826e+07
9.810778e+00 9.570679e+06
1.000743e+01 9.079791e+06
1.020803e+01 8.611376e+06
1.041265e+01 8.158881e+06
1.062137e+01 7.730645e+06
1.083428e+01 7.321198e+06
1.105145e+01 6.944854e+06
1.127297e+01 6.580642e+06
1.149894e+01 6.233389e+06
1.172944e+01 5.904433e+06
1.196455e+01 5.588719e+06
1.220438e+01 5.295050e+06
1.244902e+01 5.012256e+06
1.269856e+01 4.751494e+06
1.295310e+01 4.500946e+06
1.321274e+01 4.264276e+06
1.347759e+01 4.043924e+06
1.374775e+01 3.830380e+06
1.402332e+01 3.629045e+06
1.430442e+01 3.438018e+06
1.459115e+01 3.255542e+06
1.488362e+01 3.086636e+06
1.518197e+01 2.925494e+06
1.548629e+01 2.771110e+06
1.579671e+01 2.625170e+06
1.611335e+01 2.487423e+06
1.643634e+01 2.359505e+06
1.676581e+01 2.239355e+06
1.710188e+01 2.121738e+06
1.744468e+01 2.008962e+06
1.779436e+01 1.903125e+06
1.815105e+01 1.801763e+06
1.851488e+01 1.704907e+06
1.888601e+01 1.613061e+06
1.926458e+01 1.527823e+06
1.965074e+01 1.447151e+06
2.004464e+01 1.371164e+06
2.044643e+01 1.296975e+06
2.085628e+01 1.228170e+06
2.127434e+01 1.160606e+06
2.170078e+01 1.098532e+06
2.213577e+01 1.039922e+06
2.257948e+01 9.855656e+05
2.303209e+01 9.321802e+05
2.349376e+01 8.816689e+05
2.396469e+01 8.345443e+05
2.444506e+01 7.900744e+05
2.493506e+01 7.476208e+05
2.543488e+01 7.069651e+05
2.594472e+01 6.685498e+05
2.646478e+01 6.324885e+05
2.699527e+01 5.992509e+05
2.753639e+01 5.669137e+05
2.808835e+01 5.366402e+05
2.865138e+01 5.080675e+05
2.922570e+01 4.808650e+05
2.981152e+01 4.555581e+05
3.040909e+01 4.312818e+05
3.101864e+01 4.079239e+05
3.164041e+01 3.860377e+05
3.227464e+01 3.653144e+05
3.292158e+01 3.457176e+05
3.358149e+01 3.272148e+05
3.425463e+01 3.095092e+05
3.494126e+01 2.926920e+05
3.564165e+01 2.770674e+05
3.635609e+01 2.619835e+05
3.708484e+01 2.480410e+05
3.782820e+01 2.347436e+05
3.858647e+01 2.218620e+05
3.935993e+01 2.096114e+05
4.014890e+01 1.982024e+05
4.095368e+01 1.874490e+05
4.177459e+01 1.773626e+05
4.261196e+01 1.678691e+05
4.346611e+01 1.588108e+05
4.433739e+01 1.502659e+05
4.522613e+01 1.421745e+05
4.613268e+01 1.345126e+05
4.705741e+01 1.272576e+05
4.800067e+01 1.203629e+05
4.896284e+01 1.139327e+05
4.994430e+01 1.076224e+05
5.094543e+01 1.017812e+05
5.196662e+01 9.628247e+04
5.300829e+01 9.108051e+04
5.407084e+01 8.616122e+04
5.515468e+01 8.155472e+04
5.626026e+01 7.711506e+04
5.738799e+01 7.293406e+04
5.853833e+01 6.896727e+04
5.971172e+01 6.524413e+04
6.090864e+01 6.168260e+04
6.212955e+01 5.835119e+04
6.337493e+01 5.517193e+04
6.464528e+01 5.212027e+04
6.594109e+01 4.923279e+04
6.726287e+01 4.649108e+04
6.861115e+01 4.388987e+04
6.998645e+01 4.145261e+04
7.138933e+01 3.912030e+04
7.282032e+01 3.692554e+04
7.428000e+01 3.486425e+04
7.576894e+01 3.291645e+04
7.728772e+01 3.112800e+04
7.883694e+01 2.940352e+04
8.041722e+01 2.772308e+04
8.202918e+01 2.614049e+04
8.367345e+01 2.465663e+04
8.535068e+01 2.324671e+04
8.706153e+01 2.189235e+04
8.880667e+01 2.062815e+04
9.058679e+01 1.946297e+04
9.240260e+01 1.836216e+04
9.425480e+01 1.731328e+04
9.614413e+01 1.630744e+04
9.807133e+01 1.537331e+04
1.000372e+02 1.450799e+04
1.020424e+02 1.367767e+04
1.040878e+02 1.289681e+04
1.061743e+02 1.215203e+04
1.083025e+02 1.147055e+04
1.104734e+02 1.082475e+04
1.126879e+02 1.020094e+04
1.149467e+02 9.624385e+03
1.172508e+02 9.073253e+03
1.196011e+02 8.528289e+03
1.219985e+02 8.033654e+03
1.244439e+02 7.562822e+03
1.269384e+02 7.127228e+03
1.294828e+02 6.708973e+03
1.320783e+02 6.307819e+03
1.347258e+02 5.939157e+03
1.374264e+02 5.600344e+03
1.401811e+02 5.266759e+03
1.429910e+02 4.950147e+03
1.458573e+02 4.645029e+03
1.487810e+02 4.378016e+03
1.517633e+02 4.112333e+03
1.548053e+02 3.870777e+03
1.579084e+02 3.649771e+03
1.610737e+02 3.436909e+03
1.643024e+02 3.240899e+03
1.675958e+02 3.048146e+03
1.709552e+02 2.863601e+03
1.743820e+02 2.691169e+03
1.778775e+02 2.529173e+03
1.814430e+02 2.384452e+03
1.850801e+02 2.239376e+03
1.887900e+02 2.100486e+03
1.925743e+02 1.971418e+03
1.964344e+02 1.851268e+03
2.003719e+02 1.735759e+03
2.043883e+02 1.628368e+03
2.084853e+02 1.528076e+03
2.126644e+02 1.431938e+03
2.169272e+02 1.341735e+03
2.212755e+02 1.261455e+03
2.257109e+02 1.181180e+03
2.302353e+02 1.105056e+03
2.348503e+02 1.031423e+03
2.395579e+02 9.609420e+02
2.443598e+02 9.022454e+02
2.492580e+02 8.438102e+02
2.542544e+02 7.913830e+02
2.593509e+02 7.419755e+02
2.645495e+02 6.938895e+02
2.698524e+02 6.513850e+02
2.752616e+02 6.107127e+02
2.807792e+02 5.737399e+02
2.864074e+02 5.350900e+02
2.921484e+02 5.023747e+02
2.980045e+02 4.712295e+02
3.039780e+02 4.400217e+02
3.100712e+02 4.115650e+02
3.162865e+02 3.853296e+02
3.226265e+02 3.615021e+02
3.290935e+02 3.377556e+02
3.356901e+02 3.141187e+02
3.424190e+02 2.927250e+02
3.492828e+02 2.734501e+02
3.562841e+02 2.544030e+02
3.634258e+02 2.379205e+02
3.707107e+02 2.221686e+02
3.781415e+02 2.074306e+02
3.857213e+02 1.933407e+02
3.934531e+02 1.796766e+02
