# Energy(MeV) Phi16_Planare Phi84_Planare
6.866215e-01 2.978842e+09 5.472169e+09
7.003848e-01 2.879287e+09 5.311443e+09
7.144240e-01 2.760346e+09 5.155981e+09
7.287445e-01 2.670881e+09 5.000965e+09
7.433522e-01 2.586096e+09 4.851141e+09
7.582526e-01 2.504075e+09 4.695938e+09
7.734517e-01 2.418704e+09 4.551212e+09
7.889555e-01 2.342452e+09 4.415153e+09
8.047701e-01 2.259584e+09 4.281241e+09
8.209016e-01 2.173800e+09 4.147415e+09
8.373565e-01 2.090722e+09 4.025908e+09
8.541413e-01 2.023077e+09 3.898632e+09
8.712625e-01 1.934429e+09 3.775869e+09
8.887268e-01 1.856577e+09 3.654857e+09
9.065413e-01 1.786890e+09 3.538570e+09
9.247129e-01 1.715811e+09 3.424696e+09
9.432487e-01 1.655161e+09 3.314551e+09
9.621560e-01 1.598907e+09 3.207421e+09
9.814423e-01 1.547991e+09 3.104242e+09
1.001115e+00 1.498462e+09 3.002086e+09
1.021183e+00 1.450287e+09 2.905531e+09
1.041652e+00 1.393080e+09 2.807984e+09
1.062532e+00 1.344579e+09 2.712260e+09
1.083830e+00 1.300115e+09 2.620514e+09
1.105556e+00 1.245446e+09 2.526163e+09
1.127716e+00 1.194246e+09 2.440190e+09
1.150321e+00 1.151291e+09 2.353247e+09
1.173379e+00 1.112274e+09 2.275052e+09
1.196900e+00 1.069110e+09 2.195549e+09
1.220892e+00 1.018346e+09 2.118146e+09
1.245364e+00 9.741653e+08 2.043703e+09
1.270327e+00 9.366719e+08 1.968049e+09
1.295791e+00 9.018754e+08 1.896354e+09
1.321765e+00 8.557499e+08 1.830336e+09
1.348260e+00 8.117345e+08 1.760836e+09
1.375286e+00 7.701852e+08 1.695600e+09
1.402853e+00 7.321464e+08 1.631763e+09
1.430973e+00 6.965692e+08 1.569062e+09
1.459657e+00 6.666493e+08 1.509590e+09
1.488916e+00 6.338490e+08 1.450097e+09
1.518761e+00 6.080336e+08 1.393987e+09
1.549204e+00 5.819180e+08 1.340653e+09
1.580258e+00 5.522008e+08 1.287610e+09
1.611934e+00 5.281607e+08 1.236603e+09
1.644245e+00 5.030107e+08 1.186337e+09
1.677204e+00 4.825540e+08 1.138992e+09
1.710823e+00 4.593311e+08 1.092508e+09
1.745117e+00 4.361997e+08 1.046635e+09
1.780097e+00 4.142327e+08 1.002897e+09
